"12f5 -- 7. Workplace structure, 2010-2024"

"Postal code area","2020 Workplaces, total (TP)","2021 Workplaces, total (TP)","2022 Workplaces, total (TP)","2023 Workplaces, total (TP)","2024 Workplaces, total (TP)"
"31730  Honkola (Urjala)",20,21,22,25,0
"31750  Kehro (Urjala)",6,9,6,7,0
"31760  Urjala Keskus (Urjala)",803,804,809,778,0
"31810  Oriniemi (Punkalaidun)",46,47,57,50,0
"31830  Halkivaha (Urjala)",30,28,30,32,0
"31850  Koskioinen (Punkalaidun)",28,30,38,32,0
"31860  Tursa (Urjala)",40,39,39,38,0
"31900  Punkalaidun Keskus (Punkalaidun)",551,513,470,463,0
"31930  Vanttila (Punkalaidun)",26,28,26,30,0
"31950  Sadonmaa (Punkalaidun)",30,27,25,23,0
"31960  Orisuo (Loimaa)",9,10,7,8,0
"31970  Kanteenmaa (Punkalaidun)",48,46,43,41,0
"32100  Ypäjä Keskus (Ypäjä)",500,502,481,467,0
"32140  Ypäjä Asemanseutu (Ypäjä)",17,21,30,34,0
"32200  Loimaa Keskus (Loimaa)",3506,3568,3683,3822,0
"32210  Loimaa kk (Loimaa)",916,1025,1014,853,0
"32250  Kojonkulma (Loimaa)",66,71,71,64,0
"32260  Kojonperä (Loimaa)",17,19,20,19,0
"32270  Metsämaa-Murto (Loimaa)",70,72,72,67,0
"32280  Metsäkorpi (Loimaa)",20,23,24,18,0
"32300  Mellilä (Loimaa)",203,227,224,216,0
"32410  Niinijoki (Loimaa)",97,115,112,104,0
"32430  Ylhäinen (Loimaa)",18,23,16,18,0
"32440  Alastaro Keskus (Loimaa)",551,505,506,455,0
"32450  Tammiainen (Loimaa)",38,34,33,35,0
"32500  Oripää Keskus (Oripää)",345,352,359,360,0
"32520  Latva (Oripää)",62,62,57,66,0
"32560  Virttaa (Loimaa)",65,75,73,70,0
"32610  Vampula Keskus (Huittinen)",292,265,281,249,0
"32620  Rutava (Huittinen)",65,73,72,72,0
"32700  Huittinen Keskus (Huittinen)",3260,3258,3260,3256,0
"32710  Sampu (Huittinen)",134,108,112,107,0
"32730  Keikyä (Sastamala)",157,179,158,136,0
"32740  Pehula (Sastamala)",358,391,403,379,0
"32760  Suttila (Huittinen)",25,23,24,15,0
"32770  Huhtamo (Huittinen)",36,38,41,43,0
"32800  Kokemäki Keskus (Kokemäki)",1461,1484,1476,1497,0
"32810  Peipohja (Kokemäki)",502,499,447,463,0
"32830  Riste (Kokemäki)",80,76,62,67,0
"32860  Korkeaoja (Kokemäki)",27,20,15,17,0
"32910  Kauvatsa Asemanseutu (Kokemäki)",28,24,23,24,0
"32920  Kauvatsa (Kokemäki)",72,78,86,62,0
"33100  Tampere Keskus (Tampere)",30090,31334,33449,35181,0
"33180  Lapinniemi-Käpylä (Tampere)",1454,1568,1552,1491,0
"33200  Tampere Keskus Läntinen (Tampere)",5223,5395,5707,5866,0
"33210  Itä-Amuri-Tammerkoski (Tampere)",6252,6313,6449,6472,0
"33230  Länsi-Amuri (Tampere)",2115,2166,2295,2349,0
"33240  Tahmela (Tampere)",189,245,258,207,0
"33250  Pispala (Tampere)",433,453,473,449,0
"33270  Epilä (Tampere)",1676,1644,1614,1670,0
"33300  Rahola (Tampere)",1209,1207,1124,1134,0
"33310  Tesoma (Tampere)",1294,1429,1437,1378,0
"33330  Myllypuro-Kalkku (Tampere)",2536,2765,3053,2974,0
"33340  Haukiluoma-Ikuri (Tampere)",391,340,362,399,0
"33400  Luoteis-Tampere (Tampere)",3300,3691,3742,3607,0
"33410  Lentävänniemi (Tampere)",280,286,298,304,0
"33420  Lamminpää (Tampere)",489,588,541,537,0
"33430  Vuorentausta (Ylöjärvi)",298,323,334,291,0
"33450  Siivikkala (Ylöjärvi)",310,368,273,271,0
"33470  Ylöjärvi Keskus (Ylöjärvi)",5272,5321,5580,5577,0
"33480  Manninmäki-Haavisto (Ylöjärvi)",910,943,959,935,0
"33500  Osmonmäki-Petsamo (Tampere)",2148,2050,2099,2070,0
"33520  Keskussairaala-alue-Kauppi (Tampere)",9521,10067,10299,10674,0
"33530  Kissanmaa (Tampere)",625,669,688,632,0
"33540  Kaleva (Tampere)",3446,3589,3658,3646,0
"33560  Takahuhti (Tampere)",1943,2083,2083,1991,0
"33580  Atala-Linnainmaa (Tampere)",1745,1755,1901,2066,0
"33610  Olkahinen-Tasanne (Tampere)",320,345,355,381,0
"33680  Aitolahti (Tampere)",371,375,328,329,0
"33700  Messukylä (Tampere)",603,626,726,776,0
"33710  Kaukajärvi (Tampere)",3432,3726,3953,3927,0
"33720  Hervanta (Tampere)",11333,13027,13368,13067,0
"33730  Leinola-Vehmainen (Tampere)",1363,1555,1489,1454,0
"33800  Nekala (Tampere)",4164,4002,3779,3755,0
"33820  Koivistonkylä (Tampere)",1748,1868,2186,2249,0
"33840  Peltolammi (Tampere)",2946,3233,3646,3644,0
"33850  Multisilta (Tampere)",1202,1047,960,940,0
"33870  Vuores (Tampere)",452,488,583,729,0
"33880  Höytämö (Lempäälä)",1567,1568,1559,1550,0
"33900  Härmälä-Rantaperkiö (Tampere)",11687,12772,13255,13150,0
"33920  Toivio (Pirkkala)",221,297,353,348,0
"33950  Killo (Pirkkala)",1539,1862,1776,1827,0
"33960  Suuppa (Pirkkala)",6436,6709,7098,7032,0
"33980  Pirkkala kk (Pirkkala)",180,169,181,184,0
"34110  Lakiala (Ylöjärvi)",233,236,242,226,0
"34130  Ylinen (Ylöjärvi)",197,198,190,167,0
"34140  Mutala (Ylöjärvi)",95,112,94,99,0
"34150  Kyrönlahti (Ylöjärvi)",43,38,36,36,0
"34180  Länsi-Teisko (Ylöjärvi)",33,31,33,27,0
"34240  Kämmenteisko (Tampere)",287,294,276,274,0
"34260  Terälahti (Tampere)",117,124,139,140,0
"34270  Velaatta (Tampere)",56,58,55,52,0
"34300  Kuru Keskus (Ylöjärvi)",318,331,318,350,0
"34320  Parkkuu (Ylöjärvi)",28,31,17,15,0
"34330  Poikelus (Ylöjärvi)",23,22,18,13,0
"34410  Murole (Ruovesi)",12,15,16,12,0
"34420  Muroleen Kanava (Ruovesi)",10,8,10,5,0
"34430  Kekkonen (Ruovesi)",19,19,18,14,0
"34450  Jäminkipohja (Ruovesi)",90,91,95,98,0
"34510  Luode (Ylöjärvi)",14,14,15,12,0
"34530  Länsi-Aure (Ylöjärvi)",26,32,35,29,0
"34550  Itä-Aure (Ylöjärvi)",21,20,20,22,0
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",942,1011,1003,945,0
"34640  Mustajärvi (Ruovesi)",17,23,19,18,0
"34710  Vaskivesi (Virrat)",69,81,88,96,0
"34730  Vaskuu (Virrat)",9,11,11,13,0
"34740  Koro (Virrat)",7,7,9,9,0
"34770  Kurjenkylä (Virrat)",20,22,18,20,0
"34800  Virrat Keskus (Virrat)",1722,1780,1767,1745,0
"34870  Visuvesi (Ruovesi)",106,116,119,119,0
"34910  Äijänneva (Virrat)",19,22,16,16,0
"34930  Liedenpohja (Virrat)",66,71,65,59,0
"34950  Ohtola (Virrat)",26,26,23,26,0
"34970  Toisvesi (Virrat)",9,11,13,14,0
"34980  Killinkoski (Virrat)",53,56,62,60,0
"35100  Orivesi Asemanseutu (Orivesi)",441,419,457,443,0
"35220  Eräjärvi (Orivesi)",75,80,80,83,0
"35240  Ristakallio (Orivesi)",39,39,41,41,0
"35260  Leväslahti (Orivesi)",1,1,1,1,0
"35270  Västilä (Orivesi)",24,27,18,18,0
"35300  Orivesi Keskus (Orivesi)",1589,1570,1584,1573,0
"35320  Hirsilä (Orivesi)",41,41,33,33,0
"35400  Länkipohja (Jämsä)",216,237,184,197,0
"35420  Talviainen (Orivesi)",3,6,4,3,0
"35480  Längelmäki (Orivesi)",8,11,12,11,0
"35500  Korkeakoski (Juupajoki)",366,360,394,397,0
"35520  Pirttikangas (Juupajoki)",7,8,8,6,0
"35530  Lyly (Juupajoki)",106,101,104,99,0
"35540  Juupajoki (Juupajoki)",105,95,99,100,0
"35550  Salokunta (Juupajoki)",30,29,25,22,0
"35600  Halli (Jämsä)",886,956,927,928,0
"35610  Pihlaisto (Jämsä)",8,9,10,12,0
"35630  Suinula-Valkamanperä (Jämsä)",11,14,14,14,0
"35700  Vilppula Keskus (Mänttä-Vilppula)",1104,1146,1126,1045,0
"35740  Ylä-Vääri (Ruovesi)",6,9,10,9,0
"35750  Väärinmaja (Ruovesi)",24,26,31,29,0
"35800  Mänttä (Mänttä-Vilppula)",1739,1763,1735,1666,0
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",299,325,339,316,0
"35990  Kolho (Mänttä-Vilppula)",287,291,266,243,0
"36100  Kangasala Asemanseutu (Kangasala)",234,255,214,207,0
"36110  Ruutana (Kangasala)",251,249,282,266,0
"36120  Suinula-Haviseva (Kangasala)",74,106,119,131,0
"36200  Kangasala Keskus (Kangasala)",2913,2921,2876,2854,0
"36220  Suorama (Kangasala)",1968,1973,1982,1936,0
"36240  Vatiala (Kangasala)",907,973,1033,1048,0
"36270  Huutijärvi (Kangasala)",221,212,210,218,0
"36280  Pikonlinna (Kangasala)",214,220,213,229,0
"36340  Tohkala (Kangasala)",32,35,37,34,0
"36420  Sahalahti Keskus (Kangasala)",790,819,852,858,0
"36430  Pakkala (Kangasala)",94,103,99,115,0
"36450  Salmentaka (Pälkäne)",76,77,85,89,0
"36520  Raikku (Kangasala)",35,33,30,29,0
"36570  Kaivanto (Kangasala)",36,42,42,37,0
"36600  Pälkäne Keskus (Pälkäne)",823,887,887,846,0
"36640  Iltasmäki (Pälkäne)",77,68,66,61,0
"36660  Laitikkala (Pälkäne)",48,50,47,51,0
"36720  Aitoo (Pälkäne)",169,176,169,162,0
"36760  Luopioinen Keskus (Pälkäne)",251,257,259,242,0
"36810  Kuhmalahti Keskus (Kangasala)",119,81,50,43,0
"36840  Kuhmajärvi (Kangasala)",53,55,52,52,0
"36880  Vehkajärvi (Kangasala)",17,20,27,22,0
"36910  Rautajärvi (Pälkäne)",54,43,41,33,0
"36930  Kyynärö (Pälkäne)",70,77,37,39,0
"37100  Nokia Keskus (Nokia)",4604,5165,5425,5587,0
"37120  Koskenmäki (Nokia)",1039,1116,1158,1170,0
"37130  Alhoniitty (Nokia)",299,328,310,282,0
"37140  Harjuniitty (Nokia)",472,793,726,521,0
"37150  Kankaantaka (Nokia)",1893,2036,2175,2082,0
"37180  Sarkola (Nokia)",32,40,54,54,0
"37200  Siuro (Nokia)",472,498,512,447,0
"37210  Kulovesi (Nokia)",1,0,0,0,0
"37240  Linnavuori (Nokia)",955,989,1046,1080,0
"37310  Tottijärvi (Nokia)",102,103,117,132,0
"37350  Rämsöö (Vesilahti)",19,15,18,19,0
"37370  Narva (Vesilahti)",156,147,169,173,0
"37380  Krääkkiö (Vesilahti)",9,7,6,7,0
"37420  Valkkinen (Vesilahti)",83,87,98,90,0
"37470  Vesilahti Keskus (Vesilahti)",411,411,466,483,0
"37500  Lempäälä Keskus (Lempäälä)",2422,2377,2510,2473,0
"37530  Säijä (Lempäälä)",43,39,35,36,0
"37550  Kuivaspää (Lempäälä)",758,743,891,883,0
"37560  Kulju (Lempäälä)",392,422,458,435,0
"37570  Koivuniemi (Lempäälä)",1769,1895,1929,1907,0
"37600  Valkeakoski Keskus (Valkeakoski)",4420,4329,4326,4128,0
"37630  Vääräkoivu (Valkeakoski)",1545,1598,1645,1640,0
"37700  Sääksmäki (Valkeakoski)",45,53,48,56,0
"37720  Ritvala (Valkeakoski)",30,39,31,31,0
"37740  Haukila (Valkeakoski)",27,25,27,22,0
"37770  Tarttila (Valkeakoski)",72,76,77,64,0
"37800  Toijala keskus (Akaa)",2785,3017,2886,2816,0
"37830  Viiala Keskus (Akaa)",788,865,832,794,0
"37850  Metsäkansa (Valkeakoski)",23,21,28,26,0
"37860  Kärjenniemi (Valkeakoski)",87,97,101,94,0
"37900  Kylmäkoski Asemanseutu (Akaa)",27,24,26,18,0
"37910  Kylmäkoski Keskus (Akaa)",376,381,402,380,0
"37960  Sotkia (Akaa)",26,27,24,22,0
"38100  Karkku (Sastamala)",190,220,226,221,0
"38120  Kutala (Sastamala)",34,22,21,23,0
"38130  Ellivuori (Sastamala)",19,29,23,24,0
"38140  Kärppälä (Sastamala)",41,44,43,40,0
"38200  Vammala Keskus (Sastamala)",2840,2936,2991,2846,0
"38210  Vammala Asemanseutu (Sastamala)",1295,1329,1353,1334,0
"38220  Stormi (Sastamala)",311,318,289,292,0
"38250  Roismala (Sastamala)",438,457,461,486,0
"38270  Sammaljoki (Sastamala)",34,33,34,34,0
"38280  Illo (Sastamala)",63,68,77,73,0
"38300  Kiikka (Sastamala)",307,317,286,273,0
"38360  Kiikoinen (Sastamala)",203,204,206,193,0
"38420  Häijää (Sastamala)",282,297,295,281,0
"38460  Mouhijärvi Keskus (Sastamala)",419,445,452,448,0
"38470  Hyynilä (Sastamala)",19,18,20,18,0
"38490  Haukijärvi (Hämeenkyrö)",5,2,3,3,0
"38510  Suodenniemi (Sastamala)",199,190,184,177,0
"38600  Lavia Keskus (Pori)",300,322,313,338,0
"38650  Yli-Putto (Pori)",44,64,40,43,0
"38670  Kalliala-Haunia (Pori)",15,16,17,18,0
"38680  Tuunajärvi (Pomarkku)",2,2,2,3,0
"38700  Kankaanpää Keskus (Kankaanpää)",3177,3220,3254,3291,0
"38710  Myllymäki (Kankaanpää)",194,205,208,210,0
"38720  Vihteljärvi (Kankaanpää)",59,61,57,52,0
"38740  Hapuoja (Kankaanpää)",57,62,60,62,0
"38750  Veneskoski (Kankaanpää)",22,22,22,20,0
"38760  Venesjärvi (Kankaanpää)",35,30,36,40,0
"38770  Lohikko (Kankaanpää)",179,145,120,128,0
"38800  Jämijärvi Keskus (Jämijärvi)",307,328,342,338,0
"38840  Niinisalo (Kankaanpää)",476,483,493,508,0
"38860  Suurimaa (Jämijärvi)",50,58,55,58,0
"38910  Ala-Honkajoki (Kankaanpää)",84,87,92,89,0
"38920  Vatajankoski (Kankaanpää)",29,28,32,32,0
"38950  Honkajoki Keskus (Kankaanpää)",443,416,435,449,0
"38970  Lauhala (Kankaanpää)",47,72,65,67,0
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",1176,1168,1220,1142,0
"39110  Simuna (Hämeenkyrö)",18,19,12,12,0
"39130  Sasi (Hämeenkyrö)",147,144,171,157,0
"39150  Pinsiö (Hämeenkyrö)",71,83,90,92,0
"39160  Julkujärvi (Ylöjärvi)",491,535,597,630,0
"39170  Jumesniemi (Hämeenkyrö)",15,14,20,18,0
"39180  Herttuala (Hämeenkyrö)",19,28,14,13,0
"39195  Kaipio (Hämeenkyrö)",24,17,15,18,0
"39200  Kyröskoski (Hämeenkyrö)",1029,1043,1056,1075,0
"39230  Osara (Hämeenkyrö)",43,42,39,42,0
"39290  Vesajärvi (Hämeenkyrö)",12,14,11,12,0
"39310  Viljakkala Keskus (Ylöjärvi)",169,160,167,152,0
"39340  Karhe (Ylöjärvi)",38,41,38,38,0
"39360  Komi (Ylöjärvi)",27,26,20,18,0
"39380  Lavajärvi (Hämeenkyrö)",9,9,9,9,0
"39410  Luhalahti (Ikaalinen)",54,55,69,68,0
"39430  Röyhiö (Ikaalinen)",7,9,9,9,0
"39450  Sisättö (Ikaalinen)",10,11,14,16,0
"39500  Ikaalinen Keskus (Ikaalinen)",1368,1483,1527,1479,0
"39530  Kilvakkala (Ikaalinen)",243,254,281,262,0
"39580  Riitiala (Ikaalinen)",30,34,33,32,0
"39590  Tevaniemi (Ikaalinen)",83,78,81,81,0
"39610  Kovelahti (Ikaalinen)",17,18,19,25,0
"39620  Kovesjoki (Parkano)",34,35,30,28,0
"39660  Lapinneva (Parkano)",42,45,40,25,0
"39700  Parkano Keskus (Parkano)",2044,2097,2074,2069,0
"39750  Vatajanjärvi (Parkano)",53,46,42,40,0
"39770  Aureskoski (Parkano)",48,50,44,28,0
"39780  Alaskylä (Parkano)",23,28,25,25,0
"39810  Linnankylä (Kihniö)",95,99,99,93,0
"39820  Kihniö Keskus (Kihniö)",458,465,418,424,0
"39880  Kihniö Asemanseutu (Kihniö)",5,5,8,4,0
"39920  Suomijärvi (Karvia)",26,27,24,21,0
"39930  Karvia Keskus (Karvia)",294,326,346,333,0
"39940  Kantti (Karvia)",67,85,65,42,0
"39960  Sarvela (Karvia)",94,87,98,96,0
"39965  Karviankylä (Karvia)",66,66,67,60,0
"39980  Sara (Karvia)",40,37,40,43,0
"39990  Alkkia (Karvia)",5,6,6,8,0
"40100  Jyväskylä Keskus (Jyväskylä)",18835,19787,20871,20458,0
"40200  Mannila-Taulumäki (Jyväskylä)",1065,1134,1125,1187,0
"40250  Ritoniemi-Lohikoski (Jyväskylä)",882,869,867,827,0
"40270  Palokka (Jyväskylä)",2426,2608,2599,2589,0
"40320  Seppälän Teollisuusalue (Jyväskylä)",9748,9995,10110,9960,0
"40340  Huhtasuo (Jyväskylä)",766,831,845,822,0
"40400  Halssila (Jyväskylä)",540,457,452,479,0
"40420  Jyskä (Jyväskylä)",727,905,919,928,0
"40500  Keljo-Ristonmaa (Jyväskylä)",2724,2872,2968,2945,0
"40520  Kuokkala-Ristikivi (Jyväskylä)",1942,1974,2086,2135,0
"40530  Keljonkangas (Jyväskylä)",1005,1142,1324,1638,0
"40600  Mattilanpelto (Jyväskylä)",1142,746,706,629,0
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",3674,4402,4429,4871,0
"40630  Kypärämäki (Jyväskylä)",908,902,840,817,0
"40640  Keltinmäki (Jyväskylä)",943,1019,1124,1090,0
"40660  Länsi-Palokka (Jyväskylä)",102,117,80,99,0
"40700  Mäki-Matti (Jyväskylä)",3576,3478,3639,3460,0
"40720  Nisula (Jyväskylä)",1335,1389,1345,1346,0
"40740  Kortepohja (Jyväskylä)",446,495,543,585,0
"40800  Vaajakoski (Jyväskylä)",2472,2706,2749,2543,0
"40820  Vuoritsalo (Jyväskylä)",88,98,106,82,0
"40900  Säynätsalo (Jyväskylä)",535,357,361,335,0
"40930  Kinkomaa (Muurame)",266,302,310,300,0
"40950  Muurame Keskus (Muurame)",2231,2334,2337,2347,0
"41120  Puuppola (Jyväskylä)",708,307,232,257,0
"41140  Kuikka (Jyväskylä)",36,365,378,390,0
"41160  Tikkakoski (Jyväskylä)",1428,1486,1607,1626,0
"41180  Vehniä (Laukaa)",358,334,344,339,0
"41210  Jokihaara (Uurainen)",51,54,45,46,0
"41220  Höytiä (Uurainen)",37,43,39,49,0
"41230  Uurainen Keskus (Uurainen)",458,435,435,401,0
"41240  Kyynämöinen (Uurainen)",42,42,42,31,0
"41260  Hoikankylä (Saarijärvi)",12,13,17,13,0
"41270  Lannevesi (Saarijärvi)",37,38,39,34,0
"41290  Kangashäkki (Uurainen)",147,174,154,139,0
"41310  Leppävesi (Laukaa)",765,777,840,852,0
"41325  Laukkavirta (Laukaa)",19,22,18,24,0
"41330  Vihtavuori (Laukaa)",643,645,693,654,0
"41340  Laukaa Keskus (Laukaa)",1618,1609,1651,1648,0
"41350  Laukaa Asemanseutu (Laukaa)",242,279,262,274,0
"41360  Valkola (Laukaa)",73,76,79,73,0
"41370  Kuusa (Laukaa)",204,198,188,189,0
"41390  Äijälä (Laukaa)",47,44,45,39,0
"41400  Lievestuore (Laukaa)",799,832,889,848,0
"41410  Kankainen (Toivakka)",5,14,15,16,0
"41440  Ruuhimäki (Toivakka)",17,18,19,20,0
"41450  Leppälahti (Jyväskylä)",55,48,44,43,0
"41490  Niemisjärvi (Hankasalmi)",180,169,153,168,0
"41500  Hankasalmi Asemanseutu (Hankasalmi)",285,283,293,283,0
"41520  Hankasalmi Keskus (Hankasalmi)",645,627,599,588,0
"41530  Veneranta (Hankasalmi)",14,12,12,9,0
"41540  Ristimäki (Hankasalmi)",18,19,21,15,0
"41550  Hannula (Hankasalmi)",28,32,34,30,0
"41560  Säkinmäki (Hankasalmi)",17,17,14,14,0
"41580  Sauvamäki (Hankasalmi)",50,49,76,80,0
"41630  Oravasaari (Jyväskylä)",28,34,23,25,0
"41660  Toivakka Keskus (Toivakka)",461,472,497,471,0
"41710  Rutalahti-Kivisuo (Jyväskylä)",29,33,36,39,0
"41730  Kivisuo (Joutsa)",3,3,1,1,0
"41750  Havumäki (Joutsa)",15,11,11,11,0
"41770  Leivonmäki (Joutsa)",129,133,119,109,0
"41800  Korpilahti Keskus (Jyväskylä)",616,657,655,645,0
"41820  Saakoski (Jyväskylä)",42,46,43,37,0
"41840  Moksi (Jyväskylä)",4,4,4,6,0
"41860  Rannila (Jyväskylä)",57,53,57,64,0
"41870  Putkilahti (Jyväskylä)",22,19,20,18,0
"41880  Oittila (Jyväskylä)",10,10,9,11,0
"41900  Petäjävesi Keskus (Petäjävesi)",588,570,543,504,0
"41920  Kintaus (Petäjävesi)",99,87,97,97,0
"41925  Ylä-Kintaus (Petäjävesi)",12,9,18,17,0
"41930  Kuohu (Jyväskylä)",55,65,71,67,0
"41940  Vesanka (Jyväskylä)",130,161,149,152,0
"41970  Huttula (Keuruu)",3,3,3,3,0
"41980  Kuivasmäki (Petäjävesi)",43,39,29,30,0
"42100  Jämsä Keskus (Jämsä)",3466,3448,3637,3503,0
"42140  Juokslahti (Jämsä)",47,49,41,47,0
"42220  Kaipola (Jämsä)",477,100,127,95,0
"42300  Jämsänkoski Keskus (Jämsä)",1524,1667,1567,1464,0
"42330  Haavisto (Jämsä)",13,10,9,9,0
"42440  Koskenpää (Jämsä)",63,64,65,58,0
"42520  Asunta (Keuruu)",18,13,16,8,0
"42560  Pohjoisjärvi (Keuruu)",19,12,9,5,0
"42600  Multia Keskus-Väätäiskylä (Multia)",474,483,478,472,0
"42660  Sahrajärvi (Multia)",13,13,15,14,0
"42700  Keuruu Keskus (Keuruu)",2680,2747,2739,2634,0
"42800  Haapamäki (Keuruu)",300,305,278,302,0
"42820  Riiho (Keuruu)",9,10,10,9,0
"42830  Ylä-Kolkki (Mänttä-Vilppula)",4,4,3,4,0
"42840  Kolkki (Mänttä-Vilppula)",28,27,29,25,0
"42850  Pohjaslahti (Mänttä-Vilppula)",15,17,14,16,0
"42870  Kotala (Virrat)",59,63,65,50,0
"42910  Pihlajavesi (Keuruu)",28,35,38,33,0
"42930  Katajamäki (Keuruu)",7,3,8,7,0
"43100  Saarijärvi Keskus (Saarijärvi)",1975,2154,2120,2006,0
"43130  Tarvaala (Saarijärvi)",149,161,159,148,0
"43170  Häkkilä (Saarijärvi)",32,32,35,38,0
"43220  Mahlu (Saarijärvi)",49,57,58,49,0
"43240  Lehtola (Saarijärvi)",21,23,21,23,0
"43250  Kolkanlahti (Saarijärvi)",64,42,49,40,0
"43270  Kalmari (Saarijärvi)",82,86,89,98,0
"43300  Kannonkoski Keskus (Kannonkoski)",323,342,341,315,0
"43340  Kannonjärvi (Kannonkoski)",10,11,9,8,0
"43390  Lokakylä (Kivijärvi)",1,1,1,1,0
"43420  Kukko (Saarijärvi)",7,5,7,7,0
"43430  Väätäiskylä (Multia)",2,3,2,2,0
"43440  Pylkönmäki Keskus (Saarijärvi)",96,69,67,72,0
"43480  Pääjärvi (Saarijärvi)",17,17,20,19,0
"43490  Kangasaho (Karstula)",23,28,34,25,0
"43500  Karstula Keskus (Karstula)",870,900,889,877,0
"43520  Kiminki (Karstula)",31,25,21,21,0
"43540  Rantakylä-Pirttilahti (Karstula)",46,56,47,54,0
"43560  Vahanka (Karstula)",14,13,19,10,0
"43610  Aho (Karstula)",8,7,8,8,0
"43640  Humppi (Karstula)",147,145,126,134,0
"43660  Vastinki (Karstula)",24,23,25,19,0
"43700  Kyyjärvi Keskus (Kyyjärvi)",393,369,375,359,0
"43720  Kumpulainen (Kyyjärvi)",5,8,8,8,0
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",211,215,207,217,0
"43840  Sompala (Kivijärvi)",0,0,0,0,0
"43900  Kinnula Keskus (Kinnula)",370,376,367,383,0
"43940  Muhola-Saarensalmi (Kinnula)",14,20,14,16,0
"43960  Saarensalmi (Kinnula)",2,2,2,2,0
"44100  Äänekoski Keskus (Äänekoski)",3218,3170,3254,3180,0
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",181,197,193,197,0
"44150  Likolahti-Karhunlähde (Äänekoski)",548,573,489,498,0
"44160  Huutomäki (Äänekoski)",50,51,50,49,0
"44170  Hietama (Äänekoski)",54,55,55,62,0
"44190  Parantala (Äänekoski)",5,6,5,7,0
"44200  Suolahti Keskus (Äänekoski)",1886,2314,2424,1971,0
"44220  Sörkänmäki (Äänekoski)",5,5,3,7,0
"44250  Äänekoivisto (Äänekoski)",187,200,297,308,0
"44260  Vihijärvi (Äänekoski)",12,12,13,12,0
"44280  Sumiainen Keskus (Äänekoski)",73,76,78,70,0
"44300  Konnevesi Keskus (Konnevesi)",463,507,486,478,0
"44320  Sirkkamäki (Konnevesi)",17,21,21,24,0
"44330  Hytölä (Konnevesi)",130,140,139,165,0
"44350  Istunmäki (Konnevesi)",60,33,35,31,0
"44370  Mäntymäki (Konnevesi)",27,24,25,19,0
"44400  Konginkangas Keskus (Äänekoski)",74,87,90,108,0
"44420  Liimattala (Äänekoski)",38,42,41,43,0
"44440  Räihä (Äänekoski)",14,12,10,15,0
"44460  Kalaniemi (Äänekoski)",5,6,8,8,0
"44480  Niinilahti (Viitasaari)",7,7,8,9,0
"44500  Viitasaari Keskus (Viitasaari)",1821,1849,1829,1734,0
"44530  Ilmolahti (Viitasaari)",14,16,12,11,0
"44580  Huopanankoski (Viitasaari)",35,29,28,32,0
"44590  Vuorilahti (Viitasaari)",3,2,1,1,0
"44610  Kärnä (Viitasaari)",27,27,27,25,0
"44630  Kumpumäki (Viitasaari)",12,5,7,9,0
"44640  Kymönkoski (Viitasaari)",42,52,58,55,0
"44670  Suovanlahti (Viitasaari)",34,30,28,27,0
"44680  Lahnanen (Viitasaari)",3,2,4,4,0
"44730  Löytänä (Viitasaari)",4,3,4,2,0
"44740  Keitelepohja-Kotvala (Viitasaari)",28,33,36,32,0
"44760  Keihärinkoski (Viitasaari)",20,21,17,20,0
"44770  Valkeisjärvi (Viitasaari)",0,0,0,0,0
"44790  Kotvala (Viitasaari)",0,0,0,0,0
"44800  Pihtipudas Keskus (Pihtipudas)",1033,981,984,981,0
"44860  Alvajärvi (Pihtipudas)",45,34,36,36,0
"44880  Muurasjärvi (Pihtipudas)",90,89,83,80,0
"44910  Elämäjärvi (Pihtipudas)",49,29,30,35,0
"44920  Peninki (Pihtipudas)",23,26,27,38,0
"44950  Kärväsjärvi (Pihtipudas)",9,10,8,9,0
"44970  Korppinen (Pihtipudas)",13,15,15,12,0
"45100  Kouvola Keskus (Kouvola)",7467,7737,8711,8512,0
"45120  Kotkankallio-Vahteronmäki (Kouvola)",235,266,275,271,0
"45130  Korjala-Kaunisnurmi (Kouvola)",2659,2839,2790,2505,0
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",503,509,532,595,0
"45160  Lehtomäki (Kouvola)",311,298,275,268,0
"45200  Tornionmäki (Kouvola)",1795,1938,1824,1955,0
"45330  Harju (Kouvola)",14,14,17,15,0
"45360  Kukkuramäki (Kouvola)",502,535,577,584,0
"45370  Valkeala kk (Kouvola)",947,475,456,473,0
"45410  Utti (Kouvola)",602,640,660,598,0
"45460  Savero (Kouvola)",24,25,22,23,0
"45610  Koria (Kouvola)",925,988,988,855,0
"45700  Kuusankoski Keskus (Kouvola)",3052,3146,2422,2436,0
"45720  Kotiharju-Puhjonmäki (Kouvola)",1359,1444,1474,1394,0
"45740  Maunuksela (Kouvola)",701,755,728,636,0
"45750  Kuusankosken Sairaala-alue (Kouvola)",826,695,713,735,0
"45810  Pilkanmaa (Kouvola)",96,101,105,97,0
"45910  Voikkaa (Kouvola)",562,590,598,585,0
