"12f5 -- 7. Workplace structure, 2010-2024"

"Postal code area","2020 Workplaces, total (TP)","2021 Workplaces, total (TP)","2022 Workplaces, total (TP)","2023 Workplaces, total (TP)","2024 Workplaces, total (TP)"
"09430  Saukkola (Lohja)",273,291,281,290,0
"09520  Millola (Lohja)",11,12,16,14,0
"09630  Koisjärvi (Lohja)",61,70,72,64,0
"09810  Nummi-Oinola (Lohja)",231,222,224,218,0
"09930  Leppäkorpi (Lohja)",37,38,43,37,0
"10120  Tähtelä (Ingå)",84,89,94,90,0
"10140  Päivölä (Ingå)",33,30,34,45,0
"10160  Degerby (Ingå)",157,171,168,158,0
"10210  Inkoo Keskus (Ingå)",732,701,786,702,0
"10230  Inkoo Asemanseutu (Ingå)",102,105,125,105,0
"10250  Fagervik (Ingå)",14,15,15,16,0
"10270  Barösund (Ingå)",35,53,61,59,0
"10300  Karjaa Keskus (Raseborg)",1867,1878,1871,1913,0
"10320  Bäljars (Raseborg)",366,365,422,475,0
"10330  Pinjainen (Raseborg)",258,318,306,278,0
"10350  Meltolan sairaala-alue (Raseborg)",54,59,54,59,0
"10360  Mustio (Raseborg)",250,232,234,227,0
"10380  Kaunislahti (Raseborg)",15,13,10,8,0
"10410  Åminnefors (Raseborg)",113,130,138,105,0
"10420  Pohjankuru (Raseborg)",329,342,324,311,0
"10440  Bollsta (Raseborg)",135,135,153,104,0
"10470  Fiskari (Raseborg)",167,200,192,176,0
"10480  Antskog (Raseborg)",8,7,3,2,0
"10520  Tenhola Kirkonkylä (Raseborg)",345,308,337,354,0
"10570  Bromarv (Raseborg)",66,67,67,74,0
"10600  Tammisaari Keskus (Raseborg)",3227,3164,3220,3107,0
"10620  Tammisaari (Raseborg)",280,279,304,275,0
"10640  Dragsvik (Raseborg)",312,334,291,301,0
"10650  Flyet (Raseborg)",1038,1009,1031,1096,0
"10660  Trollböle (Raseborg)",161,180,190,198,0
"10680  Skogby (Raseborg)",41,39,37,38,0
"10710  Snappertuna (Raseborg)",74,66,66,61,0
"10820  Lappohja (Hanko)",85,29,49,171,0
"10900  Hanko Keskus (Hanko)",2135,2212,2289,2184,0
"10940  Hangonkylä (Hanko)",178,189,192,138,0
"10960  Hanko Pohjoinen (Hanko)",754,725,776,848,0
"11100  Riihimäki Keskus (Riihimäki)",3188,3266,3319,3311,0
"11120  Pohjois-Riihimäki (Riihimäki)",1915,1970,2008,1983,0
"11130  Peltosaari-Patastenmäki (Riihimäki)",2256,2267,2346,2415,0
"11310  Taka-Kasarmi (Riihimäki)",441,394,817,807,0
"11710  Herajoki (Riihimäki)",2130,2548,2622,2674,0
"11910  Lasi-Kumela (Riihimäki)",249,247,236,254,0
"12100  Oitti (Hausjärvi)",701,661,647,629,0
"12130  Mommila (Hausjärvi)",20,20,23,19,0
"12170  Hietoinen (Hausjärvi)",22,24,20,19,0
"12210  Hausjärvi kk (Hausjärvi)",95,112,94,97,0
"12240  Hikiä (Hausjärvi)",278,277,324,301,0
"12310  Ryttylä (Hausjärvi)",231,225,223,205,0
"12350  Turkhauta (Hausjärvi)",60,62,57,46,0
"12380  Leppäkoski (Janakkala)",80,81,73,79,0
"12400  Tervakoski (Janakkala)",846,1119,1124,1106,0
"12450  Vähikkälä (Janakkala)",29,25,32,39,0
"12520  Kormu (Loppi)",117,129,140,150,0
"12540  Launonen (Loppi)",226,216,198,189,0
"12600  Läyliäinen (Loppi)",321,316,342,326,0
"12630  Sajaniemi (Loppi)",38,60,51,46,0
"12640  Joentaka (Loppi)",100,93,103,48,0
"12700  Loppi kk (Loppi)",802,787,799,785,0
"12750  Pilpala (Loppi)",75,62,83,74,0
"12820  Räyskälä (Loppi)",12,17,15,14,0
"12920  Topeno (Loppi)",59,53,54,68,0
"12950  Vojakkala-Eerolankulma (Loppi)",34,40,30,32,0
"13100  Hämeenlinna Keskus (Hämeenlinna)",6818,6473,6576,7191,0
"13110  Kantola (Hämeenlinna)",1423,1435,1533,1279,0
"13130  Kauriala (Hämeenlinna)",3573,3622,3784,3852,0
"13200  Keinusaari (Hämeenlinna)",1298,1778,1770,1789,0
"13210  Hätilä (Hämeenlinna)",1590,1660,1829,1769,0
"13220  Sairio (Hämeenlinna)",193,178,213,219,0
"13250  Katuma (Hämeenlinna)",346,368,396,571,0
"13270  Ruununmylly (Hämeenlinna)",151,159,192,183,0
"13300  Käikälä (Hämeenlinna)",1377,1556,1553,1195,0
"13330  Harviala (Janakkala)",108,125,133,153,0
"13430  Hattelmala (Hämeenlinna)",1494,1532,1504,1468,0
"13500  Jukola (Hämeenlinna)",1560,1596,1699,1663,0
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",1972,1907,1829,1904,0
"13600  Ojoinen (Hämeenlinna)",1113,1096,1133,1132,0
"13700  Parolannummi (Hattula)",740,774,792,813,0
"13720  Parola (Hattula)",1067,1138,1152,1155,0
"13800  Katinala (Hattula)",272,263,243,218,0
"13880  Rahkoila (Hattula)",177,180,179,165,0
"13900  Pekola (Hattula)",86,94,90,88,0
"14140  Jokimaa (Janakkala)",17,21,19,26,0
"14200  Turenki (Janakkala)",3087,3119,3174,3057,0
"14240  Väli-Janakkala (Janakkala)",131,139,131,134,0
"14300  Renko kk (Hämeenlinna)",397,397,399,378,0
"14430  Vuohiniemi (Hattula)",0,0,2,2,0
