"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"01420  Päiväkumpu (Vantaa)",2.7,2.7,2.7,2.7,2.7
"01450  Korso (Vantaa)",2.1,2.1,2.1,2.1,2.1
"01480  Mikkola (Vantaa)",2.1,2.1,2.1,2.1,2.1
"01490  Nikinmäki (Vantaa)",2.8,2.8,2.8,2.8,2.8
"01510  Kirkonkylä-Veromäki (Vantaa)",2.1,2.1,2.0,2.0,2.0
"01520  Tammisto (Vantaa)",2.2,2.2,2.2,2.2,2.2
"01530  Veromiehenkylä (Vantaa)",1.7,1.7,1.8,1.9,1.9
"01600  Myyrmäki (Vantaa)",1.8,1.8,1.8,1.8,1.8
"01610  Kaivoksela (Vantaa)",1.7,1.7,1.7,1.7,1.7
"01620  Martinlaakso (Vantaa)",1.9,1.9,1.9,1.9,1.9
"01630  Hämeenkylä (Vantaa)",2.4,2.4,2.3,2.3,2.3
"01640  Hämevaara (Vantaa)",2.1,2.1,2.1,2.1,2.1
"01650  Vapaala (Vantaa)",2.1,2.1,2.1,2.1,2.1
"01660  Varisto (Vantaa)",2.2,2.2,2.2,2.2,2.2
"01670  Vantaanlaakso (Vantaa)",2.3,2.3,2.3,2.3,2.3
"01680  Askisto (Vantaa)",2.6,2.6,2.6,2.6,2.6
"01690  Ylästö (Vantaa)",2.9,2.9,2.9,2.8,2.8
"01700  Kivistö (Vantaa)",1.8,1.8,1.8,1.8,1.8
"01710  Pähkinärinne (Vantaa)",1.8,1.8,1.8,1.8,1.8
"01720  Petikko (Vantaa)",2.0,2.1,1.8,1.8,...
"01730  Vantaanpuisto (Vantaa)",2.3,2.3,2.3,2.3,2.3
"01740  Tuupakan teollisuusalue (Vantaa)",2.3,2.3,2.2,2.3,2.2
"01750  Keimola (Vantaa)",2.6,2.6,2.6,2.5,2.5
"01760  Seutula (Vantaa)",2.4,2.4,2.4,2.4,2.4
"01770  Martinlaakson teollisuusalue (Vantaa)",0.0,0.0,0.0,0.0,0.0
"01800  Klaukkala Keskus (Nurmijärvi)",2.0,2.0,2.0,2.0,2.0
"01810  Luhtajoki (Nurmijärvi)",2.7,2.7,2.6,2.6,2.6
"01820  Haikala (Nurmijärvi)",2.5,2.5,2.5,2.5,2.4
"01830  Lepsämä (Nurmijärvi)",2.7,2.7,2.7,2.7,2.7
"01840  Klaukkala (Nurmijärvi)",2.6,2.6,2.5,2.5,2.5
"01860  Perttula (Nurmijärvi)",2.5,2.5,2.5,2.5,2.5
"01900  Nurmijärvi Keskus (Nurmijärvi)",2.1,2.0,2.0,2.0,2.0
"01940  Palojoki (Nurmijärvi)",2.6,2.6,2.5,2.5,2.5
"02100  Tapiola (Espoo)",1.7,1.7,1.7,1.7,1.7
"02110  Otsolahti (Espoo)",1.8,1.9,1.9,1.9,1.9
"02120  Länsikorkee-Suvikumpu (Espoo)",1.8,1.8,1.8,1.8,1.8
"02130  Pohjois-Tapiola (Espoo)",2.3,2.2,2.2,2.2,2.2
"02140  Laajalahti (Espoo)",2.6,2.6,2.6,2.6,2.6
"02150  Otaniemi (Espoo)",1.7,1.8,1.8,1.9,1.9
"02160  Westend (Espoo)",2.5,2.5,2.5,2.5,2.4
"02170  Haukilahti (Espoo)",2.1,2.1,2.1,2.1,2.1
"02180  Mankkaa (Espoo)",2.7,2.7,2.7,2.7,2.7
"02200  Niittykumpu (Espoo)",1.9,1.9,1.8,1.8,1.8
"02210  Olari (Espoo)",2.0,1.9,1.9,1.9,1.9
"02230  Matinkylä (Espoo)",1.9,1.9,1.9,2.0,2.0
"02240  Friisilä (Espoo)",2.6,2.5,2.4,2.3,2.3
"02250  Henttaa (Espoo)",2.1,2.0,2.0,2.0,2.0
"02260  Kaitaa (Espoo)",2.3,2.3,2.3,2.2,2.2
"02270  Finnoo-Eestinmalmi (Espoo)",2.6,2.6,2.3,2.2,2.0
"02280  Malminmäki-Eestinlaakso (Espoo)",2.3,2.3,2.3,2.3,2.3
"02300  Nöykkiönpuro (Espoo)",2.9,2.9,2.9,2.8,2.8
"02320  Espoonlahti (Espoo)",1.9,1.9,1.9,1.9,1.9
"02330  Saunalahti-Kattilalaakso (Espoo)",2.3,2.2,2.2,2.1,2.2
"02340  Latokaski (Espoo)",2.7,2.6,2.6,2.6,2.6
"02360  Soukka (Espoo)",2.2,2.1,2.1,2.1,2.1
"02380  Suvisaaristo (Espoo)",2.5,2.5,2.5,2.4,2.4
"02390  Sarvvik (Kirkkonummi)",1.8,1.7,1.8,1.7,1.7
"02400  Kirkkonummi Keskus (Kirkkonummi)",2.1,2.1,2.0,2.0,2.0
"02410  Gesterby (Kirkkonummi)",1.7,1.7,1.7,1.7,1.7
"02420  Jorvas (Kirkkonummi)",2.6,2.5,2.5,2.4,2.4
"02430  Masala (Kirkkonummi)",2.1,2.1,2.0,2.0,2.0
"02440  Luoma (Kirkkonummi)",2.5,2.5,2.4,2.4,2.3
"02450  Sundsberg (Kirkkonummi)",3.0,3.0,2.9,2.9,2.9
"02460  Kantvik (Kirkkonummi)",2.2,2.2,2.2,2.2,2.2
"02470  Upinniemi (Kirkkonummi)",1.5,1.5,1.5,1.5,1.5
"02480  Porkkala (Kirkkonummi)",2.5,2.5,2.5,2.5,2.5
"02490  Pikkala (Siuntio)",1.8,1.9,1.8,1.8,1.9
"02510  Oitmäki (Kirkkonummi)",2.4,2.3,2.3,2.2,2.3
"02520  Lapinkylä (Kirkkonummi)",2.4,2.4,2.4,2.4,2.4
"02540  Kylmälä (Kirkkonummi)",2.3,2.3,2.3,2.3,2.4
"02550  Evitskog (Kirkkonummi)",2.4,2.4,2.4,2.5,2.4
"02570  Siuntio Kirkonkylä (Siuntio)",2.3,2.3,2.3,2.2,2.2
"02580  Siuntio Asemanseutu (Siuntio)",2.3,2.3,2.3,2.3,2.3
"02590  Lappers (Siuntio)",2.8,2.8,2.5,2.5,2.4
"02600  Etelä-Leppävaara (Espoo)",1.9,1.9,1.9,1.9,1.9
"02610  Kilo (Espoo)",2.2,2.2,2.2,2.2,2.3
"02620  Karakallio (Espoo)",2.3,2.2,2.2,2.2,2.2
"02630  Nihtisilta (Espoo)",2.3,2.3,2.2,2.2,2.1
"02650  Pohjois-Leppävaara (Espoo)",1.8,1.8,1.8,1.8,1.8
"02660  Lintuvaara (Espoo)",2.7,2.7,2.7,2.7,2.7
"02680  Uusmäki (Espoo)",2.4,2.4,2.4,2.4,2.4
"02700  Kauniainen (Kauniainen)",2.3,2.3,2.3,2.3,2.3
"02710  Viherlaakso (Espoo)",2.0,2.0,2.0,2.0,2.0
"02720  Lähderanta (Espoo)",2.2,2.2,2.1,2.1,2.1
"02730  Jupperi (Espoo)",2.8,2.8,2.7,2.7,2.7
"02740  Bemböle-Pakankylä (Espoo)",2.5,2.5,2.5,2.4,2.4
"02750  Sepänkylä-Kuurinniitty (Espoo)",2.3,2.3,2.3,2.2,2.2
"02760  Tuomarila-Suvela (Espoo)",2.2,2.2,2.2,2.2,2.3
"02770  Espoon Keskus (Espoo)",2.1,2.1,2.1,2.1,2.1
"02780  Kauklahti (Espoo)",2.5,2.5,2.5,2.5,2.5
"02810  Gumböle-Karhusuo (Espoo)",2.7,2.7,2.7,2.7,2.7
"02820  Nupuri-Nuuksio (Espoo)",2.5,2.5,2.5,2.5,2.5
"02860  Siikajärvi (Espoo)",2.4,2.4,2.3,2.4,2.4
"02880  Veikkola (Kirkkonummi)",2.6,2.6,2.5,2.5,2.5
"02920  Niipperi (Espoo)",2.8,2.7,2.7,2.7,2.7
"02940  Lippajärvi-Järvenperä (Espoo)",2.3,2.2,2.2,2.2,2.2
"02970  Kalajärvi (Espoo)",2.6,2.6,2.6,2.6,2.5
"02980  Lakisto (Espoo)",1.8,1.8,1.8,1.8,1.8
"03100  Nummela (Vihti)",2.0,2.0,2.0,2.0,2.0
"03150  Huhmari (Vihti)",2.3,2.3,2.3,2.3,2.2
"03220  Tervalampi (Vihti)",2.2,2.2,2.3,2.3,2.3
"03250  Ojakkala (Vihti)",2.6,2.6,2.5,2.5,2.5
"03300  Otalampi (Vihti)",2.5,2.5,2.5,2.5,2.5
"03320  Selki (Vihti)",2.3,2.4,2.3,2.2,2.2
"03400  Vihti Kirkonkylä (Vihti)",2.2,2.2,2.2,2.2,2.2
"03430  Jokikunta (Vihti)",2.6,2.5,2.5,2.4,2.4
"03600  Karkkila Keskus (Karkkila)",2.0,2.0,1.9,1.9,1.9
"03620  Polari (Karkkila)",2.0,2.0,2.0,2.0,2.0
"03710  Uusitalo (Karkkila)",2.4,2.4,2.4,2.2,2.3
"03790  Vihtijärvi (Vihti)",2.3,2.3,2.2,2.2,2.2
"03810  Ikkala (Lohja)",2.0,2.0,1.8,1.9,1.9
"03850  Pusula (Lohja)",2.0,2.0,2.0,2.0,2.0
"03870  Hyönölä (Lohja)",2.1,2.1,2.1,2.1,2.1
"04130  Sipoo (Sipoo)",2.1,2.1,2.1,2.1,2.1
"04150  Martinkylä (Sipoo)",2.5,2.4,2.4,2.3,2.3
"04170  Paippinen (Sipoo)",2.6,2.6,2.6,2.6,2.5
"04200  Kerava Keskus (Kerava)",1.8,1.8,1.8,1.8,1.8
"04220  Ahjo-Kaskela (Kerava)",2.2,2.2,2.2,2.2,2.2
"04230  Pihkaniitty (Kerava)",2.2,2.2,2.2,2.2,2.2
"04240  Talma (Sipoo)",2.5,2.4,2.4,2.4,2.4
"04250  Alikerava (Kerava)",1.8,1.7,1.7,1.7,1.8
"04260  Savio (Kerava)",2.0,2.0,2.0,2.0,2.0
"04300  Hyrylä (Tuusula)",2.1,2.1,2.0,2.0,2.0
"04310  Tuusula Kirkonkylä (Tuusula)",2.3,2.3,2.3,2.3,2.3
"04320  Riihikallio (Tuusula)",2.1,2.1,2.1,2.1,2.0
"04330  Lahela (Tuusula)",2.7,2.6,2.6,2.6,2.6
"04340  Mattila (Tuusula)",2.1,2.1,2.1,2.0,2.0
"04350  Nahkela (Tuusula)",2.4,2.4,2.4,2.3,2.3
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",2.5,2.5,2.5,2.4,2.4
"04370  Rusutjärvi (Tuusula)",2.5,2.5,2.5,2.5,2.4
"04380  Tuomala (Tuusula)",2.5,2.5,2.4,2.4,2.4
"04390  Jäniksenlinna (Tuusula)",2.4,2.4,2.3,2.2,2.3
"04400  Loutti (Järvenpää)",1.8,1.8,1.8,1.7,1.7
"04410  Järvenpää Keskus (Järvenpää)",1.9,1.8,1.8,1.8,1.8
"04420  Kyrölä (Järvenpää)",2.2,2.2,2.2,2.2,2.2
"04430  Kinnari-Mikonkorpi (Järvenpää)",2.3,2.2,2.2,2.2,2.2
"04440  Jamppa (Järvenpää)",1.9,1.9,1.8,1.9,1.9
"04460  Nummenkylä (Järvenpää)",2.4,2.4,2.4,2.4,2.4
"04480  Haarajoki (Järvenpää)",2.8,2.8,2.8,2.8,2.7
"04500  Kellokoski (Tuusula)",2.4,2.4,2.4,2.4,2.4
"04530  Ohkola (Mäntsälä)",2.6,2.6,2.6,2.6,2.6
"04600  Mäntsälä Keskus (Mäntsälä)",2.0,2.0,2.0,2.0,2.0
"04620  Kaunismäki (Mäntsälä)",2.8,2.7,2.6,2.5,2.5
"04630  Sääksjärvi (Mäntsälä)",2.4,2.5,2.4,2.4,2.3
"04660  Numminen (Mäntsälä)",2.5,2.5,2.5,2.4,2.4
"04680  Hirvihaara (Mäntsälä)",2.5,2.5,2.5,2.5,2.5
"04740  Sälinkää (Mäntsälä)",2.4,2.4,2.3,2.3,2.3
"04770  Sahakylä (Mäntsälä)",2.2,2.2,2.2,2.2,2.2
"04820  Kaukalampi (Mäntsälä)",2.5,2.5,2.5,2.5,2.4
"04840  Hautjärvi (Mäntsälä)",2.2,2.2,2.2,2.2,2.1
"04920  Saarentaus (Mäntsälä)",2.3,2.2,2.2,2.1,2.2
"04940  Levanto (Mäntsälä)",2.4,2.4,2.4,2.4,2.4
"05100  Röykkä (Nurmijärvi)",2.4,2.4,2.4,2.4,2.4
"05200  Rajamäki (Nurmijärvi)",2.4,2.4,2.4,2.4,2.4
"05250  Kiljava (Nurmijärvi)",2.3,2.2,2.2,2.2,2.2
"05400  Jokela (Tuusula)",2.3,2.3,2.3,2.3,2.3
"05430  Nuppulinna (Tuusula)",2.4,2.4,2.4,2.4,2.3
"05440  Hyvinkää (Hyvinkää)",2.6,2.6,2.6,2.6,2.6
"05450  Nukari (Nurmijärvi)",2.5,2.5,2.5,2.4,2.4
"05460  Hakalanmäki-Hakala (Hyvinkää)",2.0,2.0,2.1,2.0,2.0
"05470  Palopuro (Hyvinkää)",2.4,2.3,2.3,2.3,2.3
"05510  Päivärinta (Hyvinkää)",1.9,2.0,1.9,1.9,1.9
"05620  Noppo (Hyvinkää)",2.5,2.4,2.4,2.4,2.4
"05720  Kytäjä (Hyvinkää)",2.5,2.5,2.6,2.4,2.4
"05800  Hyvinkää Keskus (Hyvinkää)",1.6,1.6,1.6,1.6,1.6
"05810  Martti (Hyvinkää)",2.4,2.4,2.4,2.3,2.3
"05820  Mustamännistö (Hyvinkää)",2.2,2.2,2.2,2.2,2.2
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",1.9,1.9,1.9,1.9,1.9
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",2.1,2.1,2.0,2.0,2.0
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",0.0,0.0,0.0,0.0,0.0
"05860  Talvisilta (Hyvinkää)",2.0,2.0,2.0,2.0,2.0
"05880  Paavola-Vaivero (Hyvinkää)",1.8,1.8,1.8,1.8,1.8
"05900  Vieremä (Hyvinkää)",1.7,1.7,1.7,1.7,1.7
"05950  Ridasjärvi (Hyvinkää)",2.2,2.2,2.2,2.2,2.2
"06100  Porvoo Keskus (Porvoo)",1.9,1.9,1.8,1.8,1.8
"06150  Kevätkumpu (Porvoo)",2.0,2.0,2.0,2.0,2.0
"06200  Porvoo itäinen (Porvoo)",2.4,2.3,2.3,2.3,2.4
"06400  Gammelbacka (Porvoo)",2.1,2.1,2.1,2.1,2.1
"06450  Eestinmäki-Ernestas (Porvoo)",2.1,2.1,2.1,2.1,2.1
"06500  Saksala-Suomenkylä (Porvoo)",2.4,2.3,2.3,2.3,2.3
"06530  Kerkkoo (Porvoo)",2.4,2.4,2.4,2.2,2.2
"06650  Hamari (Porvoo)",2.3,2.3,2.3,2.2,2.2
"06750  Tolkkinen (Porvoo)",2.6,2.7,2.6,2.6,2.6
"06830  Kulloonkylä (Porvoo)",2.6,2.5,2.5,2.5,2.4
"06850  Kulloo (Porvoo)",...,...,...,...,...
"06880  Kärrby (Sipoo)",2.2,2.2,2.3,2.3,2.3
"06950  Emäsalo (Porvoo)",2.1,2.1,2.1,2.2,2.1
"07110  Hinthaara (Porvoo)",2.6,2.6,2.6,2.6,2.5
"07130  Anttila (Porvoo)",2.4,2.4,2.4,2.3,2.3
"07150  Laukkoski (Pornainen)",2.6,2.6,2.5,2.5,2.5
"07170  Keski-Pornainen (Pornainen)",2.4,2.4,2.4,2.3,2.3
"07190  Halkia (Pornainen)",2.6,2.6,2.5,2.5,2.5
"07220  Kaarenkylä (Porvoo)",2.2,2.2,2.3,2.3,2.2
"07230  Monninkylä (Askola)",2.3,2.3,2.3,2.2,2.2
"07280  Ilola (Porvoo)",2.3,2.3,2.3,2.3,2.3
"07310  Sannainen (Porvoo)",2.6,2.6,2.5,2.5,2.5
"07320  Jakari-Sannäs (Porvoo)",2.4,2.4,2.3,2.3,2.3
"07350  Gäddrag (Porvoo)",2.1,2.3,2.2,2.2,2.1
"07360  Tirmo (Porvoo)",...,...,...,...,...
"07370  Pellinki (Porvoo)",2.0,1.9,2.0,2.0,2.0
"07390  Suurpellinki (Porvoo)",2.2,2.2,2.1,2.0,1.9
"07410  Kråkö (Porvoo)",2.1,2.1,2.1,2.1,2.1
"07450  Voolahti (Porvoo)",2.3,2.3,2.4,2.4,2.4
"07500  Askola Kirkonkylä (Askola)",2.3,2.3,2.2,2.2,2.2
"07510  Vakkola (Askola)",2.3,2.3,2.2,2.2,2.1
"07530  Onkimaa (Askola)",2.1,2.0,2.0,2.0,2.0
"07550  Torpinkylä (Pukkila)",2.3,2.3,2.2,2.2,2.2
"07560  Pukkila Keskus (Pukkila)",2.0,2.0,2.0,2.0,1.9
