"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"22930  Fiskö (Brändö)",...,...,...,...,...
"22940  Åva (Brändö)",2.3,2.2,2.3,2.2,2.2
"22950  Jurmo (Brändö)",...,...,...,...,...
"23100  Mynämäki Keskus (Mynämäki)",2.1,2.0,2.1,2.0,2.0
"23120  Mietoinen Keskus (Mynämäki)",2.2,2.2,2.1,2.1,2.1
"23140  Hietamäki (Mynämäki)",2.2,2.2,2.2,2.1,2.1
"23200  Vinkkilä (Vehmaa)",1.9,2.0,1.9,1.9,1.9
"23210  Vehmaa (Vehmaa)",2.1,2.1,2.0,2.0,1.9
"23260  Rautila (Vehmaa)",1.9,1.9,2.0,2.0,2.1
"23310  Taivassalo (Taivassalo)",2.0,2.0,2.0,2.0,2.0
"23360  Kustavi (Kustavi)",1.9,1.9,1.8,1.8,1.8
"23390  Iniö (Pargas)",1.9,1.9,1.8,1.9,1.8
"23450  Lokalahti (Uusikaupunki)",2.1,2.1,2.0,2.1,2.0
"23500  Uusikaupunki Keskus (Uusikaupunki)",1.8,1.8,1.8,1.8,1.8
"23600  Kalanti Keskus (Uusikaupunki)",2.2,2.1,2.1,2.1,2.1
"23660  Kalanti Asemanseutu (Uusikaupunki)",2.4,2.4,2.4,2.3,2.3
"23800  Laitila Keskus (Laitila)",2.0,2.0,2.0,2.0,2.0
"23930  Pyhämaa (Uusikaupunki)",1.8,1.9,1.8,1.8,1.8
"23950  Pyhäranta (Pyhäranta)",1.9,1.9,1.9,1.9,1.9
"23960  Santtio (Pyhäranta)",2.0,2.0,2.1,2.2,2.2
"24100  Salo Keskus (Salo)",1.6,1.6,1.6,1.6,1.6
"24130  Ylhäisi (Salo)",2.1,2.1,2.1,2.1,2.1
"24240  Rappula (Salo)",1.7,1.7,1.7,1.7,1.7
"24260  Ollikkala (Salo)",1.8,1.8,1.8,1.8,1.8
"24280  Tupuri-Hähkänä (Salo)",2.4,2.3,2.3,2.3,2.3
"24800  Halikko Keskus (Salo)",1.9,1.8,1.8,1.8,1.8
"24910  Halikko Asemanseutu (Salo)",2.7,2.7,2.6,2.6,2.6
"25110  Kruusila (Salo)",2.1,2.1,2.1,2.1,2.1
"25130  Muurla (Salo)",2.2,2.2,2.2,2.2,2.2
"25160  Tuohittu (Salo)",2.2,2.2,2.3,2.4,2.3
"25170  Kotalato (Salo)",2.4,2.4,2.4,2.4,2.3
"25180  Romsila (Salo)",2.3,2.3,2.3,2.3,2.2
"25190  Inkere (Salo)",2.1,2.1,2.1,2.1,2.1
"25210  Vartsala (Salo)",2.6,2.5,2.4,2.4,2.4
"25230  Angelniemi (Salo)",2.1,2.0,2.1,2.1,2.1
"25240  Hajala (Salo)",2.2,2.2,2.1,2.1,2.0
"25250  Märynummi (Salo)",2.1,2.1,2.1,2.1,2.1
"25260  Vaskio (Salo)",2.2,2.1,2.1,2.0,2.0
"25320  Raatala (Salo)",2.1,2.0,2.0,2.0,2.0
"25330  Kuusjoki Keskus (Salo)",2.0,2.0,2.0,2.0,2.0
"25340  Kanunki (Salo)",2.0,1.9,1.9,1.9,2.0
"25360  Pertteli Keskus (Salo)",2.2,2.1,2.1,2.1,2.1
"25370  Hiisi (Salo)",2.3,2.2,2.2,2.2,2.2
"25380  Rekijoki (Salo)",1.9,1.9,2.0,1.9,1.9
"25390  Kiikala Keskus (Salo)",1.9,1.8,1.8,1.8,1.8
"25410  Suomusjärvi Keskus (Salo)",1.8,1.8,1.8,1.8,1.8
"25420  Lahnajärvi (Salo)",2.0,2.0,2.0,2.0,2.1
"25430  Kettula (Salo)",1.8,1.7,1.7,1.8,1.9
"25460  Toija (Salo)",1.9,1.9,1.9,1.9,1.9
"25470  Kisko kk (Salo)",1.9,2.0,2.0,1.9,1.9
"25500  Perniö Keskus (Salo)",2.0,1.9,1.9,1.9,1.9
"25520  Perniö Asemanseutu (Salo)",2.3,2.2,2.2,2.2,2.2
"25540  Knaapila (Salo)",2.1,2.0,2.0,2.0,1.9
"25550  Aijala (Salo)",1.7,1.7,1.8,1.8,1.7
"25560  Koski Asemanseutu (Salo)",1.9,1.9,1.9,1.9,1.9
"25570  Teijo-Mathildedal (Salo)",1.9,1.8,1.8,1.8,1.8
"25610  Ylönkylä (Salo)",2.1,2.2,2.1,2.0,2.1
"25630  Finby (Salo)",1.8,1.7,1.8,1.7,1.7
"25640  Förby (Salo)",1.8,1.8,1.8,1.8,1.8
"25650  Strömma (Kimitoön)",1.7,1.7,1.8,1.7,1.7
"25660  Mathildedal (Salo)",1.7,1.7,1.7,1.7,1.7
"25700  Kemiö Keskus (Kimitoön)",2.0,2.0,1.9,1.9,1.9
"25710  Vreta-Vestlax (Kimitoön)",2.3,2.3,2.2,2.1,2.2
"25730  Mjösund (Kimitoön)",2.1,2.1,2.1,2.0,1.9
"25760  Kiila (Kimitoön)",2.1,2.1,2.1,2.0,2.0
"25810  Mark (Kimitoön)",1.6,1.8,1.6,1.7,1.9
"25820  Vestlax (Kimitoön)",2.3,2.4,2.3,2.3,2.4
"25830  Västanfjärd Keskus (Kimitoön)",1.9,1.9,1.9,1.9,1.8
"25840  Nivelax (Kimitoön)",2.2,2.2,2.2,2.2,2.1
"25860  Björkboda (Kimitoön)",1.8,1.8,1.8,1.7,1.7
"25870  Dragsfjärd (Kimitoön)",1.9,1.9,1.9,1.8,1.8
"25900  Taalintehdas (Kimitoön)",1.7,1.7,1.7,1.7,1.7
"25910  Vänoxa (Kimitoön)",...,...,...,...,...
"25930  Kasnäs (Kimitoön)",2.2,2.3,2.3,...,...
"25940  Hiittinen (Kimitoön)",1.7,1.6,1.7,1.6,1.6
"25950  Rosala-Kasnäs-Hitis (Kimitoön)",1.8,1.7,1.8,1.7,1.8
"25960  Högsåra (Kimitoön)",...,...,...,...,...
"26100  Rauma Keskus (Rauma)",1.7,1.7,1.7,1.7,1.7
"26200  Merirauma-Kappelinluhta (Rauma)",2.1,2.1,2.1,2.1,2.1
"26410  Kaaro (Rauma)",2.6,2.6,2.6,2.5,2.5
"26510  Uotila (Rauma)",2.1,2.1,2.1,2.2,2.1
"26560  Kolla (Rauma)",2.3,2.3,2.3,2.2,2.2
"26660  Paroalho (Rauma)",1.8,1.8,1.8,1.8,1.8
"26720  Monnanummi (Rauma)",2.4,2.3,2.3,2.2,2.2
"26740  Vasarainen (Rauma)",2.3,2.3,2.3,2.3,2.3
"26820  Sampaanala (Rauma)",1.8,1.8,1.8,1.8,1.8
"26840  Kortela (Rauma)",2.2,2.3,2.2,2.2,2.2
"26910  Unaja (Rauma)",2.5,2.4,2.4,2.3,2.3
"26930  Vermuntila (Rauma)",2.3,2.2,2.2,2.2,2.2
"26950  Voiluoto (Rauma)",2.2,2.2,2.2,2.2,2.1
"27100  Eurajoki Keskus (Eurajoki)",2.2,2.2,2.1,2.1,2.1
"27110  Irjanne (Eurajoki)",2.3,2.2,2.2,2.2,2.3
"27130  Eurajoki asemanseutu (Eurajoki)",2.2,2.2,2.2,2.2,2.1
"27150  Lapijoki (Eurajoki)",2.2,2.3,2.2,2.3,2.2
"27160  Olkiluoto (Eurajoki)",0.0,0.0,0.0,0.0,0.0
"27170  Kuivalahti (Eurajoki)",2.0,2.0,2.0,2.0,2.0
"27220  Ala-Kieri (Rauma)",2.3,2.3,2.2,2.1,2.1
"27230  Lappi (Rauma)",2.1,2.1,2.1,2.1,2.1
"27250  Kodiksami (Rauma)",2.1,2.0,2.0,1.9,2.1
"27260  Kuolimaa (Rauma)",2.1,2.1,2.0,2.0,2.0
"27310  Kodisjoki (Rauma)",2.2,2.2,2.2,2.2,2.2
"27320  Ihode (Pyhäranta)",2.1,2.1,2.1,2.1,2.0
"27340  Reila (Pyhäranta)",2.1,2.2,2.1,2.1,2.0
"27400  Kiukainen Keskus (Eura)",2.1,2.0,2.0,2.0,2.0
"27420  Panelia Asemanseutu (Eura)",2.1,2.1,2.2,2.2,2.1
"27430  Panelia (Eura)",2.0,2.0,1.9,2.0,2.0
"27450  Harola (Eura)",2.2,2.2,2.1,2.1,2.0
"27500  Kauttua (Eura)",2.0,2.0,2.0,2.0,2.0
"27510  Eura Keskus (Eura)",2.0,2.0,2.0,1.9,1.9
"27600  Hinnerjoki (Eura)",2.0,2.0,2.0,2.0,2.0
"27640  Honkilahti kk (Eura)",2.2,2.2,2.2,2.3,2.3
"27650  Honkilahti (Eura)",1.8,1.8,1.9,1.9,1.9
"27670  Mannila (Eura)",2.0,2.2,2.2,2.2,2.2
"27710  Köyliö Keskus (Säkylä)",1.9,1.9,1.9,1.9,1.9
"27730  Tuiskula (Säkylä)",2.3,2.3,2.2,2.3,2.2
"27740  Voitoinen (Säkylä)",2.0,2.0,2.0,2.1,2.0
"27750  Yttilä (Säkylä)",1.9,1.9,1.9,1.9,1.8
"27800  Säkylä Keskus (Säkylä)",1.9,1.9,1.9,1.9,1.9
"27820  Iso-Vimma (Säkylä)",1.9,1.9,1.8,1.8,1.8
"27840  Kakkuri (Säkylä)",2.0,1.9,1.9,1.9,1.9
"27860  Vuori (Säkylä)",2.1,2.1,2.1,2.1,2.1
"27910  Huovinrinne (Säkylä)",1.3,1.3,1.4,1.3,1.3
"27920  Otajoki (Säkylä)",1.9,2.0,2.1,2.0,2.0
"28100  Pori Keskus (Pori)",1.4,1.4,1.4,1.4,1.4
"28120  Käppärä-Isomäki (Pori)",1.7,1.7,1.7,1.6,1.6
"28130  Impola (Pori)",1.6,1.5,1.5,1.5,1.6
"28190  Pormestarinluoto (Pori)",1.7,1.6,1.7,1.7,1.7
"28200  Toejoki (Pori)",2.2,2.2,2.2,2.2,2.1
"28220  Ruosniemi (Pori)",2.3,2.3,2.3,2.3,2.3
"28240  Isojoenranta (Pori)",2.3,2.3,2.3,2.2,2.3
"28260  Harjunpää (Ulvila)",2.4,2.3,2.4,2.3,2.3
"28300  Kalaholma-Väinölä (Pori)",2.3,2.3,2.3,2.3,2.2
"28330  Koivistonluoto (Pori)",1.8,1.8,1.8,1.8,1.8
"28360  Vanhakoivisto (Pori)",1.8,1.8,1.8,1.8,1.8
"28370  Sampola (Pori)",1.6,1.6,1.6,1.5,1.5
"28400  Ulvila Keskus (Ulvila)",2.0,2.0,2.0,2.0,2.0
"28430  Kartano-Harmaalinna (Pori)",2.3,2.2,2.2,2.2,2.2
"28450  Vanha-Ulvila (Ulvila)",2.1,2.1,2.1,2.1,2.1
"28500  Keskussairaala-alue-Tiilimäki (Pori)",1.3,1.2,1.3,1.3,1.3
"28540  Pinomäki (Pori)",2.2,2.2,2.1,2.1,2.1
"28560  Lattomeri (Pori)",2.4,2.4,2.4,2.4,2.2
"28580  Niittymaa (Pori)",2.3,2.2,2.2,2.2,2.2
"28600  Vähärauma (Pori)",2.2,2.2,2.2,2.2,2.2
"28610  Musa-Tiiliruukki (Pori)",2.0,2.0,2.0,2.0,2.0
"28660  Pietniemi-Leppäkorpi (Pori)",2.2,2.2,2.2,2.1,2.1
"28760  Kyläsaari (Pori)",2.2,2.2,2.2,2.2,2.2
"28800  Pihlava (Pori)",1.9,1.9,1.9,1.9,1.9
"28840  Yyteri-Kaanaa (Pori)",1.9,2.0,1.9,1.9,1.9
"28880  Mäntyluoto (Pori)",1.6,1.6,1.6,1.6,1.6
"28900  Tahkoluoto-Reposaari (Pori)",1.8,1.8,1.8,1.8,1.8
"29100  Luvia Keskus (Eurajoki)",2.3,2.2,2.2,2.2,2.2
"29180  Peränkylä (Eurajoki)",2.1,2.0,2.0,2.0,2.0
"29200  Harjavalta Keskus (Harjavalta)",1.8,1.8,1.8,1.8,1.8
"29250  Nakkila Keskus (Nakkila)",2.0,2.0,2.0,2.0,2.0
"29270  Hormisto (Nakkila)",2.0,1.9,1.9,1.9,1.8
"29280  Järvimaa (Nakkila)",2.1,2.0,1.9,1.9,1.9
"29310  Kaasmarkku (Ulvila)",2.2,2.2,2.2,2.3,2.2
"29320  Leineperi (Ulvila)",2.2,2.2,2.1,2.1,2.0
"29340  Kullaa Keskus (Ulvila)",2.0,2.0,2.0,2.0,2.0
"29350  Palus (Ulvila)",2.1,2.1,2.0,2.0,2.0
"29570  Söörmarkku (Pori)",2.5,2.4,2.4,2.3,2.3
"29600  Noormarkku Keskus (Pori)",2.1,2.1,2.1,2.1,2.1
"29630  Pomarkku Keskus (Pomarkku)",2.0,2.0,2.0,2.0,2.0
"29640  Honkakoski (Pomarkku)",1.8,1.7,1.7,1.8,1.8
"29680  Kairila (Pori)",1.9,1.9,2.0,1.8,1.7
"29700  Ahlainen (Pori)",1.9,1.9,1.9,1.9,1.9
"29720  Lamppi (Pori)",2.0,2.0,2.0,1.9,1.9
"29740  Etelämaa (Merikarvia)",2.2,2.2,2.3,2.1,2.1
"29750  Pohjansaha (Merikarvia)",2.3,2.2,2.1,2.1,2.1
"29760  Köörtilä (Merikarvia)",2.0,2.0,1.9,2.0,1.9
"29790  Tuorila (Merikarvia)",2.3,2.3,2.3,2.2,2.2
"29810  Siikainen Keskus (Siikainen)",1.9,1.9,1.8,1.8,1.8
"29830  Sammi (Siikainen)",2.2,2.2,2.2,2.1,2.1
"29860  Otamo (Siikainen)",2.1,2.0,2.0,2.0,2.0
"29880  Leväsjoki-Saarineva (Siikainen)",2.0,1.9,1.9,1.9,1.8
"29900  Merikarvia Keskus-Rannikko (Merikarvia)",1.9,1.9,1.9,1.9,1.9
"29940  Kuvaskangas (Merikarvia)",2.1,2.1,2.1,2.1,2.1
"30100  Forssa Keskus (Forssa)",1.8,1.8,1.8,1.8,1.8
"30300  Viksberg (Forssa)",1.6,1.5,1.5,1.5,1.5
"30420  Tölö (Forssa)",1.8,1.8,1.8,1.8,1.8
"31110  Matku (Forssa)",2.0,2.0,2.0,1.9,1.9
"31130  Koijärvi (Forssa)",2.1,2.1,2.1,2.0,2.0
"31140  Menonen (Urjala)",2.0,2.1,2.1,2.0,2.0
"31160  Nuutajärvi (Urjala)",1.7,1.7,1.7,1.6,1.6
"31170  Savijoki (Forssa)",2.1,2.1,2.1,2.1,2.1
"31230  Susikas (Tammela)",2.3,2.2,2.2,2.1,2.1
"31250  Teuro (Tammela)",2.2,2.1,2.1,2.2,2.2
"31300  Tammela Keskus (Tammela)",2.0,2.0,2.0,2.0,2.0
"31310  Mustiala (Tammela)",1.8,2.0,1.9,2.0,1.9
"31340  Porras (Tammela)",2.2,2.2,2.1,2.1,2.1
"31350  Vistinkoski (Tammela)",1.9,1.9,1.9,2.0,1.9
"31370  Eerikkilän Urheiluopisto (Tammela)",0.0,0.0,0.0,0.0,0.0
"31380  Letku-Torro (Tammela)",2.3,2.3,2.3,2.2,2.2
"31400  Somero Keskus (Somero)",1.9,1.9,1.9,1.9,1.9
"31410  Ylöpirtti (Somero)",2.1,2.1,2.1,2.1,2.1
"31450  Häntälä (Somero)",2.2,2.2,2.2,2.1,2.1
"31460  Hirsjärvi (Somero)",1.9,1.9,2.0,1.9,1.9
"31470  Somerniemi (Somero)",2.1,2.1,2.0,1.9,1.9
"31490  Terttilä (Somero)",2.0,2.0,2.0,2.0,2.0
"31500  Koski Tl (Koski Tl)",1.9,1.9,1.9,1.9,1.9
"31520  Pitkäjärvi (Somero)",2.2,2.1,2.2,2.1,2.0
"31530  Pyöli (Somero)",2.1,2.1,2.1,2.2,2.1
"31600  Jokioinen Keskus (Jokioinen)",2.0,2.0,2.0,2.0,2.0
"31610  Vaulammi (Jokioinen)",2.2,2.2,2.2,2.2,2.1
"31620  Latovainio (Jokioinen)",2.1,2.1,2.1,2.1,2.1
"31630  Minkiö (Jokioinen)",2.3,2.2,2.1,2.1,2.1
"31640  Humppila Keskus (Humppila)",1.9,2.0,1.9,1.9,1.9
"31650  Venäjänkangas (Humppila)",2.1,2.0,2.0,2.0,2.0
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",2.1,2.1,2.1,2.1,2.0
"31720  Urjalankylä-Kehro (Urjala)",2.0,2.0,2.0,2.0,1.9
"31730  Honkola (Urjala)",1.9,1.9,1.9,1.9,1.8
"31750  Kehro (Urjala)",1.8,1.8,...,...,1.8
"31760  Urjala Keskus (Urjala)",1.8,1.8,1.7,1.7,1.7
"31810  Oriniemi (Punkalaidun)",2.1,2.1,2.1,2.1,2.0
"31830  Halkivaha (Urjala)",2.1,2.0,2.0,2.0,2.0
"31850  Koskioinen (Punkalaidun)",2.0,2.0,2.1,2.1,2.1
"31860  Tursa (Urjala)",2.0,1.9,1.8,1.9,1.9
"31900  Punkalaidun Keskus (Punkalaidun)",1.8,1.8,1.8,1.7,1.7
"31930  Vanttila (Punkalaidun)",2.2,2.2,2.1,2.1,2.2
"31950  Sadonmaa (Punkalaidun)",2.1,2.1,2.1,2.2,2.2
"31960  Orisuo (Loimaa)",1.9,1.9,1.8,2.0,2.0
"31970  Kanteenmaa (Punkalaidun)",2.2,2.1,2.1,2.1,2.1
"32100  Ypäjä Keskus (Ypäjä)",1.9,1.9,1.9,1.9,1.9
"32140  Ypäjä Asemanseutu (Ypäjä)",2.0,2.0,2.0,2.0,1.9
"32200  Loimaa Keskus (Loimaa)",1.8,1.8,1.8,1.8,1.8
"32210  Loimaa kk (Loimaa)",1.9,1.9,1.9,1.9,1.9
"32250  Kojonkulma (Loimaa)",2.4,2.5,2.4,2.3,2.4
"32260  Kojonperä (Loimaa)",2.1,2.1,2.0,2.0,2.0
"32270  Metsämaa-Murto (Loimaa)",2.0,2.0,2.0,2.0,2.0
"32280  Metsäkorpi (Loimaa)",2.1,2.3,2.3,2.1,2.2
"32300  Mellilä (Loimaa)",2.0,2.0,2.0,2.0,1.9
"32410  Niinijoki (Loimaa)",2.2,2.2,2.1,2.1,2.1
"32430  Ylhäinen (Loimaa)",1.8,2.0,2.0,2.1,2.1
"32440  Alastaro Keskus (Loimaa)",1.9,1.9,1.9,1.9,1.9
"32450  Tammiainen (Loimaa)",2.2,2.1,2.0,1.9,1.9
"32500  Oripää Keskus (Oripää)",2.1,2.1,2.1,2.1,2.1
"32520  Latva (Oripää)",2.6,2.6,2.5,2.5,2.3
"32560  Virttaa (Loimaa)",2.1,2.1,2.1,2.1,2.1
"32610  Vampula Keskus (Huittinen)",2.0,1.9,1.9,1.9,1.9
"32620  Rutava (Huittinen)",2.0,2.0,2.0,2.0,2.0
"32700  Huittinen Keskus (Huittinen)",1.9,1.9,1.8,1.8,1.8
"32710  Sampu (Huittinen)",2.2,2.3,2.2,2.2,2.1
"32730  Keikyä (Sastamala)",2.0,2.0,2.0,2.0,2.0
"32740  Pehula (Sastamala)",1.8,1.8,1.8,1.8,1.8
"32760  Suttila (Huittinen)",2.0,2.0,2.0,1.9,1.9
"32770  Huhtamo (Huittinen)",2.2,2.2,2.3,2.4,2.4
"32800  Kokemäki Keskus (Kokemäki)",1.8,1.8,1.8,1.8,1.8
"32810  Peipohja (Kokemäki)",2.0,2.0,2.0,1.9,1.9
"32830  Riste (Kokemäki)",2.0,1.9,2.0,1.9,2.0
"32860  Korkeaoja (Kokemäki)",2.1,2.0,1.9,2.0,2.0
"32910  Kauvatsa Asemanseutu (Kokemäki)",2.1,2.0,2.0,2.0,2.0
"32920  Kauvatsa (Kokemäki)",1.9,1.9,1.9,1.9,1.9
"33100  Tampere Keskus (Tampere)",1.5,1.5,1.5,1.5,1.5
"33180  Lapinniemi-Käpylä (Tampere)",1.8,1.7,1.7,1.6,1.6
"33200  Tampere Keskus Läntinen (Tampere)",1.5,1.5,1.5,1.5,1.5
"33210  Itä-Amuri-Tammerkoski (Tampere)",1.5,1.5,1.5,1.5,1.5
"33230  Länsi-Amuri (Tampere)",1.7,1.6,1.7,1.7,1.6
"33240  Tahmela (Tampere)",2.0,2.0,1.9,1.9,1.9
"33250  Pispala (Tampere)",1.7,1.6,1.6,1.6,1.6
"33270  Epilä (Tampere)",1.9,1.9,1.8,1.8,1.8
"33300  Rahola (Tampere)",2.0,2.0,2.0,1.9,2.0
"33310  Tesoma (Tampere)",1.7,1.7,1.7,1.7,1.7
"33330  Myllypuro-Kalkku (Tampere)",1.9,1.9,1.9,1.9,1.9
"33340  Haukiluoma-Ikuri (Tampere)",2.1,2.1,2.1,2.1,2.1
"33400  Luoteis-Tampere (Tampere)",1.9,1.8,1.8,1.8,1.8
"33410  Lentävänniemi (Tampere)",1.7,1.7,1.7,1.7,1.7
"33420  Lamminpää (Tampere)",2.2,2.2,2.3,2.1,1.9
"33430  Vuorentausta (Ylöjärvi)",2.2,2.2,2.2,2.2,2.2
"33450  Siivikkala (Ylöjärvi)",2.5,2.5,2.5,2.5,2.5
"33470  Ylöjärvi Keskus (Ylöjärvi)",1.9,1.9,1.9,1.9,1.9
"33480  Manninmäki-Haavisto (Ylöjärvi)",2.4,2.4,2.4,2.4,2.4
"33500  Osmonmäki-Petsamo (Tampere)",1.5,1.5,1.5,1.5,1.5
"33520  Keskussairaala-alue-Kauppi (Tampere)",1.8,1.7,1.7,1.7,1.7
"33530  Kissanmaa (Tampere)",1.7,1.7,1.7,1.7,1.7
"33540  Kaleva (Tampere)",1.5,1.5,1.5,1.4,1.5
"33560  Takahuhti (Tampere)",1.9,1.8,1.8,1.8,1.8
"33580  Atala-Linnainmaa (Tampere)",2.0,2.0,2.0,2.0,2.0
"33610  Olkahinen-Tasanne (Tampere)",2.3,2.3,2.3,2.3,2.3
"33680  Aitolahti (Tampere)",2.4,2.4,2.4,2.4,2.4
"33700  Messukylä (Tampere)",2.1,2.1,2.1,2.1,2.1
"33710  Kaukajärvi (Tampere)",1.9,1.9,1.9,1.9,1.9
"33720  Hervanta (Tampere)",1.7,1.7,1.7,1.7,1.7
"33730  Leinola-Vehmainen (Tampere)",2.4,2.4,2.3,2.3,2.3
"33800  Nekala (Tampere)",1.6,1.6,1.6,1.6,1.6
"33820  Koivistonkylä (Tampere)",2.1,2.0,2.0,2.0,2.0
"33840  Peltolammi (Tampere)",1.7,1.7,1.7,1.7,1.7
"33850  Multisilta (Tampere)",1.7,1.7,1.7,1.7,1.7
"33870  Vuores (Tampere)",1.9,1.9,1.9,1.9,1.9
"33880  Höytämö (Lempäälä)",2.2,2.2,2.1,2.1,2.1
"33900  Härmälä-Rantaperkiö (Tampere)",1.6,1.6,1.6,1.6,1.6
"33920  Toivio (Pirkkala)",2.8,2.8,2.8,2.8,2.7
"33950  Killo (Pirkkala)",2.1,2.1,2.0,2.0,2.0
"33960  Suuppa (Pirkkala)",2.2,2.2,2.2,2.1,2.1
"33980  Pirkkala kk (Pirkkala)",2.7,2.7,2.7,2.7,2.7
"34110  Lakiala (Ylöjärvi)",3.2,3.2,3.0,3.0,2.9
"34130  Ylinen (Ylöjärvi)",2.5,2.4,2.4,2.4,2.3
"34140  Mutala (Ylöjärvi)",2.7,2.7,2.7,2.7,2.7
"34150  Kyrönlahti (Ylöjärvi)",2.4,2.4,2.4,2.3,2.3
"34180  Länsi-Teisko (Ylöjärvi)",2.3,2.1,2.2,2.1,2.1
"34240  Kämmenteisko (Tampere)",2.5,2.4,2.4,2.4,2.3
"34260  Terälahti (Tampere)",2.0,2.0,2.0,2.0,2.0
"34270  Velaatta (Tampere)",1.9,2.0,1.9,2.0,1.9
"34300  Kuru Keskus (Ylöjärvi)",1.9,1.8,1.8,1.8,1.9
"34320  Parkkuu (Ylöjärvi)",2.0,2.0,2.0,2.0,2.0
"34330  Poikelus (Ylöjärvi)",2.3,2.2,2.1,2.1,2.1
"34410  Murole (Ruovesi)",2.0,2.0,2.0,2.0,1.9
"34420  Muroleen Kanava (Ruovesi)",...,...,...,...,...
"34430  Kekkonen (Ruovesi)",2.0,2.0,2.0,2.0,2.0
"34450  Jäminkipohja (Ruovesi)",1.9,1.9,1.9,1.8,1.9
"34510  Luode (Ylöjärvi)",2.2,2.2,2.0,2.0,1.9
"34530  Länsi-Aure (Ylöjärvi)",1.9,2.0,2.0,...,...
"34550  Itä-Aure (Ylöjärvi)",1.7,1.8,1.7,1.7,1.7
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",1.8,1.8,1.8,1.7,1.7
"34640  Mustajärvi (Ruovesi)",2.1,2.0,2.1,2.1,2.1
"34710  Vaskivesi (Virrat)",2.4,2.3,2.3,2.2,2.2
"34730  Vaskuu (Virrat)",2.0,1.9,1.9,1.9,1.8
"34740  Koro (Virrat)",1.8,1.8,1.8,1.7,1.7
"34770  Kurjenkylä (Virrat)",2.0,2.0,2.1,2.1,2.1
"34800  Virrat Keskus (Virrat)",1.8,1.8,1.8,1.8,1.8
"34870  Visuvesi (Ruovesi)",1.9,1.9,1.9,1.9,1.9
"34910  Äijänneva (Virrat)",2.0,2.0,2.1,2.1,2.1
"34930  Liedenpohja (Virrat)",2.1,2.1,2.1,2.1,2.0
"34950  Ohtola (Virrat)",2.3,2.3,2.2,2.2,2.2
"34970  Toisvesi (Virrat)",2.1,2.1,2.0,2.0,2.0
"34980  Killinkoski (Virrat)",1.8,1.8,1.7,1.8,1.8
"35100  Orivesi Asemanseutu (Orivesi)",2.1,2.1,2.2,2.1,2.1
"35220  Eräjärvi (Orivesi)",1.9,1.9,1.9,1.9,1.9
"35240  Ristakallio (Orivesi)",1.9,1.9,1.9,1.9,2.0
"35260  Leväslahti (Orivesi)",...,...,...,...,...
"35270  Västilä (Orivesi)",2.0,2.0,2.0,1.9,1.9
"35300  Orivesi Keskus (Orivesi)",1.8,1.8,1.8,1.8,1.8
"35320  Hirsilä (Orivesi)",2.3,2.2,2.2,2.2,2.1
"35400  Länkipohja (Jämsä)",1.8,1.7,1.7,1.7,1.7
"35420  Talviainen (Orivesi)",1.9,1.8,1.9,1.9,1.9
"35480  Längelmäki (Orivesi)",1.9,...,...,...,...
"35500  Korkeakoski (Juupajoki)",1.9,1.9,1.9,1.9,1.8
"35520  Pirttikangas (Juupajoki)",2.2,2.2,2.1,2.1,2.1
"35530  Lyly (Juupajoki)",2.0,2.0,2.0,2.0,2.0
"35540  Juupajoki (Juupajoki)",2.2,2.2,2.3,2.2,2.2
"35550  Salokunta (Juupajoki)",2.5,2.5,2.5,2.4,2.3
"35600  Halli (Jämsä)",1.8,1.7,1.7,1.7,1.7
"35610  Pihlaisto (Jämsä)",2.0,2.0,1.9,1.9,1.9
"35630  Suinula-Valkamanperä (Jämsä)",2.1,2.0,2.0,2.0,1.9
"35700  Vilppula Keskus (Mänttä-Vilppula)",1.9,1.8,1.8,1.8,1.8
"35740  Ylä-Vääri (Ruovesi)",2.2,2.2,2.0,2.0,2.0
"35750  Väärinmaja (Ruovesi)",1.9,2.0,1.9,1.9,2.0
"35800  Mänttä (Mänttä-Vilppula)",1.7,1.7,1.7,1.7,1.7
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",2.0,2.0,1.9,1.9,1.9
"35990  Kolho (Mänttä-Vilppula)",1.8,1.8,1.8,1.8,1.8
"36100  Kangasala Asemanseutu (Kangasala)",2.8,2.7,2.7,2.7,2.7
"36110  Ruutana (Kangasala)",2.7,2.7,2.6,2.6,2.7
"36120  Suinula-Haviseva (Kangasala)",2.6,2.5,2.5,2.5,2.5
"36200  Kangasala Keskus (Kangasala)",2.1,2.1,2.1,2.1,2.1
"36220  Suorama (Kangasala)",2.0,2.0,2.0,2.0,2.0
"36240  Vatiala (Kangasala)",2.2,2.2,2.1,2.1,2.0
"36270  Huutijärvi (Kangasala)",2.5,2.4,2.4,2.4,2.4
"36280  Pikonlinna (Kangasala)",2.3,2.3,2.3,2.3,2.2
"36340  Tohkala (Kangasala)",2.2,2.3,2.2,2.2,2.1
"36420  Sahalahti Keskus (Kangasala)",2.1,2.1,2.1,2.1,2.0
"36430  Pakkala (Kangasala)",2.2,2.2,2.1,2.2,2.2
