"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"02360  Soukka (Espoo)",1677,1703,1715,1762,1783
"02380  Suvisaaristo (Espoo)",58,53,56,66,66
"02390  Sarvvik (Kirkkonummi)",174,301,327,377,438
"02400  Kirkkonummi Keskus (Kirkkonummi)",2419,2530,2590,2578,2585
"02410  Gesterby (Kirkkonummi)",667,674,665,674,651
"02420  Jorvas (Kirkkonummi)",136,138,141,154,158
"02430  Masala (Kirkkonummi)",949,951,1143,1212,1299
"02440  Luoma (Kirkkonummi)",45,39,47,53,55
"02450  Sundsberg (Kirkkonummi)",106,103,127,126,130
"02460  Kantvik (Kirkkonummi)",315,324,317,325,320
"02470  Upinniemi (Kirkkonummi)",112,106,100,94,86
"02480  Porkkala (Kirkkonummi)",428,434,445,442,433
"02490  Pikkala (Siuntio)",84,81,79,81,71
"02510  Oitmäki (Kirkkonummi)",54,59,63,59,57
"02520  Lapinkylä (Kirkkonummi)",73,75,76,75,81
"02540  Kylmälä (Kirkkonummi)",71,69,73,68,64
"02550  Evitskog (Kirkkonummi)",94,87,94,94,96
"02570  Siuntio Kirkonkylä (Siuntio)",172,175,178,173,190
"02580  Siuntio Asemanseutu (Siuntio)",462,485,489,486,492
"02590  Lappers (Siuntio)",12,17,20,23,22
"02600  Etelä-Leppävaara (Espoo)",3493,3784,4184,4346,4564
"02610  Kilo (Espoo)",1124,1249,1268,1267,1224
"02620  Karakallio (Espoo)",1316,1415,1562,1621,1644
"02630  Nihtisilta (Espoo)",528,534,564,687,806
"02650  Pohjois-Leppävaara (Espoo)",2952,3229,3309,3381,3413
"02660  Lintuvaara (Espoo)",514,535,536,553,542
"02680  Uusmäki (Espoo)",483,517,530,532,516
"02700  Kauniainen (Kauniainen)",1492,1537,1540,1552,1539
"02710  Viherlaakso (Espoo)",1264,1326,1326,1336,1338
"02720  Lähderanta (Espoo)",532,539,552,540,552
"02730  Jupperi (Espoo)",240,239,249,253,271
"02740  Bemböle-Pakankylä (Espoo)",364,367,359,382,377
"02750  Sepänkylä-Kuurinniitty (Espoo)",907,985,1009,1027,1026
"02760  Tuomarila-Suvela (Espoo)",2534,2507,2724,2701,2672
"02770  Espoon Keskus (Espoo)",2326,2341,2384,2436,2342
"02780  Kauklahti (Espoo)",1556,1632,1671,1689,1683
"02810  Gumböle-Karhusuo (Espoo)",141,149,146,148,148
"02820  Nupuri-Nuuksio (Espoo)",155,150,145,160,164
"02860  Siikajärvi (Espoo)",74,69,72,73,67
"02880  Veikkola (Kirkkonummi)",510,530,522,538,539
"02920  Niipperi (Espoo)",391,423,425,454,452
"02940  Lippajärvi-Järvenperä (Espoo)",1646,1767,1773,1905,1901
"02970  Kalajärvi (Espoo)",341,344,350,346,350
"02980  Lakisto (Espoo)",79,70,67,64,62
