"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 One-person households (TE)","2021 One-person households (TE)","2022 One-person households (TE)","2023 One-person households (TE)","2024 One-person households (TE)"
"31600  Jokioinen Keskus (Jokioinen)",655,672,675,669,672
"31610  Vaulammi (Jokioinen)",63,59,57,53,59
"31620  Latovainio (Jokioinen)",63,61,62,61,61
"31630  Minkiö (Jokioinen)",78,81,84,90,84
"31640  Humppila Keskus (Humppila)",438,419,434,438,443
"31650  Venäjänkangas (Humppila)",48,52,51,47,45
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",265,255,259,262,258
"31720  Urjalankylä-Kehro (Urjala)",72,74,78,81,81
"31730  Honkola (Urjala)",23,25,23,25,25
"31750  Kehro (Urjala)",13,13,...,...,13
"31760  Urjala Keskus (Urjala)",529,541,538,531,529
"31810  Oriniemi (Punkalaidun)",68,69,65,69,72
"31830  Halkivaha (Urjala)",48,54,53,55,49
"31850  Koskioinen (Punkalaidun)",30,31,27,27,25
"31860  Tursa (Urjala)",51,61,64,61,59
"31900  Punkalaidun Keskus (Punkalaidun)",472,470,481,482,473
"31930  Vanttila (Punkalaidun)",14,14,15,14,12
"31950  Sadonmaa (Punkalaidun)",31,32,32,29,30
"31960  Orisuo (Loimaa)",13,12,15,13,11
"31970  Kanteenmaa (Punkalaidun)",31,35,32,33,33
"32100  Ypäjä Keskus (Ypäjä)",445,439,449,455,447
"32140  Ypäjä Asemanseutu (Ypäjä)",60,54,53,49,55
"32200  Loimaa Keskus (Loimaa)",2194,2254,2252,2270,2300
"32210  Loimaa kk (Loimaa)",542,546,540,521,512
"32250  Kojonkulma (Loimaa)",34,32,29,29,29
"32260  Kojonperä (Loimaa)",23,21,24,24,24
"32270  Metsämaa-Murto (Loimaa)",97,104,99,101,96
"32280  Metsäkorpi (Loimaa)",24,24,24,26,26
"32300  Mellilä (Loimaa)",260,259,262,265,260
"32410  Niinijoki (Loimaa)",81,82,94,88,90
"32430  Ylhäinen (Loimaa)",20,17,15,13,12
"32440  Alastaro Keskus (Loimaa)",380,387,388,399,385
"32450  Tammiainen (Loimaa)",40,43,46,45,41
"32500  Oripää Keskus (Oripää)",225,220,216,232,229
"32520  Latva (Oripää)",14,16,17,20,20
"32560  Virttaa (Loimaa)",70,72,78,80,80
"32610  Vampula Keskus (Huittinen)",199,211,214,216,215
"32620  Rutava (Huittinen)",71,68,65,64,69
"32700  Huittinen Keskus (Huittinen)",1951,1970,1973,1991,1984
"32710  Sampu (Huittinen)",73,71,77,77,83
"32730  Keikyä (Sastamala)",128,128,129,127,126
"32740  Pehula (Sastamala)",431,442,419,423,433
"32760  Suttila (Huittinen)",32,29,31,34,33
"32770  Huhtamo (Huittinen)",37,33,30,28,26
"32800  Kokemäki Keskus (Kokemäki)",1000,983,997,1007,1010
"32810  Peipohja (Kokemäki)",342,345,343,346,368
"32830  Riste (Kokemäki)",87,92,90,82,76
"32860  Korkeaoja (Kokemäki)",21,23,25,21,25
"32910  Kauvatsa Asemanseutu (Kokemäki)",50,55,54,56,58
"32920  Kauvatsa (Kokemäki)",119,117,124,122,123
"33100  Tampere Keskus (Tampere)",6447,6681,6833,6891,6919
"33180  Lapinniemi-Käpylä (Tampere)",695,768,979,1213,1313
"33200  Tampere Keskus Läntinen (Tampere)",2717,2750,2807,2852,2879
"33210  Itä-Amuri-Tammerkoski (Tampere)",2326,2390,2437,2651,2623
"33230  Länsi-Amuri (Tampere)",1993,2055,2019,2039,2063
"33240  Tahmela (Tampere)",378,387,375,384,377
"33250  Pispala (Tampere)",1070,1207,1336,1648,1658
"33270  Epilä (Tampere)",1904,1946,1987,1994,1947
"33300  Rahola (Tampere)",1094,1145,1108,1146,1134
"33310  Tesoma (Tampere)",2534,2593,2613,2725,2688
"33330  Myllypuro-Kalkku (Tampere)",829,852,855,849,844
"33340  Haukiluoma-Ikuri (Tampere)",894,1007,1045,1055,1054
"33400  Luoteis-Tampere (Tampere)",2552,2847,2993,3099,3184
"33410  Lentävänniemi (Tampere)",1723,1723,1735,1737,1776
"33420  Lamminpää (Tampere)",336,306,288,408,640
"33430  Vuorentausta (Ylöjärvi)",386,394,407,422,425
"33450  Siivikkala (Ylöjärvi)",262,264,281,284,279
"33470  Ylöjärvi Keskus (Ylöjärvi)",1502,1592,1635,1656,1651
"33480  Manninmäki-Haavisto (Ylöjärvi)",924,940,931,956,931
"33500  Osmonmäki-Petsamo (Tampere)",4478,4528,4636,4708,4742
"33520  Keskussairaala-alue-Kauppi (Tampere)",322,442,448,464,448
"33530  Kissanmaa (Tampere)",1589,1554,1541,1542,1572
"33540  Kaleva (Tampere)",4503,4570,4833,5145,5268
"33560  Takahuhti (Tampere)",2758,3002,3222,3243,3260
"33580  Atala-Linnainmaa (Tampere)",3294,3390,3407,3525,3505
"33610  Olkahinen-Tasanne (Tampere)",454,472,481,473,479
"33680  Aitolahti (Tampere)",171,178,190,180,183
"33700  Messukylä (Tampere)",372,375,366,365,360
"33710  Kaukajärvi (Tampere)",4350,4469,4547,4601,4612
"33720  Hervanta (Tampere)",8455,8920,9462,9882,9928
"33730  Leinola-Vehmainen (Tampere)",224,235,240,245,236
"33800  Nekala (Tampere)",2062,2158,2158,2152,2144
"33820  Koivistonkylä (Tampere)",1769,1831,1935,1965,1960
"33840  Peltolammi (Tampere)",1124,1127,1140,1110,1107
"33850  Multisilta (Tampere)",841,852,854,849,872
"33870  Vuores (Tampere)",1845,2078,2209,2292,2327
"33880  Höytämö (Lempäälä)",624,630,661,661,647
"33900  Härmälä-Rantaperkiö (Tampere)",4471,4764,4991,5108,5219
"33920  Toivio (Pirkkala)",70,73,72,71,75
"33950  Killo (Pirkkala)",1204,1201,1274,1310,1374
"33960  Suuppa (Pirkkala)",1633,1795,1895,2031,2092
"33980  Pirkkala kk (Pirkkala)",100,106,93,100,107
"34110  Lakiala (Ylöjärvi)",53,53,58,63,64
"34130  Ylinen (Ylöjärvi)",134,138,135,129,138
"34140  Mutala (Ylöjärvi)",59,60,62,58,63
"34150  Kyrönlahti (Ylöjärvi)",43,45,41,46,45
"34180  Länsi-Teisko (Ylöjärvi)",23,30,29,29,29
"34240  Kämmenteisko (Tampere)",175,184,182,195,192
"34260  Terälahti (Tampere)",175,175,173,178,177
"34270  Velaatta (Tampere)",63,55,62,57,57
"34300  Kuru Keskus (Ylöjärvi)",361,360,362,360,337
"34320  Parkkuu (Ylöjärvi)",41,44,45,40,43
"34330  Poikelus (Ylöjärvi)",29,29,30,32,32
"34410  Murole (Ruovesi)",38,36,35,36,39
"34420  Muroleen Kanava (Ruovesi)",...,...,...,...,...
"34430  Kekkonen (Ruovesi)",23,19,19,21,22
"34450  Jäminkipohja (Ruovesi)",71,70,75,81,74
"34510  Luode (Ylöjärvi)",15,17,17,19,19
"34530  Länsi-Aure (Ylöjärvi)",13,13,12,...,...
"34550  Itä-Aure (Ylöjärvi)",40,39,40,39,37
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",637,654,656,676,669
"34640  Mustajärvi (Ruovesi)",39,40,36,37,37
"34710  Vaskivesi (Virrat)",37,42,39,43,42
"34730  Vaskuu (Virrat)",21,20,23,21,22
"34740  Koro (Virrat)",19,20,20,21,22
"34770  Kurjenkylä (Virrat)",35,31,31,34,36
"34800  Virrat Keskus (Virrat)",1177,1202,1186,1186,1168
"34870  Visuvesi (Ruovesi)",121,119,120,116,124
"34910  Äijänneva (Virrat)",15,14,11,12,13
"34930  Liedenpohja (Virrat)",46,46,44,46,47
"34950  Ohtola (Virrat)",32,29,30,27,28
"34970  Toisvesi (Virrat)",22,23,22,23,23
"34980  Killinkoski (Virrat)",99,100,105,90,84
"35100  Orivesi Asemanseutu (Orivesi)",434,431,421,423,437
"35220  Eräjärvi (Orivesi)",112,115,117,101,101
"35240  Ristakallio (Orivesi)",39,39,41,41,37
"35260  Leväslahti (Orivesi)",...,...,...,...,...
"35270  Västilä (Orivesi)",36,35,34,33,33
"35300  Orivesi Keskus (Orivesi)",1211,1222,1238,1230,1240
"35320  Hirsilä (Orivesi)",76,76,73,69,75
"35400  Länkipohja (Jämsä)",229,228,220,222,233
"35420  Talviainen (Orivesi)",20,20,19,19,20
"35480  Längelmäki (Orivesi)",13,...,...,...,...
"35500  Korkeakoski (Juupajoki)",229,218,212,220,213
"35520  Pirttikangas (Juupajoki)",12,12,13,12,11
"35530  Lyly (Juupajoki)",54,56,51,55,53
"35540  Juupajoki (Juupajoki)",60,59,56,56,53
"35550  Salokunta (Juupajoki)",13,15,18,18,19
"35600  Halli (Jämsä)",325,345,353,338,356
"35610  Pihlaisto (Jämsä)",20,19,20,19,15
"35630  Suinula-Valkamanperä (Jämsä)",27,29,25,26,27
"35700  Vilppula Keskus (Mänttä-Vilppula)",734,734,724,731,740
"35740  Ylä-Vääri (Ruovesi)",9,12,15,14,15
"35750  Väärinmaja (Ruovesi)",57,53,51,52,53
"35800  Mänttä (Mänttä-Vilppula)",1153,1177,1150,1168,1185
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",412,420,421,410,432
"35990  Kolho (Mänttä-Vilppula)",233,243,239,232,216
"36100  Kangasala Asemanseutu (Kangasala)",88,88,88,88,87
"36110  Ruutana (Kangasala)",205,213,221,222,218
"36120  Suinula-Haviseva (Kangasala)",89,96,100,100,96
"36200  Kangasala Keskus (Kangasala)",2034,2087,2136,2172,2212
"36220  Suorama (Kangasala)",1076,1154,1179,1170,1217
"36240  Vatiala (Kangasala)",890,920,977,1194,1387
"36270  Huutijärvi (Kangasala)",161,169,178,178,181
"36280  Pikonlinna (Kangasala)",22,23,25,30,32
"36340  Tohkala (Kangasala)",33,28,32,31,36
"36420  Sahalahti Keskus (Kangasala)",314,314,305,315,317
"36430  Pakkala (Kangasala)",69,77,78,76,70
"36450  Salmentaka (Pälkäne)",55,52,56,51,58
"36520  Raikku (Kangasala)",52,52,53,53,51
"36570  Kaivanto (Kangasala)",29,27,29,31,32
"36600  Pälkäne Keskus (Pälkäne)",586,607,607,604,603
"36640  Iltasmäki (Pälkäne)",49,43,42,45,53
"36660  Laitikkala (Pälkäne)",32,29,26,28,31
"36720  Aitoo (Pälkäne)",123,120,119,126,115
"36760  Luopioinen Keskus (Pälkäne)",197,208,201,193,195
"36810  Kuhmalahti Keskus (Kangasala)",105,105,107,108,109
"36840  Kuhmajärvi (Kangasala)",71,78,73,67,72
"36880  Vehkajärvi (Kangasala)",39,40,37,32,30
"36910  Rautajärvi (Pälkäne)",73,75,75,78,79
"36930  Kyynärö (Pälkäne)",37,38,40,41,38
"37100  Nokia Keskus (Nokia)",2488,2772,2901,3199,3408
"37120  Koskenmäki (Nokia)",1574,1596,1640,1662,1633
"37130  Alhoniitty (Nokia)",645,681,677,702,693
"37140  Harjuniitty (Nokia)",329,317,301,344,338
"37150  Kankaantaka (Nokia)",734,753,755,761,762
"37180  Sarkola (Nokia)",45,46,46,46,46
"37200  Siuro (Nokia)",289,317,324,329,326
"37210  Kulovesi (Nokia)",...,...,...,...,...
"37240  Linnavuori (Nokia)",191,181,189,191,200
"37310  Tottijärvi (Nokia)",102,106,110,114,112
"37350  Rämsöö (Vesilahti)",25,26,27,28,23
"37370  Narva (Vesilahti)",163,169,176,179,173
"37380  Krääkkiö (Vesilahti)",26,27,30,30,34
"37420  Valkkinen (Vesilahti)",105,98,100,102,104
"37470  Vesilahti Keskus (Vesilahti)",201,197,201,203,207
"37500  Lempäälä Keskus (Lempäälä)",1695,1769,1921,1943,1926
"37530  Säijä (Lempäälä)",62,58,66,62,57
"37550  Kuivaspää (Lempäälä)",509,529,535,534,569
"37560  Kulju (Lempäälä)",424,444,460,468,467
"37570  Koivuniemi (Lempäälä)",20,18,20,21,19
"37600  Valkeakoski Keskus (Valkeakoski)",2879,2935,2925,2937,2955
"37630  Vääräkoivu (Valkeakoski)",1419,1437,1445,1468,1443
"37700  Sääksmäki (Valkeakoski)",58,63,65,66,62
"37720  Ritvala (Valkeakoski)",20,18,20,22,23
"37740  Haukila (Valkeakoski)",44,47,44,46,44
"37770  Tarttila (Valkeakoski)",68,69,74,64,67
"37800  Toijala keskus (Akaa)",1958,1991,1968,2024,2038
"37830  Viiala Keskus (Akaa)",953,963,967,998,1013
"37850  Metsäkansa (Valkeakoski)",41,44,47,50,51
"37860  Kärjenniemi (Valkeakoski)",69,75,80,81,78
"37900  Kylmäkoski Asemanseutu (Akaa)",61,61,63,59,62
"37910  Kylmäkoski Keskus (Akaa)",259,257,256,259,261
"37960  Sotkia (Akaa)",32,32,31,35,33
"38100  Karkku (Sastamala)",130,134,140,138,143
"38120  Kutala (Sastamala)",20,19,22,24,26
"38130  Ellivuori (Sastamala)",...,...,...,...,...
"38140  Kärppälä (Sastamala)",52,54,58,55,57
"38200  Vammala Keskus (Sastamala)",1787,1831,1788,1825,1818
"38210  Vammala Asemanseutu (Sastamala)",904,942,934,936,918
"38220  Stormi (Sastamala)",123,132,130,125,136
"38250  Roismala (Sastamala)",160,163,174,171,173
"38270  Sammaljoki (Sastamala)",58,60,66,72,72
"38280  Illo (Sastamala)",57,56,50,57,58
"38300  Kiikka (Sastamala)",325,322,324,329,335
"38360  Kiikoinen (Sastamala)",244,243,241,258,241
"38420  Häijää (Sastamala)",151,151,159,148,158
"38460  Mouhijärvi Keskus (Sastamala)",329,339,331,333,331
"38470  Hyynilä (Sastamala)",30,33,36,37,35
"38490  Haukijärvi (Hämeenkyrö)",17,20,22,20,23
"38510  Suodenniemi (Sastamala)",247,262,255,254,251
"38600  Lavia Keskus (Pori)",315,307,310,314,311
"38650  Yli-Putto (Pori)",23,23,26,20,19
"38670  Kalliala-Haunia (Pori)",25,26,23,26,24
"38680  Tuunajärvi (Pomarkku)",22,21,18,20,19
"38700  Kankaanpää Keskus (Kankaanpää)",1447,1483,1496,1494,1558
"38710  Myllymäki (Kankaanpää)",654,666,667,681,689
"38720  Vihteljärvi (Kankaanpää)",56,61,62,61,61
"38740  Hapuoja (Kankaanpää)",54,59,55,62,64
"38750  Veneskoski (Kankaanpää)",32,33,36,36,36
"38760  Venesjärvi (Kankaanpää)",40,38,38,40,36
"38770  Lohikko (Kankaanpää)",40,41,44,42,44
"38800  Jämijärvi Keskus (Jämijärvi)",279,281,278,261,260
"38840  Niinisalo (Kankaanpää)",151,138,132,133,139
"38860  Suurimaa (Jämijärvi)",33,35,37,35,32
"38910  Ala-Honkajoki (Kankaanpää)",81,75,80,85,87
"38920  Vatajankoski (Kankaanpää)",38,37,34,34,34
"38950  Honkajoki Keskus (Kankaanpää)",248,243,251,260,260
"38970  Lauhala (Kankaanpää)",46,45,46,52,50
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",707,740,733,737,738
"39110  Simuna (Hämeenkyrö)",26,29,29,29,26
"39130  Sasi (Hämeenkyrö)",60,64,68,64,67
"39150  Pinsiö (Hämeenkyrö)",77,74,72,66,71
"39160  Julkujärvi (Ylöjärvi)",294,290,306,301,305
"39170  Jumesniemi (Hämeenkyrö)",14,15,14,15,13
"39180  Herttuala (Hämeenkyrö)",13,13,13,12,14
"39195  Kaipio (Hämeenkyrö)",13,12,11,16,18
"39200  Kyröskoski (Hämeenkyrö)",959,963,987,1016,1039
"39230  Osara (Hämeenkyrö)",34,37,36,37,34
"39290  Vesajärvi (Hämeenkyrö)",20,20,21,20,27
"39310  Viljakkala Keskus (Ylöjärvi)",174,179,183,194,188
"39340  Karhe (Ylöjärvi)",29,28,30,35,34
"39360  Komi (Ylöjärvi)",38,35,35,31,34
"39380  Lavajärvi (Hämeenkyrö)",18,19,16,17,20
"39410  Luhalahti (Ikaalinen)",57,60,57,55,55
"39430  Röyhiö (Ikaalinen)",22,21,24,23,23
"39450  Sisättö (Ikaalinen)",27,27,26,30,33
"39500  Ikaalinen Keskus (Ikaalinen)",1220,1235,1215,1202,1221
"39530  Kilvakkala (Ikaalinen)",123,130,130,132,135
"39580  Riitiala (Ikaalinen)",69,73,69,68,65
"39590  Tevaniemi (Ikaalinen)",37,38,38,39,35
"39610  Kovelahti (Ikaalinen)",31,36,38,36,35
"39620  Kovesjoki (Parkano)",24,24,23,26,29
"39660  Lapinneva (Parkano)",47,44,46,48,46
"39700  Parkano Keskus (Parkano)",1256,1306,1292,1273,1268
"39750  Vatajanjärvi (Parkano)",50,49,48,51,49
"39770  Aureskoski (Parkano)",14,16,20,17,17
"39780  Alaskylä (Parkano)",26,28,27,26,32
"39810  Linnankylä (Kihniö)",39,37,35,39,37
"39820  Kihniö Keskus (Kihniö)",287,286,283,285,280
"39880  Kihniö Asemanseutu (Kihniö)",25,22,19,22,20
"39920  Suomijärvi (Karvia)",32,35,36,35,31
"39930  Karvia Keskus (Karvia)",296,301,290,301,296
"39940  Kantti (Karvia)",42,42,36,40,38
"39960  Sarvela (Karvia)",64,66,64,67,66
"39965  Karviankylä (Karvia)",21,28,31,32,30
"39980  Sara (Karvia)",32,34,34,26,20
"39990  Alkkia (Karvia)",16,17,18,17,20
"40100  Jyväskylä Keskus (Jyväskylä)",7210,7547,7903,8024,8059
"40200  Mannila-Taulumäki (Jyväskylä)",1375,1388,1426,1417,1433
"40250  Ritoniemi-Lohikoski (Jyväskylä)",1113,1146,1163,1190,1195
"40270  Palokka (Jyväskylä)",2243,2388,2456,2545,2577
"40320  Seppälän Teollisuusalue (Jyväskylä)",1488,1546,1618,1686,1719
"40340  Huhtasuo (Jyväskylä)",2211,2298,2374,2434,2456
"40400  Halssila (Jyväskylä)",879,881,876,896,890
"40420  Jyskä (Jyväskylä)",997,1057,1104,1122,1144
"40500  Keljo-Ristonmaa (Jyväskylä)",1050,1104,1188,1266,1276
"40520  Kuokkala-Ristikivi (Jyväskylä)",4627,4733,4921,5055,5147
"40530  Keljonkangas (Jyväskylä)",973,1043,1118,1112,1150
"40600  Mattilanpelto (Jyväskylä)",733,711,746,776,757
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",163,178,156,169,175
"40630  Kypärämäki (Jyväskylä)",788,796,784,821,785
"40640  Keltinmäki (Jyväskylä)",1706,1737,1769,1786,1794
"40660  Länsi-Palokka (Jyväskylä)",63,63,74,78,70
"40700  Mäki-Matti (Jyväskylä)",2288,2363,2580,2724,2737
"40720  Nisula (Jyväskylä)",1000,1095,1143,1139,1130
"40740  Kortepohja (Jyväskylä)",2843,2965,3110,3091,3099
"40800  Vaajakoski (Jyväskylä)",1621,1663,1663,1679,1726
"40820  Vuoritsalo (Jyväskylä)",231,242,239,252,252
"40900  Säynätsalo (Jyväskylä)",654,662,653,673,686
"40930  Kinkomaa (Muurame)",173,186,197,195,210
"40950  Muurame Keskus (Muurame)",1115,1129,1127,1164,1179
"41120  Puuppola (Jyväskylä)",107,105,106,108,114
"41140  Kuikka (Jyväskylä)",47,48,37,36,43
"41160  Tikkakoski (Jyväskylä)",789,798,816,844,830
"41180  Vehniä (Laukaa)",79,81,80,74,77
"41210  Jokihaara (Uurainen)",38,37,37,37,37
"41220  Höytiä (Uurainen)",41,41,43,45,48
"41230  Uurainen Keskus (Uurainen)",275,288,289,303,293
"41240  Kyynämöinen (Uurainen)",41,36,36,36,35
"41260  Hoikankylä (Saarijärvi)",19,21,20,18,17
"41270  Lannevesi (Saarijärvi)",71,75,76,74,79
"41290  Kangashäkki (Uurainen)",58,59,60,64,61
"41310  Leppävesi (Laukaa)",234,240,228,252,249
"41325  Laukkavirta (Laukaa)",37,34,39,40,40
"41330  Vihtavuori (Laukaa)",369,380,387,392,387
"41340  Laukaa Keskus (Laukaa)",1056,1091,1129,1131,1155
"41350  Laukaa Asemanseutu (Laukaa)",88,92,95,95,89
"41360  Valkola (Laukaa)",49,48,54,55,56
"41370  Kuusa (Laukaa)",112,109,106,112,109
"41390  Äijälä (Laukaa)",60,57,46,52,53
"41400  Lievestuore (Laukaa)",610,616,635,641,637
"41410  Kankainen (Toivakka)",26,26,23,24,24
"41440  Ruuhimäki (Toivakka)",37,40,37,45,43
"41450  Leppälahti (Jyväskylä)",64,60,63,66,65
"41490  Niemisjärvi (Hankasalmi)",129,135,137,130,138
"41500  Hankasalmi Asemanseutu (Hankasalmi)",314,306,297,293,292
"41520  Hankasalmi Keskus (Hankasalmi)",438,442,460,470,472
"41530  Veneranta (Hankasalmi)",20,22,22,24,25
"41540  Ristimäki (Hankasalmi)",41,36,34,38,37
"41550  Hannula (Hankasalmi)",27,30,29,30,27
"41560  Säkinmäki (Hankasalmi)",33,27,33,35,36
"41580  Sauvamäki (Hankasalmi)",40,45,46,50,48
"41630  Oravasaari (Jyväskylä)",43,44,40,39,39
"41660  Toivakka Keskus (Toivakka)",344,347,361,365,341
"41710  Rutalahti-Kivisuo (Jyväskylä)",48,46,43,49,44
"41730  Kivisuo (Joutsa)",...,...,...,...,...
"41750  Havumäki (Joutsa)",21,21,22,17,18
"41770  Leivonmäki (Joutsa)",179,172,167,165,177
"41800  Korpilahti Keskus (Jyväskylä)",757,774,766,771,786
"41820  Saakoski (Jyväskylä)",43,43,46,44,44
"41840  Moksi (Jyväskylä)",19,19,16,18,17
"41860  Rannila (Jyväskylä)",22,20,17,21,22
"41870  Putkilahti (Jyväskylä)",40,35,41,40,39
"41880  Oittila (Jyväskylä)",26,26,22,18,21
"41900  Petäjävesi Keskus (Petäjävesi)",578,574,579,566,558
"41920  Kintaus (Petäjävesi)",67,75,74,73,75
"41925  Ylä-Kintaus (Petäjävesi)",20,20,21,22,21
"41930  Kuohu (Jyväskylä)",89,81,86,90,96
"41940  Vesanka (Jyväskylä)",105,108,108,107,115
"41970  Huttula (Keuruu)",...,...,...,...,...
"41980  Kuivasmäki (Petäjävesi)",25,28,31,28,27
"42100  Jämsä Keskus (Jämsä)",2563,2568,2516,2563,2625
"42140  Juokslahti (Jämsä)",38,35,36,33,38
"42220  Kaipola (Jämsä)",189,194,200,206,185
"42300  Jämsänkoski Keskus (Jämsä)",1312,1307,1298,1328,1321
"42330  Haavisto (Jämsä)",34,31,32,32,36
"42440  Koskenpää (Jämsä)",143,149,145,145,147
"42520  Asunta (Keuruu)",28,30,32,32,27
"42560  Pohjoisjärvi (Keuruu)",15,13,12,13,10
"42600  Multia Keskus-Väätäiskylä (Multia)",289,305,305,301,296
"42660  Sahrajärvi (Multia)",25,27,26,28,26
"42700  Keuruu Keskus (Keuruu)",1869,1939,1939,1941,1947
"42800  Haapamäki (Keuruu)",255,240,241,238,235
"42820  Riiho (Keuruu)",...,9,11,12,13
"42830  Ylä-Kolkki (Mänttä-Vilppula)",...,...,...,...,...
"42840  Kolkki (Mänttä-Vilppula)",16,18,19,20,19
"42850  Pohjaslahti (Mänttä-Vilppula)",34,32,30,34,32
"42870  Kotala (Virrat)",67,64,62,59,60
"42910  Pihlajavesi (Keuruu)",61,55,52,55,52
"42930  Katajamäki (Keuruu)",19,18,21,23,21
"43100  Saarijärvi Keskus (Saarijärvi)",1612,1639,1637,1647,1628
"43130  Tarvaala (Saarijärvi)",44,46,47,44,43
"43170  Häkkilä (Saarijärvi)",54,52,50,50,46
"43220  Mahlu (Saarijärvi)",82,80,80,78,79
"43240  Lehtola (Saarijärvi)",23,23,23,21,17
"43250  Kolkanlahti (Saarijärvi)",48,42,42,46,45
"43270  Kalmari (Saarijärvi)",94,93,90,83,82
"43300  Kannonkoski Keskus (Kannonkoski)",258,265,265,260,260
"43340  Kannonjärvi (Kannonkoski)",37,37,40,36,37
"43390  Lokakylä (Kivijärvi)",13,13,11,14,17
"43420  Kukko (Saarijärvi)",...,...,...,...,...
"43430  Väätäiskylä (Multia)",...,...,...,...,...
"43440  Pylkönmäki Keskus (Saarijärvi)",130,124,120,122,112
"43480  Pääjärvi (Saarijärvi)",31,31,27,27,26
"43490  Kangasaho (Karstula)",26,26,26,22,23
"43500  Karstula Keskus (Karstula)",592,604,602,641,639
"43520  Kiminki (Karstula)",32,32,38,39,37
"43540  Rantakylä-Pirttilahti (Karstula)",18,22,19,16,16
"43560  Vahanka (Karstula)",28,25,21,18,19
"43610  Aho (Karstula)",17,14,15,16,15
"43640  Humppi (Karstula)",19,17,20,20,20
"43660  Vastinki (Karstula)",45,46,49,52,55
"43700  Kyyjärvi Keskus (Kyyjärvi)",226,220,216,215,218
"43720  Kumpulainen (Kyyjärvi)",23,21,20,21,21
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",205,208,210,209,201
"43840  Sompala (Kivijärvi)",...,...,...,...,...
"43900  Kinnula Keskus (Kinnula)",212,209,214,221,230
"43940  Muhola-Saarensalmi (Kinnula)",38,37,37,40,41
"43960  Saarensalmi (Kinnula)",17,17,17,16,13
"44100  Äänekoski Keskus (Äänekoski)",1372,1352,1389,1412,1428
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",318,328,335,342,342
"44150  Likolahti-Karhunlähde (Äänekoski)",716,714,716,719,719
"44160  Huutomäki (Äänekoski)",57,59,59,53,56
"44170  Hietama (Äänekoski)",61,64,63,60,60
"44190  Parantala (Äänekoski)",33,31,33,32,28
"44200  Suolahti Keskus (Äänekoski)",1160,1139,1135,1148,1115
"44220  Sörkänmäki (Äänekoski)",58,61,62,68,62
"44250  Äänekoivisto (Äänekoski)",41,48,51,50,52
"44260  Vihijärvi (Äänekoski)",29,29,31,28,33
"44280  Sumiainen Keskus (Äänekoski)",177,180,188,189,197
"44300  Konnevesi Keskus (Konnevesi)",422,438,434,428,427
"44320  Sirkkamäki (Konnevesi)",15,13,17,19,17
"44330  Hytölä (Konnevesi)",40,38,40,43,41
"44350  Istunmäki (Konnevesi)",79,78,74,73,71
"44370  Mäntymäki (Konnevesi)",23,28,27,28,28
"44400  Konginkangas Keskus (Äänekoski)",155,151,142,145,149
"44420  Liimattala (Äänekoski)",47,51,45,42,45
"44440  Räihä (Äänekoski)",16,18,19,18,19
"44460  Kalaniemi (Äänekoski)",22,23,20,20,24
"44480  Niinilahti (Viitasaari)",41,42,40,39,37
"44500  Viitasaari Keskus (Viitasaari)",1154,1155,1188,1170,1154
"44530  Ilmolahti (Viitasaari)",23,23,22,22,28
"44580  Huopanankoski (Viitasaari)",30,34,34,36,33
"44590  Vuorilahti (Viitasaari)",20,18,18,16,15
"44610  Kärnä (Viitasaari)",24,27,28,30,32
"44630  Kumpumäki (Viitasaari)",38,36,38,40,39
"44640  Kymönkoski (Viitasaari)",60,60,55,56,57
"44670  Suovanlahti (Viitasaari)",25,25,26,25,26
"44680  Lahnanen (Viitasaari)",...,...,...,...,...
"44730  Löytänä (Viitasaari)",17,16,15,17,18
"44740  Keitelepohja-Kotvala (Viitasaari)",25,25,23,26,26
"44760  Keihärinkoski (Viitasaari)",50,42,50,53,51
"44770  Valkeisjärvi (Viitasaari)",0,...,0,0,0
"44790  Kotvala (Viitasaari)",...,...,...,...,...
"44800  Pihtipudas Keskus (Pihtipudas)",653,664,673,674,661
"44860  Alvajärvi (Pihtipudas)",36,36,38,38,37
"44880  Muurasjärvi (Pihtipudas)",89,88,88,90,100
"44910  Elämäjärvi (Pihtipudas)",41,39,37,34,32
"44920  Peninki (Pihtipudas)",29,33,30,33,32
"44950  Kärväsjärvi (Pihtipudas)",31,33,32,30,28
"44970  Korppinen (Pihtipudas)",32,33,36,37,38
"45100  Kouvola Keskus (Kouvola)",3077,3049,3075,3135,3117
"45120  Kotkankallio-Vahteronmäki (Kouvola)",577,583,595,578,578
"45130  Korjala-Kaunisnurmi (Kouvola)",684,705,700,714,707
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",1300,1265,1271,1305,1323
"45160  Lehtomäki (Kouvola)",1614,1632,1631,1623,1563
"45200  Tornionmäki (Kouvola)",1981,1993,2014,1993,1994
"45330  Harju (Kouvola)",36,29,27,31,33
"45360  Kukkuramäki (Kouvola)",606,597,621,614,619
"45370  Valkeala kk (Kouvola)",454,503,502,513,519
