"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"01690  Ylästö (Vantaa)",73264,76754,78590,80533,85147
"01700  Kivistö (Vantaa)",40224,41461,42961,43820,44615
"01710  Pähkinärinne (Vantaa)",38245,39154,40989,41841,43479
"01720  Petikko (Vantaa)",42225,44999,41496,41390,...
"01730  Vantaanpuisto (Vantaa)",56438,60170,58722,62811,64275
"01740  Tuupakan teollisuusalue (Vantaa)",58313,56876,54967,55836,59031
"01750  Keimola (Vantaa)",62965,66613,71873,68313,70044
"01760  Seutula (Vantaa)",56884,58277,59967,62995,67580
"01770  Martinlaakson teollisuusalue (Vantaa)",0,0,0,0,0
"01800  Klaukkala Keskus (Nurmijärvi)",45862,47163,48927,50099,51109
"01810  Luhtajoki (Nurmijärvi)",62238,66031,66883,67028,69438
"01820  Haikala (Nurmijärvi)",56335,59214,61209,62765,67266
"01830  Lepsämä (Nurmijärvi)",61700,65809,68828,70832,71626
"01840  Klaukkala (Nurmijärvi)",60931,68896,65446,67207,70951
"01860  Perttula (Nurmijärvi)",56499,60066,61952,66672,65945
"01900  Nurmijärvi Keskus (Nurmijärvi)",47110,49391,49713,51729,52265
"01940  Palojoki (Nurmijärvi)",57551,62641,64712,62614,70538
"02100  Tapiola (Espoo)",58313,60399,60731,62744,65516
"02110  Otsolahti (Espoo)",53863,59562,57972,59813,62108
"02120  Länsikorkee-Suvikumpu (Espoo)",52702,55695,60309,57894,61559
"02130  Pohjois-Tapiola (Espoo)",71938,75965,75983,76373,81030
"02140  Laajalahti (Espoo)",73818,75662,81647,80704,87785
"02150  Otaniemi (Espoo)",22444,24774,25523,26554,26935
"02160  Westend (Espoo)",141881,158574,172369,145655,162274
"02170  Haukilahti (Espoo)",76237,81161,80552,87569,87785
"02180  Mankkaa (Espoo)",82830,87139,87384,89750,93905
"02200  Niittykumpu (Espoo)",53354,54798,55059,53360,55908
"02210  Olari (Espoo)",47875,50041,51566,52471,54266
"02230  Matinkylä (Espoo)",51782,56211,55531,57780,59748
"02240  Friisilä (Espoo)",103833,97021,87385,83251,89803
"02250  Henttaa (Espoo)",48510,46298,47028,46337,46408
"02260  Kaitaa (Espoo)",59587,66290,66995,63502,66781
"02270  Finnoo-Eestinmalmi (Espoo)",76165,82283,66414,62588,55669
"02280  Malminmäki-Eestinlaakso (Espoo)",54218,55046,60721,58420,61736
"02300  Nöykkiönpuro (Espoo)",89493,97499,98830,104688,102962
"02320  Espoonlahti (Espoo)",44294,45907,47135,49478,51270
"02330  Saunalahti-Kattilalaakso (Espoo)",59405,62485,64638,63326,66807
"02340  Latokaski (Espoo)",62805,65368,67971,69291,71826
"02360  Soukka (Espoo)",56208,61575,66046,63358,66875
"02380  Suvisaaristo (Espoo)",182088,201375,180065,173281,163961
"02390  Sarvvik (Kirkkonummi)",84575,115455,86695,78575,74036
"02400  Kirkkonummi Keskus (Kirkkonummi)",47489,49641,49826,52139,54544
"02410  Gesterby (Kirkkonummi)",32276,33379,34448,35344,36490
"02420  Jorvas (Kirkkonummi)",71969,79184,80088,78713,81519
"02430  Masala (Kirkkonummi)",41811,44054,42951,43335,44200
"02440  Luoma (Kirkkonummi)",74369,79875,76540,75019,87441
"02450  Sundsberg (Kirkkonummi)",74761,81186,81204,82877,86610
"02460  Kantvik (Kirkkonummi)",53163,55117,56591,57827,61105
"02470  Upinniemi (Kirkkonummi)",34654,36507,37594,39036,41071
"02480  Porkkala (Kirkkonummi)",63216,67789,68746,70412,75708
"02490  Pikkala (Siuntio)",41182,42596,42281,44282,50392
"02510  Oitmäki (Kirkkonummi)",59240,66240,64811,67476,70006
"02520  Lapinkylä (Kirkkonummi)",61933,63521,65868,66295,68264
"02540  Kylmälä (Kirkkonummi)",72433,81443,77990,81223,76738
"02550  Evitskog (Kirkkonummi)",57663,64210,63373,66360,66297
"02570  Siuntio Kirkonkylä (Siuntio)",50551,55396,55173,58057,58792
"02580  Siuntio Asemanseutu (Siuntio)",53062,55207,57027,60806,64936
"02590  Lappers (Siuntio)",89742,62343,66949,69938,64713
"02600  Etelä-Leppävaara (Espoo)",43593,44565,44982,46192,47437
"02610  Kilo (Espoo)",49259,48696,50413,52264,53842
"02620  Karakallio (Espoo)",53161,54557,54439,55068,57450
"02630  Nihtisilta (Espoo)",53463,55311,57054,55484,55082
"02650  Pohjois-Leppävaara (Espoo)",43834,44761,46446,48037,49854
"02660  Lintuvaara (Espoo)",67883,71956,74710,77484,80022
"02680  Uusmäki (Espoo)",60718,67112,68596,68078,72068
"02700  Kauniainen (Kauniainen)",92990,100730,106323,102372,112077
"02710  Viherlaakso (Espoo)",50237,52866,54771,56237,59596
"02720  Lähderanta (Espoo)",53614,60360,57520,59792,62306
"02730  Jupperi (Espoo)",85460,94470,96947,93968,99127
"02740  Bemböle-Pakankylä (Espoo)",59904,59312,64204,62882,66178
"02750  Sepänkylä-Kuurinniitty (Espoo)",60379,73128,66391,64634,67668
"02760  Tuomarila-Suvela (Espoo)",44955,46559,47169,49017,50478
"02770  Espoon Keskus (Espoo)",42602,44017,44421,46947,47636
"02780  Kauklahti (Espoo)",58856,62560,65215,66298,70653
"02810  Gumböle-Karhusuo (Espoo)",68137,72517,73253,76941,80317
"02820  Nupuri-Nuuksio (Espoo)",70044,77294,75637,78666,80603
"02860  Siikajärvi (Espoo)",58360,59683,61260,64713,67275
"02880  Veikkola (Kirkkonummi)",63478,67415,70812,69646,74051
"02920  Niipperi (Espoo)",68961,70331,69625,72198,75886
"02940  Lippajärvi-Järvenperä (Espoo)",54969,56323,59973,60295,63013
"02970  Kalajärvi (Espoo)",63818,64708,67190,69212,72981
"02980  Lakisto (Espoo)",44603,44663,43424,46001,48779
"03100  Nummela (Vihti)",44696,46166,48224,49453,51649
"03150  Huhmari (Vihti)",55348,59598,62337,64270,67156
"03220  Tervalampi (Vihti)",56228,57324,61276,61694,65669
"03250  Ojakkala (Vihti)",58994,60483,63585,66457,65797
"03300  Otalampi (Vihti)",53950,56544,57859,60412,63123
"03320  Selki (Vihti)",48215,51971,51003,52049,54814
"03400  Vihti Kirkonkylä (Vihti)",47632,49957,51268,53451,55362
"03430  Jokikunta (Vihti)",52630,53799,57591,57841,57749
"03600  Karkkila Keskus (Karkkila)",38288,39468,40788,42015,43211
"03620  Polari (Karkkila)",40129,41342,42857,44127,45356
"03710  Uusitalo (Karkkila)",49675,56303,52696,50874,79733
"03790  Vihtijärvi (Vihti)",55250,59950,57816,60910,62115
"03810  Ikkala (Lohja)",40170,42089,42073,45076,46427
"03850  Pusula (Lohja)",41221,41938,43975,46838,47082
"03870  Hyönölä (Lohja)",47264,47689,52266,52559,54809
"04130  Sipoo (Sipoo)",47729,50031,50925,52910,54968
"04150  Martinkylä (Sipoo)",59848,64203,64987,64837,66409
"04170  Paippinen (Sipoo)",58854,60535,60976,64202,66057
"04200  Kerava Keskus (Kerava)",39999,41543,42420,43946,45107
"04220  Ahjo-Kaskela (Kerava)",47351,49122,50288,52213,54691
"04230  Pihkaniitty (Kerava)",48628,50078,51384,53198,54538
"04240  Talma (Sipoo)",59752,61367,65052,66500,69746
"04250  Alikerava (Kerava)",35532,36132,36984,38026,39510
