"12f3 -- 5. Households' disposable monetary income, 2010-2024"

"Postal code area","2020 Average income of households (TR)","2021 Average income of households (TR)","2022 Average income of households (TR)","2023 Average income of households (TR)","2024 Average income of households (TR)"
"51430  Läsäkoski (Kangasniemi)",37610,37378,39731,46021,49505
"51440  Vuojalahti (Kangasniemi)",44757,45800,50406,50532,52994
"51450  Pajulankylä (Mikkeli)",...,...,...,...,...
"51460  Luusniemi (Kangasniemi)",40585,41572,41961,46366,45280
"51520  Hiirola (Mikkeli)",39425,41247,43210,46842,46176
"51540  Kalvitsa (Mikkeli)",42649,46933,43729,45892,47369
"51600  Haukivuori Keskus-Pitkäaho (Mikkeli)",33204,35738,37114,39286,39700
"51620  Pitkäaho (Mikkeli)",...,...,...,...,...
"51670  Nykälä (Mikkeli)",35259,39544,36871,42038,41944
"51720  Rahula (Mikkeli)",49419,50064,54258,57841,59172
"51740  Huuhanaho (Mikkeli)",43866,45196,47954,48360,49864
"51760  Nuutilanmäki (Juva)",41758,44479,47805,51843,52392
"51780  Kuosmala (Juva)",39101,42447,45614,49833,49841
"51810  Maivala (Juva)",37942,39845,41736,44862,48356
"51820  Hatsola (Juva)",41760,44549,47327,48552,50445
"51850  Vuorenmaa (Juva)",38718,41433,46385,43725,49206
"51860  Narila (Juva)",38761,42174,47956,46263,49914
"51880  Koikkala (Juva)",41515,43940,43426,44613,46483
"51890  Risulahti (Juva)",41338,48772,44778,50761,63939
"51900  Juva Keskus (Juva)",33739,35057,37048,38234,39321
"51930  Paatela (Juva)",44297,45379,50805,52394,55550
"51940  Härkälä (Juva)",39111,39547,39705,45431,48230
"51980  Lauteala (Juva)",42393,46597,46972,48806,52982
"52100  Anttola (Mikkeli)",37603,39163,41397,43353,43567
"52110  Majavesi (Mikkeli)",44369,48955,50954,52968,55543
"52150  Hauhala (Mikkeli)",45149,47888,54857,52620,58568
"52200  Puumala Keskus (Puumala)",37942,39768,41239,42492,45016
"52230  Hurissalo (Puumala)",45812,51128,50018,57485,54114
"52270  Ryhälä (Puumala)",...,...,...,...,...
"52300  Ristiina Keskus (Mikkeli)",37317,39617,40608,42229,44141
"52320  Vitsiälä (Mikkeli)",44830,48332,49049,47967,52828
"52330  Heimari (Mikkeli)",...,...,...,...,...
"52340  Hangastenmaa (Mikkeli)",41646,41674,44184,45668,50103
"52360  Someenjärvi (Mikkeli)",35114,38073,41176,48396,50609
"52420  Pellosniemi (Mikkeli)",32799,34796,36827,37450,38372
"52510  Hietanen (Hirvensalmi)",38706,39914,41399,43559,47745
"52520  Syväsmäki (Hirvensalmi)",42812,46254,47557,53306,55376
"52550  Hirvensalmi Keskus (Hirvensalmi)",37042,38734,39419,41048,43250
"52610  Tuukkalanlahti (Hirvensalmi)",38020,38874,39790,42360,41198
"52620  Kuitula (Hirvensalmi)",44394,46827,40558,41204,49153
"52700  Mäntyharju Keskus (Mäntyharju)",35570,37066,37692,40062,41672
"52720  Karankamäki-Koirakivi (Mäntyharju)",36128,34993,38054,37776,34874
"52730  Koirakivi (Mäntyharju)",40955,43985,37557,46191,49428
"52740  Tuustaipale (Mäntyharju)",38212,40138,42757,44485,47178
"52760  Mynttilä (Mäntyharju)",39638,43198,43611,42931,41353
"52780  Kuomiokoski (Mikkeli)",34163,36730,38279,39663,41324
"52830  Suomenniemi (Mikkeli)",32868,33644,35586,39617,41091
"52850  Halmeniemi (Mäntyharju)",36722,37408,40087,46157,45485
"52890  Käävänkylä (Mäntyharju)",38200,39654,46086,53978,56557
"52920  Voikoski (Kouvola)",41095,42065,43918,45687,49714
"52960  Nurmaa (Mäntyharju)",39846,41667,41800,45306,46495
"52970  Pankalahti-Ahvenainen (Mäntyharju)",38274,37391,36933,39553,38259
"52980  Ahvenainen (Mäntyharju)",...,...,...,...,...
"53100  Lappeenranta keskus (Lappeenranta)",32693,33876,34584,35925,37972
"53130  Keskussairaala-alue-Kimpinen (Lappeenranta)",43085,42360,43236,43979,47653
"53200  Kaukas-Tirilä (Lappeenranta)",34661,35396,36230,37806,39856
"53300  Lauritsala-Mälkiä (Lappeenranta)",36900,37777,39062,40655,41809
"53400  Laihia (Lappeenranta)",49638,50755,52337,55511,58081
"53420  Mustola (Lappeenranta)",45186,46924,47742,47987,49918
"53500  Parkkarila-Harapainen-Reijola (Lappeenranta)",43172,44852,45975,47508,49964
"53550  Kourulanmäki (Lappeenranta)",50432,54557,53708,53483,56594
"53600  Kesämäki (Lappeenranta)",32487,33267,35131,35457,36977
"53650  Mattila-Kuusela (Lappeenranta)",40142,40965,42278,43636,45407
"53810  Kuusimäki-Lavola (Lappeenranta)",30754,31664,32791,33737,35174
"53830  Rutola (Lappeenranta)",49812,52413,52775,53169,56545
"53850  Skinnarila (Taipalsaari)",33138,33995,35149,35443,36942
"53900  Pallo-Tysterniemi-Leiri (Lappeenranta)",35731,37309,38848,38548,40803
"53920  Voisalmi (Lappeenranta)",33610,34657,37077,37408,39606
"53950  Kivisalmi (Lappeenranta)",36302,36882,39378,41013,40041
"54100  Joutseno Keskus (Lappeenranta)",38488,39323,40768,42204,43762
"54110  Lampikangas (Lappeenranta)",41052,42095,43166,45807,45700
"54120  Pulp (Lappeenranta)",40436,41506,42338,44042,45277
"54190  Konnunsuo (Lappeenranta)",36708,41104,41969,41211,43962
"54230  Nuijamaa (Lappeenranta)",41552,42434,44339,46232,48058
"54250  Rapattila (Lappeenranta)",40948,39448,43203,46674,48745
"54260  Hanhijärvi (Lappeenranta)",52066,54202,57390,57260,61022
"54270  Vainikkala (Lappeenranta)",39126,41241,41120,43786,47164
"54300  Vilkjärvi (Lappeenranta)",46169,48070,48897,52706,54030
"54310  Hytti (Lappeenranta)",55104,52802,55454,58988,61246
"54330  Simola (Lappeenranta)",40135,42988,47451,48499,48171
"54390  Pulsa (Lappeenranta)",35209,40510,42009,45167,45050
"54410  Ylämaa Keskus (Lappeenranta)",36968,37899,40830,43930,46340
"54430  Hujakkala (Lappeenranta)",36478,39897,42967,43178,47413
"54460  Ylijärvi (Lappeenranta)",37774,35632,39343,45069,44655
"54490  Ahomäki (Miehikkälä)",32930,33362,36658,35702,38262
"54500  Taavetti-Somerharju (Luumäki)",34079,35036,35735,37594,39082
"54510  Uro (Luumäki)",42051,42749,45871,48040,50913
"54530  Luumäki (Luumäki)",43154,45374,45758,49668,51058
"54550  Suo-Anttila (Luumäki)",37188,41805,41414,40047,48438
"54580  Somerharju (Luumäki)",...,...,...,...,...
"54590  Kaitjärvi (Luumäki)",38215,39915,39251,38047,41821
"54710  Lemi Keskus (Lemi)",35400,36512,37518,38732,40630
"54720  Laksiainen (Lemi)",43334,45893,52517,54342,56844
"54750  Välijoki (Savitaipale)",38191,38586,41089,41721,43318
"54770  Heituinlahti (Savitaipale)",38007,38779,41587,43144,43348
"54800  Savitaipale Keskus (Savitaipale)",35749,37367,37847,39476,41149
"54820  Kotimäki (Lemi)",39852,41273,43683,43131,46313
"54850  Kuukanniemi (Lemi)",48603,49878,52190,54015,55257
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",46001,47685,47447,49084,52039
"54920  Taipalsaari (Taipalsaari)",44780,46905,49171,50679,53471
"54930  Levänen (Taipalsaari)",40951,43911,47430,46595,46221
"54940  Solkei (Taipalsaari)",37661,39423,41469,47402,55448
"54950  Pettilä (Savitaipale)",33613,33647,34723,36511,37051
"54960  Vehkataipale (Taipalsaari)",53163,56653,55450,57954,60273
"55100  Imatra Keskus (Imatra)",36658,38250,39650,41236,42065
"55120  Mansikkala-Tuulikallio (Imatra)",32122,32918,33721,35052,35589
"55300  Rauha-Tiuruniemi (Lappeenranta)",38542,40888,40730,42756,45734
"55320  Rauha (Lappeenranta)",39059,41927,41323,44511,43176
"55330  Tiuruniemi (Lappeenranta)",40716,42150,41934,42154,46065
"55400  Tainionkoski-Mustalampi (Imatra)",41474,42752,43985,46164,47003
"55420  Karhumäki-Karhukallio (Imatra)",42318,43434,44066,46817,48286
"55510  Sotkulampi-Linnasuo (Imatra)",26616,27138,28462,28798,28995
"55610  Rajapatsas-Teppanala (Imatra)",32855,33487,34238,35595,36926
"55700  Vintteri-Virasoja (Imatra)",41903,41716,44152,45252,46176
"55800  Vuoksenniska-Saarlampi (Imatra)",32604,33243,34682,36015,36745
"55910  Rautio-Kurkvuori (Imatra)",38051,38948,40143,41853,42541
"56100  Ruokolahti Keskus (Ruokolahti)",36257,39698,37825,39764,41625
"56120  Salosaari (Ruokolahti)",47182,48560,50638,54368,56356
"56140  Äitsaari (Ruokolahti)",41564,44594,44292,44698,47277
"56210  Virmutjoki (Ruokolahti)",41000,41216,44731,43788,44557
"56310  Syyspohja (Ruokolahti)",40198,42038,54464,45897,50139
"56330  Utula (Ruokolahti)",...,...,...,...,...
"56350  Kyläniemi (Taipalsaari)",...,...,...,...,...
"56410  Kaiturinpää (Ruokolahti)",44586,46667,47660,49884,52849
"56440  Pohja-Lankila (Ruokolahti)",38669,46677,42331,43366,45680
"56510  Puntala (Ruokolahti)",41013,40881,42402,44168,45555
"56550  Niska-Pietilä (Rautjärvi)",41698,45616,44787,41516,45354
"56610  Rautjärvi (Rautjärvi)",34425,35171,36200,38899,41026
"56640  Purnujärvi (Rautjärvi)",33047,34368,32950,33400,37473
"56710  Miettilä (Rautjärvi)",38110,37136,38555,42180,44472
"56730  Laikko (Rautjärvi)",36614,36854,39905,42373,43588
"56800  Simpele (Rautjärvi)",34456,35007,35847,38197,39524
"57100  Heikinpohja-Piispanmäki (Savonlinna)",28452,28891,30050,31486,32133
"57120  Savonlinna (Savonlinna)",...,...,...,...,...
"57130  Savonlinna Keskus (Savonlinna)",29225,30817,32074,32272,34843
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",27254,27691,28635,30773,31262
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",34751,36259,37645,39626,39942
"57210  Nojanmaa (Savonlinna)",37004,38147,39256,41209,42330
"57220  Savonlinna (Savonlinna)",30883,31588,33036,34740,36226
"57230  Inkerinkylä (Savonlinna)",42791,44377,47917,50716,51009
"57310  Savonlinna (Savonlinna)",39551,41693,44080,46582,47311
"57510  Laitaatsilta (Savonlinna)",44963,47026,48359,51385,53473
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",44392,46728,48224,50853,58109
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",41001,42650,43809,46026,47903
"57810  Savonlinna (Savonlinna)",42934,48031,47972,51741,54585
"58130  Oravi (Savonlinna)",39309,39965,39959,39283,49684
"58140  Ahvensalmi (Savonlinna)",41773,44228,40509,47038,64890
"58150  Makkola (Savonlinna)",42635,42629,46317,46008,45889
"58160  Karvila (Enonkoski)",41811,42917,43130,46765,49341
"58170  Simanala (Enonkoski)",44023,46130,45968,49840,54279
"58175  Enonkoski Keskus (Enonkoski)",31405,34091,36186,37932,38871
"58180  Ihamaniemi (Enonkoski)",38827,41765,45464,48235,44993
"58200  Kerimäki Keskus (Savonlinna)",33815,35263,36880,38757,39854
"58220  Louhi (Savonlinna)",38860,38420,40420,41224,43473
"58260  Kumpuranta (Savonlinna)",40516,38803,40486,41935,45101
"58300  Savonranta Keskus (Savonlinna)",30355,31377,32575,33110,35322
"58320  Raikuu (Savonlinna)",34279,37304,40186,42090,40417
"58350  Villala (Kitee)",31368,34098,35305,37135,37089
"58360  Säimen (Savonlinna)",30960,32804,35888,36271,38433
"58390  Rönkönvaara (Savonlinna)",28466,33559,33828,36898,34224
"58410  Haapakallio (Savonlinna)",44339,46089,48257,49852,50610
"58420  Silvola (Savonlinna)",45603,46813,51882,52415,54841
"58430  Kulennoinen (Savonlinna)",45018,48567,48010,48570,53077
"58450  Punkaharju (Savonlinna)",46654,48573,49649,54691,56669
"58500  Punkasalmi (Savonlinna)",31755,33331,34567,36582,38132
"58520  Hiukkajoki (Savonlinna)",42476,42228,40388,46743,48410
"58550  Putikko (Savonlinna)",36057,37885,40509,42531,43432
"58570  Ruhvana (Savonlinna)",...,...,...,41319,45386
"58580  Vuoriniemi (Savonlinna)",34234,37117,39552,39815,47702
"58610  Telakanava (Sulkava)",41926,42526,42963,46834,51378
"58620  Lohilahti (Sulkava)",43616,43050,42322,42758,49887
"58650  Kiviapaja (Savonlinna)",34658,36323,35558,41447,42132
"58680  Piojärvi (Savonlinna)",...,...,...,...,...
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",36918,39875,40910,43196,49015
"58700  Sulkava Keskus (Sulkava)",33278,35150,36068,37792,40822
"58720  Kaartilankoski (Sulkava)",42708,43137,47708,47947,48694
"58770  Pihlajalahti (Savonlinna)",35663,38052,38324,42363,46383
"58810  Kallislahti (Savonlinna)",40532,43759,47681,50493,49170
"58830  Parkumäki (Rantasalmi)",40839,42138,43498,47014,50115
"58850  Hiltula (Rantasalmi)",40860,42554,44925,41784,41954
"58900  Rantasalmi Keskus (Rantasalmi)",34270,35598,36654,38849,41232
"58910  Rantasalmi Asemanseutu (Rantasalmi)",33583,38799,36710,40986,39587
"58920  Kolkontaipale (Rantasalmi)",38367,42808,42993,43005,47397
"58940  Tuusmäki (Rantasalmi)",43602,46920,49536,49889,49703
"59100  Parikkala Keskus (Parikkala)",33335,34350,35457,36737,38139
"59130  Koitsanlahti (Parikkala)",39544,42755,42418,47509,46580
"59210  Melkoniemi (Parikkala)",35801,38206,41483,43868,42732
"59310  Särkisalmi (Parikkala)",39002,40267,41368,42774,42796
"59320  Haapaoja (Parikkala)",35894,38018,37428,39658,40714
"59410  Kirjavala (Parikkala)",35947,35817,36654,38147,38066
"59510  Maironiemi (Parikkala)",30828,31394,33141,35112,35969
"59520  Saari (Parikkala)",44503,46425,47479,51580,52682
"59530  Mikkolanniemi (Parikkala)",35244,38031,38740,43222,43212
"59610  Tarnala (Parikkala)",35666,35728,39183,38430,40377
"59710  Kummunkylä (Parikkala)",38130,38925,41220,41628,44022
"59720  Niukkala (Parikkala)",33601,34314,35161,38352,38720
"59730  Uukuniemi (Parikkala)",35241,36701,34101,38698,38560
"59800  Kesälahti Keskus (Kitee)",34916,37247,36676,37815,39656
"59810  Suurikylä (Kitee)",33079,35952,42587,40461,38796
"59820  Purujärvi-Rajavaara (Kitee)",47076,41552,41405,43793,46872
"60100  Seinäjoki Keskus (Seinäjoki)",31630,32696,33613,34230,36055
"60120  Pohja (Seinäjoki)",33604,34181,35544,37009,38541
"60150  Kasperi (Seinäjoki)",34282,35266,36960,38157,40641
"60200  Törnävä (Seinäjoki)",45411,47572,48552,50024,52892
"60220  Huhtala (Seinäjoki)",33376,33784,36389,35994,38218
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",...,...,...,...,...
"60320  Alakylä-Jouppi (Seinäjoki)",42004,44034,44339,45978,48402
"60420  Impivaara (Seinäjoki)",60161,66268,62786,66295,72036
"60450  Munakka (Ilmajoki)",48369,50765,54756,55656,56901
"60510  Hyllykallio (Seinäjoki)",46864,48937,49534,51958,53932
"60550  Nurmo Keskus (Seinäjoki)",46230,48186,49248,51021,53770
"60560  Halkosaari (Seinäjoki)",50265,52049,54754,57170,59183
"60640  Kurjenneva (Seinäjoki)",50272,52777,56971,58284,61048
"60720  Tuomikylä (Ilmajoki)",52486,54423,56876,58869,62490
"60760  Pojanluoma (Ilmajoki)",49571,70743,53315,55270,62214
"60800  Ilmajoki Keskus (Ilmajoki)",40586,41942,42994,44392,47281
"61100  Peräseinäjoki Keskus (Seinäjoki)",36351,37731,38052,39923,40787
"61110  Vuolle (Seinäjoki)",42222,44292,49733,49892,51914
"61120  Louko (Seinäjoki)",53475,54911,57834,60077,62315
"61140  Pasto (Seinäjoki)",41739,45710,46162,46624,63667
"61150  Sydänmaa (Alavus)",39698,...,44047,45177,44287
"61160  Koura (Seinäjoki)",45115,47963,46969,50091,52244
"61170  Sääskiniemi (Alavus)",40360,40103,40824,43583,43909
"61180  Haapaluoma (Seinäjoki)",39664,41444,42220,48082,48500
"61220  Myllysalo (Kurikka)",41675,42162,45654,44934,46453
"61230  Luopa (Kurikka)",46580,49819,52509,56402,58964
"61250  Jalasto (Kurikka)",45306,47816,49048,51775,52430
"61270  Luopajärvi (Kurikka)",48442,49467,50729,53637,56130
"61280  Jokipii (Kurikka)",42256,45515,45437,47979,50407
"61290  Taivalmaa (Kurikka)",33099,37116,37059,41136,46468
"61300  Kurikka Keskus (Kurikka)",37311,38806,40339,41504,43290
"61310  Panttila (Kurikka)",46134,46534,49400,49751,50991
"61330  Koskenkorva (Ilmajoki)",40270,40832,42536,44670,45936
"61340  Nopankylä (Ilmajoki)",40511,40858,41253,45999,45796
"61350  Huissi (Ilmajoki)",45363,46453,51129,52916,51827
"61360  Mieto (Kurikka)",44656,45642,50980,49802,51291
"61370  Lohiluoma (Kurikka)",43162,43253,43675,46122,49770
"61380  Polvenkylä (Kurikka)",42950,45743,46974,51472,48058
"61400  Ylistaro Keskus (Seinäjoki)",39116,42418,40869,45330,46228
"61410  Ylistaro Asemanseutu (Seinäjoki)",46334,48758,47497,50846,51735
"61430  Isorehto (Seinäjoki)",47047,52354,53054,55726,54577
"61440  Untamala (Seinäjoki)",48168,47302,50555,51503,51231
"61450  Kylänpää (Seinäjoki)",40437,41069,43239,43672,45932
"61460  Hanhikoski (Seinäjoki)",41903,44163,47225,46925,49627
"61470  Kitinoja (Seinäjoki)",46384,48547,52859,55361,65172
"61500  Isokyrö Keskus (Isokyrö)",39920,40960,41708,43501,45279
"61520  Lehmäjoki (Isokyrö)",38757,41505,40276,42409,45006
"61550  Orismala (Isokyrö)",41389,43970,46993,48584,52210
"61560  Orisberg (Isokyrö)",...,...,...,...,...
"61600  Jalasjärvi Keskus (Kurikka)",36486,37378,38310,39466,40861
"61630  Hirvijärvi (Kurikka)",45245,47557,48166,50770,53396
"61640  Ala-Valli (Kurikka)",39518,41305,46790,49108,46577
"61650  Kalakoski (Seinäjoki)",37869,36458,38252,40730,40544
"61680  Mantila (Kurikka)",43666,44955,48603,50417,51905
"61710  Pentinmäki (Kurikka)",44081,44917,47462,48753,48875
"61720  Koskue (Kurikka)",40263,41641,43250,45091,46988
"61730  Yli-Valli (Kurikka)",34757,35964,37847,41087,39028
"61760  Ilvesjoki (Kurikka)",43188,45055,45798,47736,50243
"61800  Kauhajoki Keskus (Kauhajoki)",37258,46199,40149,41223,41764
"61810  Luomankylä (Kauhajoki)",41636,41955,43711,44043,46490
"61820  Kainasto (Kauhajoki)",38610,41355,40114,41734,43952
"61840  Norinkylä (Teuva)",34860,36131,37963,38626,39894
"61850  Kauhajoki Asemanseutu (Kauhajoki)",38177,53349,41482,43381,45685
"61860  Harja (Kauhajoki)",43060,44645,46306,48651,48724
"61880  Ikkeläjärvi (Kauhajoki)",37934,39947,43799,43950,46092
"61910  Nummijärvi (Kauhajoki)",38673,41586,41723,45614,46612
"61920  Nummikoski (Kauhajoki)",...,...,...,...,...
"61940  Hyyppä (Kauhajoki)",40376,40342,40604,46989,44966
"61950  Juonikylä (Kauhajoki)",32016,33458,34665,35861,36939
"61960  Kyrönlatva (Kauhajoki)",34841,36384,39103,41998,42990
"61980  Päntäne (Kauhajoki)",36515,37400,38795,43023,41710
"62100  Lapua Keskus (Lapua)",40259,42042,43095,44711,46546
"62130  Hellanmaa (Lapua)",44934,46900,48527,50473,53774
"62150  Rintakangas (Kauhava)",63558,73626,74661,74899,74037
"62160  Karhunkylä (Lapua)",45433,47142,47985,50639,53707
"62165  Tiisteenjoki (Lapua)",45354,44868,48590,51618,50583
"62170  Lakaluoma (Lapua)",42521,45150,43007,47570,48073
"62175  Ylikylä-Mäenpää (Lapua)",39388,39589,41546,46619,44139
"62185  Mäki-Paavola (Lapua)",47716,50596,51683,56585,61683
"62190  Ruha (Lapua)",45889,49770,49800,52098,54008
"62200  Kauhava Keskus (Kauhava)",37435,39609,40367,42248,43074
"62220  Pernaa (Kauhava)",41292,45087,48756,50298,51019
"62230  Jylhä (Kauhava)",44218,45295,46647,49924,52515
"62240  Huhmarkoski (Kauhava)",37093,37726,38402,39293,41446
"62260  Hirvijoki (Kauhava)",41808,51406,44009,44415,47297
"62280  Mustamaa (Lapua)",43195,48686,49213,50858,54752
"62290  Hirvikylä (Lapua)",42342,42037,44400,47415,49714
"62295  Kauhajärvi (Lapua)",35839,37528,39114,40486,40909
"62300  Härmä (Kauhava)",38289,39925,41264,42750,44957
"62310  Voltti (Kauhava)",40838,42842,44548,45264,46513
"62340  Kuoppa-Vakkuri (Kauhava)",35423,34266,37725,36756,42576
"62350  Ekola (Kauhava)",44173,45920,46369,47137,52310
"62370  Kangasto (Kauhava)",36976,38264,39595,39497,42429
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",39322,40529,42282,43322,44720
"62380  Kosolankylä (Kauhava)",36959,36561,39759,39885,41975
"62395  Petterinmäki (Vörå)",35138,38414,37545,41381,41019
"62410  Rintala (Kauhava)",46496,47797,51569,54416,54925
"62420  Kortesjärvi Keskus (Kauhava)",38206,38718,41468,41884,44341
"62430  Peltotupa (Kauhava)",45045,47218,51052,52075,51752
"62435  Pirttinen (Kauhava)",56350,57634,56794,59650,68625
"62440  Perkiömäki (Kauhava)",41125,41406,44718,45699,52474
"62470  Purmojärvi (Kauhava)",42512,43679,43604,46802,48116
"62500  Evijärvi Keskus (Evijärvi)",39473,40213,42779,43925,45371
"62510  Kuoppa-aho (Evijärvi)",43149,43965,46425,47258,50495
"62520  Kautiainen (Evijärvi)",54838,64789,67722,67296,65186
"62540  Vasikka-aho (Evijärvi)",40324,42102,42174,43520,46453
"62570  Särkilä (Evijärvi)",38638,41765,39968,42014,45847
"62600  Lappajärvi Keskus (Lappajärvi)",37164,37839,40054,40595,42140
"62610  Tarvola (Lappajärvi)",39422,38801,38191,40091,43842
"62620  Ala-Seppä (Lappajärvi)",41454,40310,43089,45948,47404
"62630  Karvala (Lappajärvi)",37749,37844,39594,40324,42112
"62640  Savonkylä (Lappajärvi)",43744,45357,46065,45160,48737
"62660  Itäkylä (Lappajärvi)",42250,41983,43689,45722,46289
"62710  Kurejoki (Alajärvi)",43326,45135,47372,49393,50249
"62720  Sissala (Alajärvi)",48424,50481,51964,51780,54891
"62730  Haukkala (Alajärvi)",49438,53069,56528,54295,56637
"62740  Koskenvarsi (Alajärvi)",44990,47408,50314,53751,54030
"62750  Saukonkylä (Alajärvi)",37332,38838,38616,42311,44574
"62760  Menkijärvi (Alajärvi)",37383,40074,40639,38928,42194
"62800  Vimpeli Keskus (Vimpeli)",40746,42345,42682,43488,44646
"62810  Savonjoki (Vimpeli)",35727,35562,35999,39988,40812
"62830  Luoma-Aho (Alajärvi)",53601,54297,55333,57712,59170
"62840  Lakaniemi-Pokela (Vimpeli)",...,...,...,...,...
"62860  Sahi (Vimpeli)",42260,46239,46865,50125,51667
"62870  Vinni (Vimpeli)",...,...,...,...,...
"62880  Sääksvesi-Vinni (Vimpeli)",39483,41250,43393,48398,44648
"62900  Alajärvi Keskus (Alajärvi)",39272,40518,42488,43106,45147
"62920  Levijoki (Alajärvi)",42176,45859,46974,50969,44078
"62940  Hoisko (Alajärvi)",43173,45976,47539,49056,52648
"62950  Paalijärvi (Alajärvi)",42852,45478,47737,50183,51579
"62990  Möksy (Alajärvi)",36206,36105,36204,41590,39861
"63100  Kuortane Keskus (Kuortane)",37137,38276,40219,41078,42871
"63120  Leppälänkylä (Kuortane)",40566,42604,46184,46912,49614
"63130  Mäyry (Kuortane)",46858,46356,47615,50226,54065
"63150  Ruona (Kuortane)",40001,41236,44313,45893,47021
"63160  Salmi (Kuortane)",44112,44987,45808,46313,51944
"63210  Niinimaa (Alavus)",42641,43655,45658,44266,47275
"63230  Lentilä (Kuortane)",40939,40094,41016,45453,46098
"63250  Rantala (Kuortane)",45341,45587,50619,51322,54233
"63300  Alavus Keskus (Alavus)",38238,39491,40155,41541,43074
"63320  Kattelus (Alavus)",...,...,...,...,...
"63330  Pahajoki (Alavus)",43383,45096,45846,45516,50530
"63340  Sapsalampi (Alavus)",38609,39262,39916,40504,44034
"63350  Sulkavankylä (Alavus)",47654,50067,50939,52425,54781
"63355  Seinäjärvi (Alavus)",38740,40480,43559,45471,49237
"63360  Kuivaskylä (Alavus)",43259,40885,43448,40154,43414
"63370  Taipalus (Alavus)",49525,48697,51956,50974,58310
"63400  Alavus Asemanseutu (Alavus)",36657,37555,38202,40135,42117
"63410  Rantatöysä (Alavus)",37790,39959,42034,43201,44812
"63430  Kätkänjoki (Alavus)",36782,38021,38067,40005,45182
"63450  Löyä (Kuortane)",...,...,...,...,...
"63500  Lehtimäki Keskus (Alajärvi)",33202,35687,36073,36603,39947
"63510  Lehtimäki Kirkonkylä (Alajärvi)",39108,38795,41448,44058,43523
"63530  Länsikylä (Alajärvi)",40704,40997,44476,45586,48465
"63540  Hernesmaa (Alajärvi)",36612,39240,40680,37713,41024
"63600  Töysä Keskus (Alavus)",33582,34879,39966,43291,45348
"63610  Tuuri (Alavus)",42914,41294,44757,43824,45201
"63640  Ritola (Alavus)",41784,43417,44175,47160,51112
"63660  Ähtärinranta (Ähtäri)",38901,38934,42032,42077,43891
"63680  Hakojärvi (Alavus)",40420,42634,43660,43032,44107
"63700  Ähtäri Keskus (Ähtäri)",35847,37706,38316,38988,40847
"63770  Peränne (Ähtäri)",46155,45961,48755,51450,52011
"63780  Alastaipale (Ähtäri)",39644,36730,39864,38096,41808
"63800  Soini Keskus (Soini)",36504,38555,40068,41307,43057
"63830  Keisala (Soini)",...,...,...,...,...
"63880  Kukonkylä (Soini)",31400,34239,36113,37454,38437
"63890  Hautakylä (Soini)",41986,45530,45895,49490,49273
"63900  Myllymäki-Vehunkylä (Ähtäri)",38470,38911,42917,41573,44567
"63910  Inhan Tehtaat (Ähtäri)",42667,43768,44844,46198,48536
"63920  Inha (Ähtäri)",43713,46398,47771,49983,54467
"63950  Vehunkylä (Ähtäri)",...,...,...,...,...
"64100  Kristiinankaupunki keskus (Kristinestad)",38302,38981,41031,42299,43740
"64140  Tiukka (Kristinestad)",42996,44512,47234,48530,48376
"64200  Närpiö Keskus (Närpes)",39552,41133,42940,44304,46161
"64210  Kalax (Närpes)",50987,53039,56180,58104,58353
"64220  Yttermark (Närpes)",45005,46959,47954,50384,51853
"64230  Närpiön Asemanseutu (Närpes)",50689,50752,52779,55444,56651
"64240  Böle (Närpes)",53329,54880,57512,59542,62259
"64250  Pjelax (Närpes)",52742,59054,59491,61602,60611
"64260  Kaskinen (Kaskinen)",37635,38873,39521,41233,43634
"64300  Lapväärtti (Kristinestad)",41605,42997,43618,44649,47021
"64320  Dagsmark (Kristinestad)",43243,43593,44204,46921,47615
"64350  Karijoki Keskus (Karijoki)",35314,36598,38166,39324,41454
"64370  Myrkky (Karijoki)",35203,37576,38490,40540,39070
"64440  Metsälä-Kallträsk (Kristinestad)",47491,50056,52246,57669,60882
"64450  Kallträsk (Kristinestad)",...,...,...,...,...
"64460  Härkmeri (Kristinestad)",39824,43075,43800,47917,51250
"64480  Skaftung (Kristinestad)",37714,41368,44456,47084,48040
"64490  Siipyy (Kristinestad)",29714,29760,29245,32593,37424
"64510  Nämpnäs (Närpes)",46309,49441,50916,52598,55993
"64530  Norrnäs (Närpes)",41727,43663,43539,47899,51796
"64550  Rangsby (Närpes)",41927,44648,46690,46809,51955
"64610  Övermark (Närpes)",40607,42328,44813,46374,46725
"64700  Teuva Keskus (Teuva)",36712,38637,39797,41841,42928
"64720  Perälä (Teuva)",39120,41007,42246,42676,45053
"64740  Horo (Teuva)",49712,47370,48719,52171,51681
"64760  Peltola (Teuva)",38036,38893,41477,42489,43275
"64770  Äystö (Teuva)",41388,44007,43928,46848,47729
"64810  Vanhakylä (Isojoki)",37592,41059,45777,46792,48871
"64820  Kärjenkoski (Isojoki)",39434,39789,42693,43595,46865
