"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"02110  Otsolahti (Espoo)",994,1009,990,1017,1033
"02120  Länsikorkee-Suvikumpu (Espoo)",1014,1038,1041,1103,1113
"02130  Pohjois-Tapiola (Espoo)",2115,2226,2276,2358,2395
"02140  Laajalahti (Espoo)",994,988,1024,1041,1040
"02150  Otaniemi (Espoo)",731,788,834,954,933
"02160  Westend (Espoo)",1070,1110,1121,1165,1171
"02170  Haukilahti (Espoo)",1705,1709,1709,1787,1818
"02180  Mankkaa (Espoo)",2237,2267,2292,2345,2405
"02200  Niittykumpu (Espoo)",2702,2860,3071,3437,3677
"02210  Olari (Espoo)",2491,2477,2516,2701,2780
"02230  Matinkylä (Espoo)",4282,4333,4390,4664,4728
"02240  Friisilä (Espoo)",722,737,784,844,868
"02250  Henttaa (Espoo)",713,774,821,912,1001
"02260  Kaitaa (Espoo)",687,700,698,738,785
"02270  Finnoo-Eestinmalmi (Espoo)",493,523,604,667,820
"02280  Malminmäki-Eestinlaakso (Espoo)",690,734,772,808,841
"02300  Nöykkiönpuro (Espoo)",607,624,624,625,645
"02320  Espoonlahti (Espoo)",2398,2411,2470,2652,2731
"02330  Saunalahti-Kattilalaakso (Espoo)",2159,2229,2319,2422,2482
"02340  Latokaski (Espoo)",826,850,868,921,936
"02360  Soukka (Espoo)",1793,1845,1898,1960,1990
"02380  Suvisaaristo (Espoo)",161,165,165,173,173
"02390  Sarvvik (Kirkkonummi)",119,151,172,188,218
"02400  Kirkkonummi Keskus (Kirkkonummi)",1466,1493,1497,1567,1584
"02410  Gesterby (Kirkkonummi)",108,120,124,133,132
"02420  Jorvas (Kirkkonummi)",314,317,321,333,340
"02430  Masala (Kirkkonummi)",443,453,471,501,538
"02440  Luoma (Kirkkonummi)",121,122,118,123,117
"02450  Sundsberg (Kirkkonummi)",513,563,579,628,654
"02460  Kantvik (Kirkkonummi)",255,262,272,273,271
"02470  Upinniemi (Kirkkonummi)",11,13,13,15,17
"02480  Porkkala (Kirkkonummi)",729,783,797,819,834
"02490  Pikkala (Siuntio)",31,33,32,32,32
"02510  Oitmäki (Kirkkonummi)",59,66,69,75,69
"02520  Lapinkylä (Kirkkonummi)",91,87,95,92,96
"02540  Kylmälä (Kirkkonummi)",61,60,62,70,70
