"12ez -- 2. Educational structure, 2010-2024"

"Postal code area","Academic degree - Higher university level degree (KO) 2020","Academic degree - Higher university level degree (KO) 2021","Academic degree - Higher university level degree (KO) 2022","Academic degree - Higher university level degree (KO) 2023","Academic degree - Higher university level degree (KO) 2024"
"31810  Oriniemi (Punkalaidun)",14,16,16,16,17
"31830  Halkivaha (Urjala)",3,4,4,4,6
"31850  Koskioinen (Punkalaidun)",2,2,2,3,3
"31860  Tursa (Urjala)",11,11,12,12,12
"31900  Punkalaidun Keskus (Punkalaidun)",60,58,58,60,62
"31930  Vanttila (Punkalaidun)",3,4,5,4,4
"31950  Sadonmaa (Punkalaidun)",6,6,6,6,6
"31960  Orisuo (Loimaa)",3,3,3,3,3
"31970  Kanteenmaa (Punkalaidun)",8,8,6,5,6
"32100  Ypäjä Keskus (Ypäjä)",75,80,75,75,82
"32140  Ypäjä Asemanseutu (Ypäjä)",7,7,7,7,7
"32200  Loimaa Keskus (Loimaa)",379,378,383,393,412
"32210  Loimaa kk (Loimaa)",86,86,88,100,94
"32250  Kojonkulma (Loimaa)",8,9,10,10,11
"32260  Kojonperä (Loimaa)",2,3,3,5,7
"32270  Metsämaa-Murto (Loimaa)",19,19,20,22,21
"32280  Metsäkorpi (Loimaa)",7,7,7,8,7
"32300  Mellilä (Loimaa)",43,41,38,40,45
"32410  Niinijoki (Loimaa)",39,42,44,45,46
"32430  Ylhäinen (Loimaa)",3,3,3,3,3
"32440  Alastaro Keskus (Loimaa)",56,57,57,61,61
"32450  Tammiainen (Loimaa)",12,12,11,12,12
"32500  Oripää Keskus (Oripää)",39,44,46,48,48
"32520  Latva (Oripää)",7,6,6,6,6
"32560  Virttaa (Loimaa)",14,15,14,14,14
"32610  Vampula Keskus (Huittinen)",28,30,28,29,30
"32620  Rutava (Huittinen)",7,9,8,8,8
"32700  Huittinen Keskus (Huittinen)",323,327,341,355,362
"32710  Sampu (Huittinen)",26,27,27,28,27
"32730  Keikyä (Sastamala)",34,34,39,42,45
"32740  Pehula (Sastamala)",52,56,58,58,59
"32760  Suttila (Huittinen)",8,8,10,10,10
"32770  Huhtamo (Huittinen)",10,11,10,9,8
"32800  Kokemäki Keskus (Kokemäki)",177,177,177,183,180
"32810  Peipohja (Kokemäki)",61,58,59,59,63
"32830  Riste (Kokemäki)",6,6,9,11,9
"32860  Korkeaoja (Kokemäki)",7,7,7,7,7
"32910  Kauvatsa Asemanseutu (Kokemäki)",5,5,5,7,7
"32920  Kauvatsa (Kokemäki)",19,19,20,22,23
"33100  Tampere Keskus (Tampere)",3173,3267,3338,3402,3571
"33180  Lapinniemi-Käpylä (Tampere)",576,617,737,850,916
"33200  Tampere Keskus Läntinen (Tampere)",1246,1222,1255,1313,1352
"33210  Itä-Amuri-Tammerkoski (Tampere)",990,1039,1044,1179,1231
"33230  Länsi-Amuri (Tampere)",1337,1349,1388,1448,1468
"33240  Tahmela (Tampere)",415,439,450,467,473
"33250  Pispala (Tampere)",507,506,552,623,637
"33270  Epilä (Tampere)",959,1013,1006,1055,1081
"33300  Rahola (Tampere)",655,667,693,699,724
"33310  Tesoma (Tampere)",428,439,470,494,512
"33330  Myllypuro-Kalkku (Tampere)",227,236,251,247,242
"33340  Haukiluoma-Ikuri (Tampere)",508,548,557,578,592
"33400  Luoteis-Tampere (Tampere)",1043,1153,1236,1298,1355
"33410  Lentävänniemi (Tampere)",441,465,481,484,520
"33420  Lamminpää (Tampere)",260,274,270,284,311
"33430  Vuorentausta (Ylöjärvi)",243,246,268,278,285
"33450  Siivikkala (Ylöjärvi)",319,332,346,389,407
"33470  Ylöjärvi Keskus (Ylöjärvi)",436,475,502,514,522
"33480  Manninmäki-Haavisto (Ylöjärvi)",767,797,802,835,885
"33500  Osmonmäki-Petsamo (Tampere)",2006,2069,2107,2187,2340
"33520  Keskussairaala-alue-Kauppi (Tampere)",179,209,214,219,211
"33530  Kissanmaa (Tampere)",654,697,721,788,822
"33540  Kaleva (Tampere)",1425,1547,1670,1793,1899
"33560  Takahuhti (Tampere)",1366,1451,1509,1611,1649
"33580  Atala-Linnainmaa (Tampere)",1789,1848,1924,1947,1986
"33610  Olkahinen-Tasanne (Tampere)",511,550,568,598,621
"33680  Aitolahti (Tampere)",155,164,174,174,180
"33700  Messukylä (Tampere)",363,368,391,399,411
"33710  Kaukajärvi (Tampere)",2163,2226,2256,2392,2463
"33720  Hervanta (Tampere)",2744,2777,2852,3304,3513
"33730  Leinola-Vehmainen (Tampere)",308,308,314,322,353
"33800  Nekala (Tampere)",749,801,805,824,858
"33820  Koivistonkylä (Tampere)",1451,1478,1540,1608,1676
"33840  Peltolammi (Tampere)",233,248,246,264,280
"33850  Multisilta (Tampere)",125,130,128,118,139
"33870  Vuores (Tampere)",998,1176,1282,1335,1398
"33880  Höytämö (Lempäälä)",433,443,452,465,468
"33900  Härmälä-Rantaperkiö (Tampere)",1523,1613,1681,1810,1931
"33920  Toivio (Pirkkala)",200,207,215,223,230
"33950  Killo (Pirkkala)",867,919,959,1012,1064
"33960  Suuppa (Pirkkala)",1427,1514,1607,1688,1775
"33980  Pirkkala kk (Pirkkala)",156,164,177,176,182
"34110  Lakiala (Ylöjärvi)",98,97,103,108,109
"34130  Ylinen (Ylöjärvi)",105,112,111,113,123
"34140  Mutala (Ylöjärvi)",41,43,44,47,50
"34150  Kyrönlahti (Ylöjärvi)",11,12,12,13,15
"34180  Länsi-Teisko (Ylöjärvi)",13,13,13,13,13
"34240  Kämmenteisko (Tampere)",133,136,145,153,158
"34260  Terälahti (Tampere)",75,77,82,79,82
"34270  Velaatta (Tampere)",16,17,15,15,14
"34300  Kuru Keskus (Ylöjärvi)",56,62,64,64,65
"34320  Parkkuu (Ylöjärvi)",12,11,11,10,11
"34330  Poikelus (Ylöjärvi)",9,8,8,8,9
"34410  Murole (Ruovesi)",10,9,9,7,8
"34420  Muroleen Kanava (Ruovesi)",1,0,1,1,1
"34430  Kekkonen (Ruovesi)",6,5,6,7,7
"34450  Jäminkipohja (Ruovesi)",6,8,8,8,7
"34510  Luode (Ylöjärvi)",2,2,2,3,4
"34530  Länsi-Aure (Ylöjärvi)",3,2,2,2,1
"34550  Itä-Aure (Ylöjärvi)",4,5,5,5,5
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",93,99,105,110,111
"34640  Mustajärvi (Ruovesi)",10,11,12,12,10
"34710  Vaskivesi (Virrat)",17,18,18,20,21
"34730  Vaskuu (Virrat)",1,2,2,2,3
"34740  Koro (Virrat)",0,0,2,2,2
"34770  Kurjenkylä (Virrat)",5,5,4,7,7
"34800  Virrat Keskus (Virrat)",180,182,184,184,184
"34870  Visuvesi (Ruovesi)",15,20,19,19,18
"34910  Äijänneva (Virrat)",1,1,1,1,1
"34930  Liedenpohja (Virrat)",9,10,10,10,10
"34950  Ohtola (Virrat)",8,8,8,8,8
"34970  Toisvesi (Virrat)",4,4,4,4,3
"34980  Killinkoski (Virrat)",6,6,7,5,5
"35100  Orivesi Asemanseutu (Orivesi)",168,178,188,189,195
"35220  Eräjärvi (Orivesi)",22,23,22,24,25
"35240  Ristakallio (Orivesi)",5,7,7,6,6
"35260  Leväslahti (Orivesi)",...,...,...,...,...
"35270  Västilä (Orivesi)",12,12,11,12,13
"35300  Orivesi Keskus (Orivesi)",259,274,291,304,306
"35320  Hirsilä (Orivesi)",14,14,14,17,20
"35400  Länkipohja (Jämsä)",44,49,49,48,45
"35420  Talviainen (Orivesi)",7,7,7,8,9
"35480  Längelmäki (Orivesi)",4,4,5,4,4
"35500  Korkeakoski (Juupajoki)",23,25,29,35,36
"35520  Pirttikangas (Juupajoki)",3,5,4,3,3
"35530  Lyly (Juupajoki)",14,16,15,15,15
"35540  Juupajoki (Juupajoki)",22,22,23,25,26
"35550  Salokunta (Juupajoki)",8,8,10,9,9
"35600  Halli (Jämsä)",57,63,63,58,63
"35610  Pihlaisto (Jämsä)",1,2,2,2,2
"35630  Suinula-Valkamanperä (Jämsä)",10,10,10,10,9
"35700  Vilppula Keskus (Mänttä-Vilppula)",90,89,91,90,101
"35740  Ylä-Vääri (Ruovesi)",9,10,10,12,15
"35750  Väärinmaja (Ruovesi)",10,11,9,9,10
"35800  Mänttä (Mänttä-Vilppula)",141,144,143,152,155
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",68,66,65,68,72
"35990  Kolho (Mänttä-Vilppula)",22,21,20,21,21
"36100  Kangasala Asemanseutu (Kangasala)",190,203,213,219,226
"36110  Ruutana (Kangasala)",367,391,420,435,448
"36120  Suinula-Haviseva (Kangasala)",86,89,88,98,100
"36200  Kangasala Keskus (Kangasala)",1174,1222,1276,1330,1368
"36220  Suorama (Kangasala)",383,414,422,433,457
"36240  Vatiala (Kangasala)",582,637,679,740,806
"36270  Huutijärvi (Kangasala)",168,173,175,188,198
"36280  Pikonlinna (Kangasala)",37,40,45,50,50
"36340  Tohkala (Kangasala)",23,24,26,26,26
"36420  Sahalahti Keskus (Kangasala)",80,76,83,92,92
"36430  Pakkala (Kangasala)",22,23,22,23,21
"36450  Salmentaka (Pälkäne)",10,9,10,10,13
"36520  Raikku (Kangasala)",25,27,28,27,28
"36570  Kaivanto (Kangasala)",35,36,37,39,41
"36600  Pälkäne Keskus (Pälkäne)",217,224,237,235,231
"36640  Iltasmäki (Pälkäne)",22,21,24,24,21
"36660  Laitikkala (Pälkäne)",17,18,19,18,18
"36720  Aitoo (Pälkäne)",30,35,34,35,35
"36760  Luopioinen Keskus (Pälkäne)",49,50,50,51,51
"36810  Kuhmalahti Keskus (Kangasala)",23,23,24,26,27
"36840  Kuhmajärvi (Kangasala)",8,8,7,8,8
"36880  Vehkajärvi (Kangasala)",5,5,5,5,5
"36910  Rautajärvi (Pälkäne)",16,16,17,17,18
"36930  Kyynärö (Pälkäne)",5,5,5,5,5
"37100  Nokia Keskus (Nokia)",397,445,462,502,513
"37120  Koskenmäki (Nokia)",883,921,927,961,1001
"37130  Alhoniitty (Nokia)",342,355,395,414,442
"37140  Harjuniitty (Nokia)",341,377,430,459,497
"37150  Kankaantaka (Nokia)",319,329,336,344,352
"37180  Sarkola (Nokia)",29,29,29,33,34
"37200  Siuro (Nokia)",164,170,173,179,188
"37210  Kulovesi (Nokia)",...,...,...,...,...
"37240  Linnavuori (Nokia)",30,32,34,34,35
"37310  Tottijärvi (Nokia)",67,71,71,70,71
"37350  Rämsöö (Vesilahti)",8,7,7,7,6
"37370  Narva (Vesilahti)",68,74,82,83,86
"37380  Krääkkiö (Vesilahti)",2,3,4,4,4
"37420  Valkkinen (Vesilahti)",71,75,76,83,84
"37470  Vesilahti Keskus (Vesilahti)",237,261,281,284,285
"37500  Lempäälä Keskus (Lempäälä)",886,942,1007,1053,1098
"37530  Säijä (Lempäälä)",52,54,55,58,62
"37550  Kuivaspää (Lempäälä)",660,700,724,751,795
"37560  Kulju (Lempäälä)",637,657,674,681,688
"37570  Koivuniemi (Lempäälä)",56,58,61,61,69
"37600  Valkeakoski Keskus (Valkeakoski)",472,497,510,529,558
"37630  Vääräkoivu (Valkeakoski)",481,503,529,552,560
"37700  Sääksmäki (Valkeakoski)",39,41,42,43,42
"37720  Ritvala (Valkeakoski)",13,11,13,13,12
"37740  Haukila (Valkeakoski)",12,10,11,11,11
"37770  Tarttila (Valkeakoski)",22,21,21,20,21
"37800  Toijala keskus (Akaa)",617,652,685,715,752
"37830  Viiala Keskus (Akaa)",302,320,327,340,348
"37850  Metsäkansa (Valkeakoski)",21,19,20,22,22
"37860  Kärjenniemi (Valkeakoski)",48,58,64,67,72
"37900  Kylmäkoski Asemanseutu (Akaa)",12,12,15,12,11
"37910  Kylmäkoski Keskus (Akaa)",67,70,75,73,73
"37960  Sotkia (Akaa)",8,9,12,14,13
"38100  Karkku (Sastamala)",69,73,80,82,86
"38120  Kutala (Sastamala)",15,17,21,23,25
"38130  Ellivuori (Sastamala)",...,...,...,...,...
"38140  Kärppälä (Sastamala)",16,16,17,18,24
"38200  Vammala Keskus (Sastamala)",347,353,359,362,370
"38210  Vammala Asemanseutu (Sastamala)",182,189,192,214,213
"38220  Stormi (Sastamala)",37,34,37,37,40
"38250  Roismala (Sastamala)",58,58,62,67,65
"38270  Sammaljoki (Sastamala)",10,11,11,13,13
"38280  Illo (Sastamala)",16,16,18,20,21
"38300  Kiikka (Sastamala)",65,66,68,72,73
"38360  Kiikoinen (Sastamala)",54,56,57,58,60
"38420  Häijää (Sastamala)",51,54,60,64,63
"38460  Mouhijärvi Keskus (Sastamala)",84,86,87,86,87
"38470  Hyynilä (Sastamala)",6,6,5,8,10
"38490  Haukijärvi (Hämeenkyrö)",5,5,6,4,3
"38510  Suodenniemi (Sastamala)",35,37,35,37,37
"38600  Lavia Keskus (Pori)",59,58,63,61,62
"38650  Yli-Putto (Pori)",4,5,5,5,5
"38670  Kalliala-Haunia (Pori)",9,10,10,10,10
"38680  Tuunajärvi (Pomarkku)",3,3,2,2,2
"38700  Kankaanpää Keskus (Kankaanpää)",340,346,356,361,372
"38710  Myllymäki (Kankaanpää)",47,46,49,52,57
"38720  Vihteljärvi (Kankaanpää)",15,17,17,16,18
"38740  Hapuoja (Kankaanpää)",14,13,12,12,13
"38750  Veneskoski (Kankaanpää)",8,7,7,9,12
"38760  Venesjärvi (Kankaanpää)",13,12,12,13,13
"38770  Lohikko (Kankaanpää)",17,20,22,22,22
"38800  Jämijärvi Keskus (Jämijärvi)",42,47,49,54,54
"38840  Niinisalo (Kankaanpää)",27,25,25,25,26
"38860  Suurimaa (Jämijärvi)",3,3,4,4,5
"38910  Ala-Honkajoki (Kankaanpää)",9,12,12,12,14
"38920  Vatajankoski (Kankaanpää)",7,7,7,8,6
"38950  Honkajoki Keskus (Kankaanpää)",40,39,39,43,46
"38970  Lauhala (Kankaanpää)",5,5,5,7,8
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",168,171,180,176,185
"39110  Simuna (Hämeenkyrö)",16,19,19,21,18
"39130  Sasi (Hämeenkyrö)",57,61,66,74,79
"39150  Pinsiö (Hämeenkyrö)",60,62,63,61,63
"39160  Julkujärvi (Ylöjärvi)",301,320,344,380,399
"39170  Jumesniemi (Hämeenkyrö)",12,14,15,15,15
"39180  Herttuala (Hämeenkyrö)",7,9,9,6,4
"39195  Kaipio (Hämeenkyrö)",1,1,1,1,2
"39200  Kyröskoski (Hämeenkyrö)",176,177,185,190,200
"39230  Osara (Hämeenkyrö)",2,2,2,3,3
"39290  Vesajärvi (Hämeenkyrö)",7,5,6,7,6
"39310  Viljakkala Keskus (Ylöjärvi)",38,40,42,45,45
"39340  Karhe (Ylöjärvi)",20,20,20,19,20
"39360  Komi (Ylöjärvi)",14,14,15,14,15
"39380  Lavajärvi (Hämeenkyrö)",7,8,8,9,10
"39410  Luhalahti (Ikaalinen)",6,4,10,16,15
"39430  Röyhiö (Ikaalinen)",6,6,5,5,6
"39450  Sisättö (Ikaalinen)",5,5,5,5,5
"39500  Ikaalinen Keskus (Ikaalinen)",214,212,218,227,227
"39530  Kilvakkala (Ikaalinen)",38,35,33,32,30
"39580  Riitiala (Ikaalinen)",15,15,15,16,17
"39590  Tevaniemi (Ikaalinen)",8,8,8,9,9
"39610  Kovelahti (Ikaalinen)",11,11,12,13,12
"39620  Kovesjoki (Parkano)",4,4,3,4,3
"39660  Lapinneva (Parkano)",4,5,4,4,4
"39700  Parkano Keskus (Parkano)",170,180,180,179,176
"39750  Vatajanjärvi (Parkano)",3,3,3,4,5
"39770  Aureskoski (Parkano)",1,1,1,1,0
"39780  Alaskylä (Parkano)",6,7,7,7,9
"39810  Linnankylä (Kihniö)",7,8,5,7,7
"39820  Kihniö Keskus (Kihniö)",41,38,38,44,40
"39880  Kihniö Asemanseutu (Kihniö)",2,2,2,3,3
"39920  Suomijärvi (Karvia)",6,6,5,8,9
"39930  Karvia Keskus (Karvia)",28,29,27,31,29
"39940  Kantti (Karvia)",3,4,6,5,5
"39960  Sarvela (Karvia)",6,7,6,6,7
"39965  Karviankylä (Karvia)",3,3,3,3,3
"39980  Sara (Karvia)",3,5,5,6,7
"39990  Alkkia (Karvia)",4,4,4,4,4
"40100  Jyväskylä Keskus (Jyväskylä)",2107,2196,2232,2332,2421
"40200  Mannila-Taulumäki (Jyväskylä)",703,698,716,746,754
"40250  Ritoniemi-Lohikoski (Jyväskylä)",834,836,860,877,892
"40270  Palokka (Jyväskylä)",1261,1354,1420,1466,1531
"40320  Seppälän Teollisuusalue (Jyväskylä)",454,472,480,492,498
"40340  Huhtasuo (Jyväskylä)",253,275,290,305,326
"40400  Halssila (Jyväskylä)",428,424,438,478,481
"40420  Jyskä (Jyväskylä)",479,492,547,554,584
"40500  Keljo-Ristonmaa (Jyväskylä)",483,460,485,532,557
"40520  Kuokkala-Ristikivi (Jyväskylä)",2441,2490,2602,2660,2745
"40530  Keljonkangas (Jyväskylä)",810,870,914,963,983
"40600  Mattilanpelto (Jyväskylä)",417,400,406,415,428
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",41,42,39,53,47
"40630  Kypärämäki (Jyväskylä)",574,579,581,603,605
"40640  Keltinmäki (Jyväskylä)",612,640,641,665,682
"40660  Länsi-Palokka (Jyväskylä)",62,72,87,108,125
"40700  Mäki-Matti (Jyväskylä)",764,775,798,867,890
"40720  Nisula (Jyväskylä)",431,435,463,469,473
"40740  Kortepohja (Jyväskylä)",1237,1274,1290,1354,1407
"40800  Vaajakoski (Jyväskylä)",745,761,786,819,853
"40820  Vuoritsalo (Jyväskylä)",76,79,86,97,100
"40900  Säynätsalo (Jyväskylä)",370,384,384,389,394
"40930  Kinkomaa (Muurame)",204,226,232,246,242
"40950  Muurame Keskus (Muurame)",874,913,923,953,991
"41120  Puuppola (Jyväskylä)",159,174,186,204,216
"41140  Kuikka (Jyväskylä)",38,39,42,51,54
"41160  Tikkakoski (Jyväskylä)",295,307,319,331,335
"41180  Vehniä (Laukaa)",36,36,38,42,43
"41210  Jokihaara (Uurainen)",21,20,21,23,25
"41220  Höytiä (Uurainen)",9,10,10,10,12
"41230  Uurainen Keskus (Uurainen)",81,87,89,92,90
"41240  Kyynämöinen (Uurainen)",9,8,10,9,9
"41260  Hoikankylä (Saarijärvi)",5,6,6,5,5
"41270  Lannevesi (Saarijärvi)",32,32,34,34,37
"41290  Kangashäkki (Uurainen)",32,36,34,33,39
"41310  Leppävesi (Laukaa)",203,208,218,230,243
"41325  Laukkavirta (Laukaa)",15,16,19,18,19
"41330  Vihtavuori (Laukaa)",185,193,202,207,209
"41340  Laukaa Keskus (Laukaa)",452,465,484,495,511
"41350  Laukaa Asemanseutu (Laukaa)",39,40,42,43,39
"41360  Valkola (Laukaa)",17,17,19,19,20
"41370  Kuusa (Laukaa)",69,70,71,70,70
"41390  Äijälä (Laukaa)",15,14,13,13,15
"41400  Lievestuore (Laukaa)",127,134,134,139,148
"41410  Kankainen (Toivakka)",9,9,8,8,8
"41440  Ruuhimäki (Toivakka)",11,11,13,12,12
"41450  Leppälahti (Jyväskylä)",46,47,51,52,55
"41490  Niemisjärvi (Hankasalmi)",29,32,31,30,29
"41500  Hankasalmi Asemanseutu (Hankasalmi)",45,46,43,45,41
"41520  Hankasalmi Keskus (Hankasalmi)",87,94,98,101,104
"41530  Veneranta (Hankasalmi)",4,4,4,4,4
"41540  Ristimäki (Hankasalmi)",8,8,9,9,7
"41550  Hannula (Hankasalmi)",6,6,7,10,11
"41560  Säkinmäki (Hankasalmi)",5,5,7,7,7
"41580  Sauvamäki (Hankasalmi)",5,5,7,6,6
"41630  Oravasaari (Jyväskylä)",31,30,33,34,34
"41660  Toivakka Keskus (Toivakka)",92,92,94,93,92
"41710  Rutalahti-Kivisuo (Jyväskylä)",9,7,8,8,11
"41730  Kivisuo (Joutsa)",...,...,...,...,...
"41750  Havumäki (Joutsa)",4,5,5,5,5
"41770  Leivonmäki (Joutsa)",16,18,18,18,18
"41800  Korpilahti Keskus (Jyväskylä)",233,240,258,260,273
"41820  Saakoski (Jyväskylä)",17,17,20,18,18
"41840  Moksi (Jyväskylä)",6,5,4,3,3
"41860  Rannila (Jyväskylä)",27,31,36,35,37
"41870  Putkilahti (Jyväskylä)",9,10,10,11,11
"41880  Oittila (Jyväskylä)",8,11,10,11,12
"41900  Petäjävesi Keskus (Petäjävesi)",141,146,148,151,159
"41920  Kintaus (Petäjävesi)",55,59,62,66,66
"41925  Ylä-Kintaus (Petäjävesi)",4,6,6,6,7
"41930  Kuohu (Jyväskylä)",54,58,56,57,54
"41940  Vesanka (Jyväskylä)",98,103,105,109,113
"41970  Huttula (Keuruu)",1,1,1,1,1
"41980  Kuivasmäki (Petäjävesi)",11,11,12,13,13
"42100  Jämsä Keskus (Jämsä)",462,472,489,502,498
"42140  Juokslahti (Jämsä)",14,14,16,20,21
"42220  Kaipola (Jämsä)",35,36,32,33,33
"42300  Jämsänkoski Keskus (Jämsä)",177,183,186,189,197
"42330  Haavisto (Jämsä)",19,18,19,19,19
"42440  Koskenpää (Jämsä)",15,19,17,17,18
"42520  Asunta (Keuruu)",11,11,11,11,11
"42560  Pohjoisjärvi (Keuruu)",12,12,12,12,14
"42600  Multia Keskus-Väätäiskylä (Multia)",45,46,48,48,51
"42660  Sahrajärvi (Multia)",1,1,1,1,1
"42700  Keuruu Keskus (Keuruu)",342,350,369,374,374
"42800  Haapamäki (Keuruu)",22,22,23,29,34
"42820  Riiho (Keuruu)",6,7,7,7,7
"42830  Ylä-Kolkki (Mänttä-Vilppula)",0,1,1,1,1
"42840  Kolkki (Mänttä-Vilppula)",6,6,6,8,8
"42850  Pohjaslahti (Mänttä-Vilppula)",8,9,10,10,10
"42870  Kotala (Virrat)",13,12,13,14,16
"42910  Pihlajavesi (Keuruu)",6,6,6,7,6
"42930  Katajamäki (Keuruu)",3,3,3,4,4
"43100  Saarijärvi Keskus (Saarijärvi)",256,253,256,255,264
"43130  Tarvaala (Saarijärvi)",23,26,24,23,24
"43170  Häkkilä (Saarijärvi)",0,1,1,1,2
"43220  Mahlu (Saarijärvi)",11,11,11,10,10
"43240  Lehtola (Saarijärvi)",6,6,6,6,6
"43250  Kolkanlahti (Saarijärvi)",14,14,15,15,16
"43270  Kalmari (Saarijärvi)",12,15,16,18,21
"43300  Kannonkoski Keskus (Kannonkoski)",36,36,37,40,39
"43340  Kannonjärvi (Kannonkoski)",2,2,2,2,2
"43390  Lokakylä (Kivijärvi)",4,4,3,3,4
"43420  Kukko (Saarijärvi)",1,1,1,1,1
"43430  Väätäiskylä (Multia)",...,...,...,...,...
"43440  Pylkönmäki Keskus (Saarijärvi)",11,13,12,12,12
"43480  Pääjärvi (Saarijärvi)",1,0,0,0,0
"43490  Kangasaho (Karstula)",2,2,4,4,3
"43500  Karstula Keskus (Karstula)",100,102,107,115,117
"43520  Kiminki (Karstula)",5,5,4,4,4
"43540  Rantakylä-Pirttilahti (Karstula)",2,2,1,1,1
"43560  Vahanka (Karstula)",1,2,2,2,2
"43610  Aho (Karstula)",2,3,3,2,2
"43640  Humppi (Karstula)",3,3,4,4,4
"43660  Vastinki (Karstula)",7,6,6,7,7
"43700  Kyyjärvi Keskus (Kyyjärvi)",27,28,28,30,30
"43720  Kumpulainen (Kyyjärvi)",2,3,3,2,2
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",14,13,13,11,11
"43840  Sompala (Kivijärvi)",0,0,0,0,0
"43900  Kinnula Keskus (Kinnula)",51,50,50,50,56
"43940  Muhola-Saarensalmi (Kinnula)",4,4,4,4,4
"43960  Saarensalmi (Kinnula)",1,1,1,2,1
"44100  Äänekoski Keskus (Äänekoski)",200,197,204,212,208
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",122,120,126,133,128
"44150  Likolahti-Karhunlähde (Äänekoski)",103,108,114,117,114
"44160  Huutomäki (Äänekoski)",23,22,24,24,26
"44170  Hietama (Äänekoski)",26,25,28,32,32
"44190  Parantala (Äänekoski)",12,16,19,18,18
"44200  Suolahti Keskus (Äänekoski)",120,128,127,123,121
"44220  Sörkänmäki (Äänekoski)",20,20,20,22,20
"44250  Äänekoivisto (Äänekoski)",20,22,22,23,25
"44260  Vihijärvi (Äänekoski)",12,12,12,12,13
"44280  Sumiainen Keskus (Äänekoski)",37,37,38,39,41
"44300  Konnevesi Keskus (Konnevesi)",66,67,68,71,76
"44320  Sirkkamäki (Konnevesi)",6,6,6,6,6
"44330  Hytölä (Konnevesi)",9,11,12,12,12
"44350  Istunmäki (Konnevesi)",5,6,7,8,9
"44370  Mäntymäki (Konnevesi)",3,4,4,4,7
"44400  Konginkangas Keskus (Äänekoski)",17,19,20,19,20
"44420  Liimattala (Äänekoski)",13,12,13,14,14
"44440  Räihä (Äänekoski)",3,3,3,3,3
"44460  Kalaniemi (Äänekoski)",3,3,3,3,3
"44480  Niinilahti (Viitasaari)",8,8,8,8,7
"44500  Viitasaari Keskus (Viitasaari)",168,181,178,163,167
"44530  Ilmolahti (Viitasaari)",10,9,9,10,10
"44580  Huopanankoski (Viitasaari)",7,8,7,6,6
"44590  Vuorilahti (Viitasaari)",4,4,4,4,4
"44610  Kärnä (Viitasaari)",3,3,3,4,4
"44630  Kumpumäki (Viitasaari)",2,2,2,2,2
"44640  Kymönkoski (Viitasaari)",6,8,11,10,10
"44670  Suovanlahti (Viitasaari)",7,6,7,9,9
"44680  Lahnanen (Viitasaari)",2,2,2,2,3
"44730  Löytänä (Viitasaari)",3,3,3,3,3
"44740  Keitelepohja-Kotvala (Viitasaari)",5,5,4,6,4
"44760  Keihärinkoski (Viitasaari)",10,10,10,11,11
"44770  Valkeisjärvi (Viitasaari)",0,...,0,0,0
"44790  Kotvala (Viitasaari)",0,0,0,0,1
"44800  Pihtipudas Keskus (Pihtipudas)",76,80,73,74,76
"44860  Alvajärvi (Pihtipudas)",3,2,2,2,2
"44880  Muurasjärvi (Pihtipudas)",14,17,20,19,21
"44910  Elämäjärvi (Pihtipudas)",1,1,2,2,2
"44920  Peninki (Pihtipudas)",2,2,2,1,2
"44950  Kärväsjärvi (Pihtipudas)",7,8,8,8,8
"44970  Korppinen (Pihtipudas)",2,2,2,2,2
"45100  Kouvola Keskus (Kouvola)",772,778,785,788,806
"45120  Kotkankallio-Vahteronmäki (Kouvola)",355,361,370,377,390
"45130  Korjala-Kaunisnurmi (Kouvola)",107,106,109,114,123
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",242,251,245,254,254
"45160  Lehtomäki (Kouvola)",300,322,315,337,350
"45200  Tornionmäki (Kouvola)",346,368,366,360,363
"45330  Harju (Kouvola)",19,19,16,15,16
"45360  Kukkuramäki (Kouvola)",272,274,284,294,301
"45370  Valkeala kk (Kouvola)",184,192,195,200,212
"45410  Utti (Kouvola)",34,35,35,39,39
"45460  Savero (Kouvola)",7,8,8,6,6
"45610  Koria (Kouvola)",195,200,200,212,214
"45700  Kuusankoski Keskus (Kouvola)",441,447,474,486,484
"45720  Kotiharju-Puhjonmäki (Kouvola)",153,156,153,156,160
"45740  Maunuksela (Kouvola)",138,137,140,148,154
"45750  Kuusankosken Sairaala-alue (Kouvola)",3,3,1,2,1
"45810  Pilkanmaa (Kouvola)",47,44,43,44,47
"45910  Voikkaa (Kouvola)",56,56,62,67,66
"45940  Oravala (Kouvola)",14,16,16,14,16
"46110  Tuohikotti (Kouvola)",7,7,8,10,8
"46140  Vekaranjärvi (Kouvola)",10,9,9,8,9
"46230  Aro (Kouvola)",13,15,14,17,18
"46400  Kaipiainen (Kouvola)",13,13,15,15,14
"46430  Tirva-Inkerilä (Kouvola)",13,15,18,17,18
"46450  Enäjärvi (Kouvola)",4,4,4,4,6
"46530  Kannuskoski (Luumäki)",5,4,4,4,4
"46570  Saaramaa (Kouvola)",0,1,1,2,2
