"12f6 -- 8. Main type of activity, 2010-2024"

"Postal code area","2020 Unemployed (PT)","2021 Unemployed (PT)","2022 Unemployed (PT)","2023 Unemployed (PT)","2024 Unemployed (PT)"
"02320  Espoonlahti (Espoo)",1203,975,920,1018,1131
"02330  Saunalahti-Kattilalaakso (Espoo)",648,549,495,623,673
"02340  Latokaski (Espoo)",221,148,121,158,169
"02360  Soukka (Espoo)",589,491,409,472,528
"02380  Suvisaaristo (Espoo)",19,17,10,12,18
"02390  Sarvvik (Kirkkonummi)",44,39,39,47,71
"02400  Kirkkonummi Keskus (Kirkkonummi)",668,476,447,555,604
"02410  Gesterby (Kirkkonummi)",202,188,177,201,225
"02420  Jorvas (Kirkkonummi)",59,41,36,49,61
"02430  Masala (Kirkkonummi)",337,218,264,318,401
"02440  Luoma (Kirkkonummi)",27,20,15,12,12
"02450  Sundsberg (Kirkkonummi)",55,19,23,31,36
"02460  Kantvik (Kirkkonummi)",113,70,60,72,96
"02470  Upinniemi (Kirkkonummi)",16,16,8,12,12
"02480  Porkkala (Kirkkonummi)",182,117,120,148,175
"02490  Pikkala (Siuntio)",21,9,15,18,12
"02510  Oitmäki (Kirkkonummi)",22,15,9,13,12
"02520  Lapinkylä (Kirkkonummi)",36,23,11,19,25
"02540  Kylmälä (Kirkkonummi)",31,22,22,23,25
"02550  Evitskog (Kirkkonummi)",40,23,23,30,31
"02570  Siuntio Kirkonkylä (Siuntio)",60,49,40,51,55
"02580  Siuntio Asemanseutu (Siuntio)",172,104,105,116,116
"02590  Lappers (Siuntio)",8,1,3,4,3
"02600  Etelä-Leppävaara (Espoo)",978,834,818,1009,1174
"02610  Kilo (Espoo)",468,387,391,434,478
"02620  Karakallio (Espoo)",481,385,385,406,497
"02630  Nihtisilta (Espoo)",215,159,181,193,276
"02650  Pohjois-Leppävaara (Espoo)",747,608,613,650,728
"02660  Lintuvaara (Espoo)",296,238,198,214,251
"02680  Uusmäki (Espoo)",138,111,97,122,143
"02700  Kauniainen (Kauniainen)",404,281,268,276,341
"02710  Viherlaakso (Espoo)",385,316,272,297,316
"02720  Lähderanta (Espoo)",145,105,95,114,132
"02730  Jupperi (Espoo)",159,113,91,115,116
"02740  Bemböle-Pakankylä (Espoo)",167,130,112,151,145
"02750  Sepänkylä-Kuurinniitty (Espoo)",411,289,285,325,363
"02760  Tuomarila-Suvela (Espoo)",1065,822,871,981,1140
"02770  Espoon Keskus (Espoo)",867,755,707,805,943
"02780  Kauklahti (Espoo)",665,555,499,561,633
"02810  Gumböle-Karhusuo (Espoo)",77,62,47,54,69
"02820  Nupuri-Nuuksio (Espoo)",78,53,46,44,48
"02860  Siikajärvi (Espoo)",31,23,17,25,25
"02880  Veikkola (Kirkkonummi)",205,129,101,140,176
"02920  Niipperi (Espoo)",268,195,172,235,218
"02940  Lippajärvi-Järvenperä (Espoo)",592,461,403,460,543
"02970  Kalajärvi (Espoo)",184,134,127,123,128
"02980  Lakisto (Espoo)",30,14,13,16,12
"03100  Nummela (Vihti)",828,612,609,667,751
"03150  Huhmari (Vihti)",31,22,29,33,35
"03220  Tervalampi (Vihti)",27,19,12,21,26
"03250  Ojakkala (Vihti)",76,53,53,71,70
"03300  Otalampi (Vihti)",107,83,77,84,89
"03320  Selki (Vihti)",22,18,10,13,22
"03400  Vihti Kirkonkylä (Vihti)",337,230,229,251,267
"03430  Jokikunta (Vihti)",22,16,18,23,27
"03600  Karkkila Keskus (Karkkila)",356,279,267,365,356
"03620  Polari (Karkkila)",132,114,103,131,133
"03710  Uusitalo (Karkkila)",8,9,12,10,10
"03790  Vihtijärvi (Vihti)",19,14,21,23,20
"03810  Ikkala (Lohja)",34,27,25,30,29
"03850  Pusula (Lohja)",80,67,72,87,78
"03870  Hyönölä (Lohja)",12,6,6,6,8
"04130  Sipoo (Sipoo)",451,349,294,310,341
"04150  Martinkylä (Sipoo)",33,27,25,20,25
"04170  Paippinen (Sipoo)",44,27,26,28,47
"04200  Kerava Keskus (Kerava)",813,664,566,724,774
"04220  Ahjo-Kaskela (Kerava)",365,307,242,289,322
"04230  Pihkaniitty (Kerava)",376,283,254,286,300
"04240  Talma (Sipoo)",48,35,31,37,37
"04250  Alikerava (Kerava)",417,395,361,444,511
"04260  Savio (Kerava)",431,371,312,403,421
"04300  Hyrylä (Tuusula)",562,446,428,583,691
"04310  Tuusula Kirkonkylä (Tuusula)",96,55,62,81,81
"04320  Riihikallio (Tuusula)",258,176,141,213,209
"04330  Lahela (Tuusula)",109,62,51,80,97
"04340  Mattila (Tuusula)",115,75,68,94,115
"04350  Nahkela (Tuusula)",23,16,11,13,14
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",67,38,34,47,57
"04370  Rusutjärvi (Tuusula)",37,26,26,25,19
"04380  Tuomala (Tuusula)",27,18,21,32,35
"04390  Jäniksenlinna (Tuusula)",14,6,10,17,20
"04400  Loutti (Järvenpää)",670,517,527,640,773
"04410  Järvenpää Keskus (Järvenpää)",759,615,652,802,890
"04420  Kyrölä (Järvenpää)",175,113,121,153,158
"04430  Kinnari-Mikonkorpi (Järvenpää)",408,282,266,325,370
"04440  Jamppa (Järvenpää)",415,373,340,365,386
"04460  Nummenkylä (Järvenpää)",102,83,70,104,98
"04480  Haarajoki (Järvenpää)",99,55,54,62,77
"04500  Kellokoski (Tuusula)",282,222,182,216,246
"04530  Ohkola (Mäntsälä)",25,20,23,33,29
"04600  Mäntsälä Keskus (Mäntsälä)",467,377,371,423,461
"04620  Kaunismäki (Mäntsälä)",73,50,58,80,81
"04630  Sääksjärvi (Mäntsälä)",40,33,30,37,39
"04660  Numminen (Mäntsälä)",72,51,42,43,64
"04680  Hirvihaara (Mäntsälä)",31,24,22,29,26
"04740  Sälinkää (Mäntsälä)",47,31,29,41,38
"04770  Sahakylä (Mäntsälä)",10,7,3,10,7
"04820  Kaukalampi (Mäntsälä)",9,10,8,7,10
"04840  Hautjärvi (Mäntsälä)",7,6,10,10,10
"04920  Saarentaus (Mäntsälä)",29,17,19,21,25
"04940  Levanto (Mäntsälä)",13,13,11,9,12
"05100  Röykkä (Nurmijärvi)",135,84,70,104,108
"05200  Rajamäki (Nurmijärvi)",368,252,269,272,299
"05250  Kiljava (Nurmijärvi)",9,1,2,2,4
"05400  Jokela (Tuusula)",374,274,254,285,301
"05430  Nuppulinna (Tuusula)",49,30,24,42,40
"05440  Hyvinkää (Hyvinkää)",49,42,42,49,65
"05450  Nukari (Nurmijärvi)",48,35,35,35,34
"05460  Hakalanmäki-Hakala (Hyvinkää)",177,138,125,144,150
"05470  Palopuro (Hyvinkää)",16,9,12,12,11
"05510  Päivärinta (Hyvinkää)",32,25,26,27,26
"05620  Noppo (Hyvinkää)",58,31,28,39,41
"05720  Kytäjä (Hyvinkää)",22,15,14,19,24
"05800  Hyvinkää Keskus (Hyvinkää)",643,529,482,544,601
"05810  Martti (Hyvinkää)",307,215,219,227,270
"05820  Mustamännistö (Hyvinkää)",329,245,219,238,256
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",402,313,285,304,341
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",202,151,155,198,196
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",0,0,0,0,0
"05860  Talvisilta (Hyvinkää)",101,65,60,72,72
"05880  Paavola-Vaivero (Hyvinkää)",318,262,257,273,311
"05900  Vieremä (Hyvinkää)",236,190,213,206,221
"05950  Ridasjärvi (Hyvinkää)",14,14,8,14,11
"06100  Porvoo Keskus (Porvoo)",1170,904,806,894,947
"06150  Kevätkumpu (Porvoo)",426,386,367,387,420
"06200  Porvoo itäinen (Porvoo)",120,92,80,92,79
"06400  Gammelbacka (Porvoo)",597,523,478,485,496
"06450  Eestinmäki-Ernestas (Porvoo)",115,94,81,79,95
"06500  Saksala-Suomenkylä (Porvoo)",108,82,65,74,75
"06530  Kerkkoo (Porvoo)",28,28,24,29,32
"06650  Hamari (Porvoo)",73,64,53,61,59
"06750  Tolkkinen (Porvoo)",71,53,48,57,69
"06830  Kulloonkylä (Porvoo)",61,40,34,35,43
"06850  Kulloo (Porvoo)",...,...,...,...,...
"06880  Kärrby (Sipoo)",13,11,5,9,10
"06950  Emäsalo (Porvoo)",14,11,15,11,10
"07110  Hinthaara (Porvoo)",63,45,49,57,46
"07130  Anttila (Porvoo)",32,24,25,28,25
"07150  Laukkoski (Pornainen)",43,22,28,36,42
"07170  Keski-Pornainen (Pornainen)",115,80,73,112,116
"07190  Halkia (Pornainen)",67,50,41,50,48
"07220  Kaarenkylä (Porvoo)",6,7,9,8,11
"07230  Monninkylä (Askola)",61,58,48,56,44
"07280  Ilola (Porvoo)",42,33,32,34,44
"07310  Sannainen (Porvoo)",17,15,11,14,17
"07320  Jakari-Sannäs (Porvoo)",24,19,23,21,17
"07350  Gäddrag (Porvoo)",3,3,2,3,1
"07360  Tirmo (Porvoo)",6,3,0,1,0
"07370  Pellinki (Porvoo)",6,6,8,7,5
"07390  Suurpellinki (Porvoo)",4,1,4,1,2
"07410  Kråkö (Porvoo)",10,9,6,7,7
"07450  Voolahti (Porvoo)",16,7,11,10,15
"07500  Askola Kirkonkylä (Askola)",54,47,33,39,37
"07510  Vakkola (Askola)",41,25,21,22,31
"07530  Onkimaa (Askola)",17,14,13,11,15
"07550  Torpinkylä (Pukkila)",17,18,11,10,15
"07560  Pukkila Keskus (Pukkila)",72,68,58,61,61
"07565  Kantele (Pukkila)",13,10,12,12,14
"07580  Tiilää (Askola)",4,2,2,2,2
"07590  Huuvari-Tiilää (Askola)",23,28,21,19,20
"07600  Myrskylä Keskus (Myrskylä)",122,83,78,91,89
"07680  Juornaankylä (Askola)",35,18,20,25,27
"07690  Kankkila (Myrskylä)",7,8,6,5,5
"07700  Koskenkylän saha-alue (Loviisa)",78,51,41,47,53
"07720  Malmgård (Loviisa)",3,2,1,1,1
"07740  Gammelby (Loviisa)",19,12,17,19,13
"07750  Isnäs (Loviisa)",48,27,21,26,25
"07780  Härkäpää (Loviisa)",12,9,3,4,2
"07800  Lapinjärvi Keskus (Lapinjärvi)",51,40,31,35,33
"07810  Ingermaninkylä (Lapinjärvi)",17,15,14,12,16
"07820  Porlammi (Lapinjärvi)",31,28,18,23,25
"07830  Pukaro (Lapinjärvi)",12,4,11,13,16
"07840  Lindkoski (Lapinjärvi)",14,10,8,10,4
"07850  Heikinkylä (Lapinjärvi)",21,13,9,6,6
"07870  Skinnarby (Loviisa)",22,15,15,16,14
"07880  Liljendal Keskus (Loviisa)",44,28,30,28,35
"07890  Mickelspiltom (Loviisa)",7,5,5,5,9
"07900  Loviisa Keskus (Loviisa)",306,216,186,211,203
"07910  Valko (Loviisa)",80,67,53,68,76
"07920  Etelä-Harju (Loviisa)",100,79,59,59,74
"07930  Pernaja Kirkonkylä (Loviisa)",48,28,29,36,40
"07940  Määrlahti (Loviisa)",112,84,74,71,89
"07945  Kuggom (Loviisa)",28,18,11,21,18
"07955  Tesjoki (Loviisa)",69,48,45,58,52
"07960  Ahvenkoski (Loviisa)",15,11,7,8,7
"07970  Ruotsinpyhtää Keskus (Loviisa)",60,38,37,45,49
"07980  Kuninkaankylä (Loviisa)",24,16,14,12,13
"07990  Ruotsinkylä-Koskisto (Loviisa)",19,15,7,10,15
