"12f6 -- 8. Main type of activity, 2010-2024"

"Postal code area","2020 Unemployed (PT)","2021 Unemployed (PT)","2022 Unemployed (PT)","2023 Unemployed (PT)","2024 Unemployed (PT)"
"32700  Huittinen Keskus (Huittinen)",321,238,225,269,302
"32710  Sampu (Huittinen)",23,12,10,7,10
"32730  Keikyä (Sastamala)",35,16,21,29,30
"32740  Pehula (Sastamala)",88,56,67,78,102
"32760  Suttila (Huittinen)",9,7,6,9,6
"32770  Huhtamo (Huittinen)",11,10,7,10,14
"32800  Kokemäki Keskus (Kokemäki)",191,135,143,137,177
"32810  Peipohja (Kokemäki)",103,73,78,59,88
"32830  Riste (Kokemäki)",20,18,19,18,17
"32860  Korkeaoja (Kokemäki)",11,9,3,6,7
"32910  Kauvatsa Asemanseutu (Kokemäki)",19,13,9,13,17
"32920  Kauvatsa (Kokemäki)",31,26,17,20,23
"33100  Tampere Keskus (Tampere)",1173,885,806,1011,1181
"33180  Lapinniemi-Käpylä (Tampere)",140,97,111,168,195
"33200  Tampere Keskus Läntinen (Tampere)",541,377,385,438,435
"33210  Itä-Amuri-Tammerkoski (Tampere)",436,322,325,414,468
"33230  Länsi-Amuri (Tampere)",381,295,244,326,332
"33240  Tahmela (Tampere)",129,100,94,105,119
"33250  Pispala (Tampere)",288,244,223,324,332
"33270  Epilä (Tampere)",612,476,422,510,522
"33300  Rahola (Tampere)",388,283,237,304,340
"33310  Tesoma (Tampere)",797,624,552,748,798
"33330  Myllypuro-Kalkku (Tampere)",327,255,223,256,270
"33340  Haukiluoma-Ikuri (Tampere)",348,269,212,299,324
"33400  Luoteis-Tampere (Tampere)",758,616,604,693,826
"33410  Lentävänniemi (Tampere)",479,381,339,393,413
"33420  Lamminpää (Tampere)",175,97,78,130,208
"33430  Vuorentausta (Ylöjärvi)",130,87,69,105,116
"33450  Siivikkala (Ylöjärvi)",139,81,68,107,108
"33470  Ylöjärvi Keskus (Ylöjärvi)",384,275,231,307,297
"33480  Manninmäki-Haavisto (Ylöjärvi)",321,195,200,269,271
"33500  Osmonmäki-Petsamo (Tampere)",732,538,517,648,697
"33520  Keskussairaala-alue-Kauppi (Tampere)",52,43,37,55,59
"33530  Kissanmaa (Tampere)",280,172,186,216,247
"33540  Kaleva (Tampere)",745,537,548,703,769
"33560  Takahuhti (Tampere)",563,416,397,494,534
"33580  Atala-Linnainmaa (Tampere)",985,709,672,826,839
"33610  Olkahinen-Tasanne (Tampere)",214,152,138,159,150
"33680  Aitolahti (Tampere)",64,54,48,73,83
"33700  Messukylä (Tampere)",85,50,36,55,57
"33710  Kaukajärvi (Tampere)",1347,1031,933,1236,1368
"33720  Hervanta (Tampere)",2088,1654,1624,2067,2378
"33730  Leinola-Vehmainen (Tampere)",112,76,52,76,79
"33800  Nekala (Tampere)",489,400,363,478,473
"33820  Koivistonkylä (Tampere)",578,411,368,462,529
"33840  Peltolammi (Tampere)",289,205,211,252,293
"33850  Multisilta (Tampere)",294,228,197,260,273
"33870  Vuores (Tampere)",411,302,289,438,469
"33880  Höytämö (Lempäälä)",174,132,116,166,189
"33900  Härmälä-Rantaperkiö (Tampere)",1022,805,773,1011,1165
"33920  Toivio (Pirkkala)",57,24,20,27,34
"33950  Killo (Pirkkala)",308,202,215,274,305
"33960  Suuppa (Pirkkala)",505,348,338,487,539
"33980  Pirkkala kk (Pirkkala)",69,43,37,58,75
"34110  Lakiala (Ylöjärvi)",47,37,36,39,40
"34130  Ylinen (Ylöjärvi)",63,34,43,60,52
"34140  Mutala (Ylöjärvi)",30,20,13,29,27
"34150  Kyrönlahti (Ylöjärvi)",20,21,14,11,12
"34180  Länsi-Teisko (Ylöjärvi)",7,9,6,4,3
"34240  Kämmenteisko (Tampere)",79,56,52,68,63
"34260  Terälahti (Tampere)",55,55,34,45,41
"34270  Velaatta (Tampere)",23,18,16,18,18
"34300  Kuru Keskus (Ylöjärvi)",103,69,69,94,80
"34320  Parkkuu (Ylöjärvi)",13,8,8,6,11
"34330  Poikelus (Ylöjärvi)",22,13,17,15,10
"34410  Murole (Ruovesi)",6,5,6,7,9
"34420  Muroleen Kanava (Ruovesi)",2,2,0,1,1
"34430  Kekkonen (Ruovesi)",6,4,5,6,7
"34450  Jäminkipohja (Ruovesi)",22,9,18,24,18
"34510  Luode (Ylöjärvi)",5,3,2,6,2
"34530  Länsi-Aure (Ylöjärvi)",4,2,3,3,2
"34550  Itä-Aure (Ylöjärvi)",9,6,2,4,6
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",130,64,72,98,96
"34640  Mustajärvi (Ruovesi)",10,8,6,8,7
"34710  Vaskivesi (Virrat)",13,4,4,8,14
"34730  Vaskuu (Virrat)",4,3,4,6,7
"34740  Koro (Virrat)",3,2,3,4,1
"34770  Kurjenkylä (Virrat)",10,7,8,10,8
"34800  Virrat Keskus (Virrat)",221,146,150,161,161
"34870  Visuvesi (Ruovesi)",27,20,18,32,27
"34910  Äijänneva (Virrat)",6,3,3,5,4
"34930  Liedenpohja (Virrat)",16,9,11,6,7
"34950  Ohtola (Virrat)",8,4,4,6,6
"34970  Toisvesi (Virrat)",7,4,2,7,4
"34980  Killinkoski (Virrat)",23,25,14,22,26
"35100  Orivesi Asemanseutu (Orivesi)",159,127,110,129,134
"35220  Eräjärvi (Orivesi)",32,25,24,22,29
"35240  Ristakallio (Orivesi)",14,11,9,10,9
"35260  Leväslahti (Orivesi)",...,...,...,...,...
"35270  Västilä (Orivesi)",12,7,8,9,9
"35300  Orivesi Keskus (Orivesi)",231,186,174,199,211
"35320  Hirsilä (Orivesi)",20,19,13,17,26
"35400  Länkipohja (Jämsä)",47,47,43,34,38
"35420  Talviainen (Orivesi)",4,5,5,5,4
"35480  Längelmäki (Orivesi)",1,2,2,2,3
"35500  Korkeakoski (Juupajoki)",39,36,33,35,39
"35520  Pirttikangas (Juupajoki)",3,3,2,4,2
"35530  Lyly (Juupajoki)",9,5,6,6,8
"35540  Juupajoki (Juupajoki)",6,11,8,12,14
"35550  Salokunta (Juupajoki)",3,5,3,2,3
"35600  Halli (Jämsä)",68,61,60,65,57
"35610  Pihlaisto (Jämsä)",5,7,6,4,2
"35630  Suinula-Valkamanperä (Jämsä)",7,5,3,3,6
"35700  Vilppula Keskus (Mänttä-Vilppula)",151,91,100,116,130
"35740  Ylä-Vääri (Ruovesi)",5,3,1,5,6
"35750  Väärinmaja (Ruovesi)",11,5,4,9,12
"35800  Mänttä (Mänttä-Vilppula)",211,134,138,166,199
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",98,77,66,80,89
"35990  Kolho (Mänttä-Vilppula)",45,36,40,53,40
"36100  Kangasala Asemanseutu (Kangasala)",51,31,26,33,37
"36110  Ruutana (Kangasala)",128,61,68,91,95
"36120  Suinula-Haviseva (Kangasala)",46,37,23,48,47
"36200  Kangasala Keskus (Kangasala)",469,357,350,408,452
"36220  Suorama (Kangasala)",343,264,222,272,334
"36240  Vatiala (Kangasala)",247,184,158,237,280
"36270  Huutijärvi (Kangasala)",69,54,46,66,62
"36280  Pikonlinna (Kangasala)",10,8,2,5,6
"36340  Tohkala (Kangasala)",7,13,6,5,6
"36420  Sahalahti Keskus (Kangasala)",107,74,55,80,87
"36430  Pakkala (Kangasala)",22,17,15,17,18
"36450  Salmentaka (Pälkäne)",18,11,9,13,10
"36520  Raikku (Kangasala)",10,9,9,15,16
"36570  Kaivanto (Kangasala)",17,9,12,9,9
"36600  Pälkäne Keskus (Pälkäne)",148,109,95,107,119
"36640  Iltasmäki (Pälkäne)",12,15,5,13,13
"36660  Laitikkala (Pälkäne)",8,5,4,5,5
"36720  Aitoo (Pälkäne)",32,19,25,26,20
"36760  Luopioinen Keskus (Pälkäne)",36,25,19,21,26
"36810  Kuhmalahti Keskus (Kangasala)",38,31,29,33,32
"36840  Kuhmajärvi (Kangasala)",14,11,12,11,17
"36880  Vehkajärvi (Kangasala)",9,8,7,4,4
"36910  Rautajärvi (Pälkäne)",11,11,5,16,12
"36930  Kyynärö (Pälkäne)",7,6,2,2,4
"37100  Nokia Keskus (Nokia)",504,373,381,538,667
"37120  Koskenmäki (Nokia)",666,348,346,432,462
"37130  Alhoniitty (Nokia)",295,212,158,216,240
"37140  Harjuniitty (Nokia)",159,87,75,110,102
"37150  Kankaantaka (Nokia)",242,169,148,199,221
"37180  Sarkola (Nokia)",26,14,20,22,37
"37200  Siuro (Nokia)",140,74,74,88,125
"37210  Kulovesi (Nokia)",...,...,...,...,...
"37240  Linnavuori (Nokia)",62,51,41,53,64
"37310  Tottijärvi (Nokia)",42,21,30,33,42
"37350  Rämsöö (Vesilahti)",7,11,5,7,11
"37370  Narva (Vesilahti)",30,25,20,33,36
"37380  Krääkkiö (Vesilahti)",15,10,12,11,10
"37420  Valkkinen (Vesilahti)",43,15,14,28,29
"37470  Vesilahti Keskus (Vesilahti)",79,59,52,76,79
"37500  Lempäälä Keskus (Lempäälä)",439,301,271,387,405
"37530  Säijä (Lempäälä)",21,15,9,17,20
"37550  Kuivaspää (Lempäälä)",253,141,147,177,191
"37560  Kulju (Lempäälä)",216,149,130,157,162
"37570  Koivuniemi (Lempäälä)",12,13,7,10,12
"37600  Valkeakoski Keskus (Valkeakoski)",690,495,498,631,661
"37630  Vääräkoivu (Valkeakoski)",321,275,279,339,361
"37700  Sääksmäki (Valkeakoski)",31,26,22,29,29
"37720  Ritvala (Valkeakoski)",12,8,8,14,15
"37740  Haukila (Valkeakoski)",15,7,9,11,14
"37770  Tarttila (Valkeakoski)",24,25,23,19,18
"37800  Toijala keskus (Akaa)",563,376,390,487,472
"37830  Viiala Keskus (Akaa)",293,186,187,257,260
"37850  Metsäkansa (Valkeakoski)",14,10,8,14,12
"37860  Kärjenniemi (Valkeakoski)",44,25,31,40,32
"37900  Kylmäkoski Asemanseutu (Akaa)",10,11,7,14,18
"37910  Kylmäkoski Keskus (Akaa)",72,69,47,53,57
"37960  Sotkia (Akaa)",15,11,11,15,11
"38100  Karkku (Sastamala)",42,25,26,32,49
"38120  Kutala (Sastamala)",6,3,4,4,10
"38130  Ellivuori (Sastamala)",...,...,...,...,...
"38140  Kärppälä (Sastamala)",15,13,8,12,12
"38200  Vammala Keskus (Sastamala)",240,171,173,215,260
"38210  Vammala Asemanseutu (Sastamala)",218,125,142,159,206
"38220  Stormi (Sastamala)",34,25,22,25,32
"38250  Roismala (Sastamala)",53,41,35,44,45
"38270  Sammaljoki (Sastamala)",18,10,11,10,16
"38280  Illo (Sastamala)",22,16,20,20,20
"38300  Kiikka (Sastamala)",76,55,53,71,82
"38360  Kiikoinen (Sastamala)",57,37,35,48,49
"38420  Häijää (Sastamala)",50,27,23,36,38
"38460  Mouhijärvi Keskus (Sastamala)",86,54,55,67,84
"38470  Hyynilä (Sastamala)",12,11,11,12,14
"38490  Haukijärvi (Hämeenkyrö)",8,4,6,5,2
"38510  Suodenniemi (Sastamala)",51,40,27,34,38
"38600  Lavia Keskus (Pori)",96,74,75,62,63
"38650  Yli-Putto (Pori)",8,6,4,4,8
"38670  Kalliala-Haunia (Pori)",9,8,7,7,8
"38680  Tuunajärvi (Pomarkku)",3,3,3,3,3
"38700  Kankaanpää Keskus (Kankaanpää)",334,250,238,254,342
"38710  Myllymäki (Kankaanpää)",148,93,99,94,128
"38720  Vihteljärvi (Kankaanpää)",23,19,18,11,17
"38740  Hapuoja (Kankaanpää)",24,18,23,22,19
"38750  Veneskoski (Kankaanpää)",17,11,7,10,10
"38760  Venesjärvi (Kankaanpää)",13,8,11,14,13
"38770  Lohikko (Kankaanpää)",26,10,11,16,19
"38800  Jämijärvi Keskus (Jämijärvi)",70,55,46,55,56
"38840  Niinisalo (Kankaanpää)",49,37,37,31,24
"38860  Suurimaa (Jämijärvi)",12,11,8,8,9
"38910  Ala-Honkajoki (Kankaanpää)",30,17,26,31,31
"38920  Vatajankoski (Kankaanpää)",9,11,7,8,7
"38950  Honkajoki Keskus (Kankaanpää)",64,49,39,40,53
"38970  Lauhala (Kankaanpää)",11,8,4,4,10
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",147,107,95,152,161
"39110  Simuna (Hämeenkyrö)",10,8,6,6,7
"39130  Sasi (Hämeenkyrö)",32,32,27,28,29
"39150  Pinsiö (Hämeenkyrö)",31,22,22,32,41
"39160  Julkujärvi (Ylöjärvi)",161,84,74,122,108
"39170  Jumesniemi (Hämeenkyrö)",14,7,5,8,7
"39180  Herttuala (Hämeenkyrö)",6,5,9,6,8
"39195  Kaipio (Hämeenkyrö)",12,5,2,5,4
"39200  Kyröskoski (Hämeenkyrö)",269,197,203,262,313
"39230  Osara (Hämeenkyrö)",12,6,0,6,9
"39290  Vesajärvi (Hämeenkyrö)",7,8,7,6,8
"39310  Viljakkala Keskus (Ylöjärvi)",47,35,36,49,57
"39340  Karhe (Ylöjärvi)",19,7,11,8,9
"39360  Komi (Ylöjärvi)",8,6,8,8,8
"39380  Lavajärvi (Hämeenkyrö)",8,7,7,7,13
"39410  Luhalahti (Ikaalinen)",10,8,6,8,8
"39430  Röyhiö (Ikaalinen)",17,13,10,9,11
"39450  Sisättö (Ikaalinen)",4,6,7,2,7
"39500  Ikaalinen Keskus (Ikaalinen)",283,191,170,250,253
"39530  Kilvakkala (Ikaalinen)",60,33,36,46,41
"39580  Riitiala (Ikaalinen)",25,20,21,20,16
"39590  Tevaniemi (Ikaalinen)",13,6,3,8,4
"39610  Kovelahti (Ikaalinen)",11,10,9,10,8
"39620  Kovesjoki (Parkano)",5,5,4,7,5
"39660  Lapinneva (Parkano)",15,11,8,9,13
"39700  Parkano Keskus (Parkano)",289,203,207,195,252
"39750  Vatajanjärvi (Parkano)",13,13,7,6,10
"39770  Aureskoski (Parkano)",6,1,5,6,3
"39780  Alaskylä (Parkano)",8,5,7,7,4
"39810  Linnankylä (Kihniö)",13,3,4,8,7
"39820  Kihniö Keskus (Kihniö)",66,50,46,46,43
"39880  Kihniö Asemanseutu (Kihniö)",6,2,6,8,6
"39920  Suomijärvi (Karvia)",11,8,6,5,4
"39930  Karvia Keskus (Karvia)",59,46,45,53,49
"39940  Kantti (Karvia)",5,7,3,5,4
"39960  Sarvela (Karvia)",19,9,12,12,15
"39965  Karviankylä (Karvia)",9,5,5,4,6
"39980  Sara (Karvia)",9,7,2,5,4
"39990  Alkkia (Karvia)",12,5,7,9,6
"40100  Jyväskylä Keskus (Jyväskylä)",1210,963,926,1099,1205
"40200  Mannila-Taulumäki (Jyväskylä)",286,242,229,248,298
"40250  Ritoniemi-Lohikoski (Jyväskylä)",404,306,293,350,355
"40270  Palokka (Jyväskylä)",772,634,610,696,741
"40320  Seppälän Teollisuusalue (Jyväskylä)",522,404,406,453,472
"40340  Huhtasuo (Jyväskylä)",855,811,728,866,927
"40400  Halssila (Jyväskylä)",261,230,225,240,265
"40420  Jyskä (Jyväskylä)",397,313,293,341,348
"40500  Keljo-Ristonmaa (Jyväskylä)",254,222,211,276,316
"40520  Kuokkala-Ristikivi (Jyväskylä)",1490,1277,1175,1374,1492
"40530  Keljonkangas (Jyväskylä)",421,333,316,348,397
"40600  Mattilanpelto (Jyväskylä)",148,103,128,146,189
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",51,38,34,41,50
"40630  Kypärämäki (Jyväskylä)",305,226,209,251,249
"40640  Keltinmäki (Jyväskylä)",574,538,528,590,682
"40660  Länsi-Palokka (Jyväskylä)",35,28,25,31,31
"40700  Mäki-Matti (Jyväskylä)",477,404,374,465,519
"40720  Nisula (Jyväskylä)",228,200,173,223,246
"40740  Kortepohja (Jyväskylä)",563,476,495,590,645
"40800  Vaajakoski (Jyväskylä)",559,473,422,471,500
"40820  Vuoritsalo (Jyväskylä)",80,79,78,84,84
"40900  Säynätsalo (Jyväskylä)",254,218,177,200,241
"40930  Kinkomaa (Muurame)",89,61,60,78,92
"40950  Muurame Keskus (Muurame)",395,359,303,384,384
"41120  Puuppola (Jyväskylä)",80,66,57,69,81
"41140  Kuikka (Jyväskylä)",36,29,32,23,30
"41160  Tikkakoski (Jyväskylä)",301,249,215,252,285
"41180  Vehniä (Laukaa)",45,30,30,41,29
"41210  Jokihaara (Uurainen)",22,17,15,19,17
"41220  Höytiä (Uurainen)",15,13,14,12,9
"41230  Uurainen Keskus (Uurainen)",108,79,85,95,103
"41240  Kyynämöinen (Uurainen)",16,15,12,12,12
"41260  Hoikankylä (Saarijärvi)",10,6,3,11,7
"41270  Lannevesi (Saarijärvi)",33,28,16,20,22
"41290  Kangashäkki (Uurainen)",39,31,32,39,38
"41310  Leppävesi (Laukaa)",154,123,118,132,136
"41325  Laukkavirta (Laukaa)",14,16,13,15,16
"41330  Vihtavuori (Laukaa)",153,127,138,176,178
"41340  Laukaa Keskus (Laukaa)",322,240,248,288,326
"41350  Laukaa Asemanseutu (Laukaa)",56,37,38,42,42
"41360  Valkola (Laukaa)",21,21,23,24,30
"41370  Kuusa (Laukaa)",49,39,32,49,48
"41390  Äijälä (Laukaa)",26,18,20,28,29
"41400  Lievestuore (Laukaa)",227,169,150,160,177
"41410  Kankainen (Toivakka)",14,12,9,10,9
"41440  Ruuhimäki (Toivakka)",15,8,7,8,10
"41450  Leppälahti (Jyväskylä)",24,20,21,30,22
"41490  Niemisjärvi (Hankasalmi)",42,35,33,41,43
"41500  Hankasalmi Asemanseutu (Hankasalmi)",84,62,70,73,71
"41520  Hankasalmi Keskus (Hankasalmi)",79,77,62,77,75
"41530  Veneranta (Hankasalmi)",13,7,9,10,13
"41540  Ristimäki (Hankasalmi)",20,13,11,17,11
"41550  Hannula (Hankasalmi)",7,7,7,6,2
"41560  Säkinmäki (Hankasalmi)",9,6,3,8,8
"41580  Sauvamäki (Hankasalmi)",18,11,10,14,13
"41630  Oravasaari (Jyväskylä)",16,15,21,17,19
"41660  Toivakka Keskus (Toivakka)",89,70,71,67,78
"41710  Rutalahti-Kivisuo (Jyväskylä)",15,14,12,14,15
"41730  Kivisuo (Joutsa)",...,...,...,...,...
"41750  Havumäki (Joutsa)",7,7,4,3,5
"41770  Leivonmäki (Joutsa)",39,32,39,32,30
"41800  Korpilahti Keskus (Jyväskylä)",207,203,196,224,233
"41820  Saakoski (Jyväskylä)",16,15,13,16,17
"41840  Moksi (Jyväskylä)",8,5,7,9,7
"41860  Rannila (Jyväskylä)",17,16,14,23,15
"41870  Putkilahti (Jyväskylä)",8,7,7,6,4
"41880  Oittila (Jyväskylä)",10,5,4,8,4
"41900  Petäjävesi Keskus (Petäjävesi)",151,138,100,145,136
"41920  Kintaus (Petäjävesi)",36,35,31,32,26
"41925  Ylä-Kintaus (Petäjävesi)",8,5,6,8,8
"41930  Kuohu (Jyväskylä)",46,32,32,34,39
"41940  Vesanka (Jyväskylä)",90,70,71,81,73
"41970  Huttula (Keuruu)",4,4,2,3,3
"41980  Kuivasmäki (Petäjävesi)",8,8,9,8,8
"42100  Jämsä Keskus (Jämsä)",618,560,548,530,562
"42140  Juokslahti (Jämsä)",10,13,7,12,10
"42220  Kaipola (Jämsä)",63,68,62,66,55
"42300  Jämsänkoski Keskus (Jämsä)",365,324,346,302,328
"42330  Haavisto (Jämsä)",21,16,11,19,16
"42440  Koskenpää (Jämsä)",49,40,37,33,33
"42520  Asunta (Keuruu)",4,2,4,4,5
"42560  Pohjoisjärvi (Keuruu)",4,2,4,5,4
"42600  Multia Keskus-Väätäiskylä (Multia)",72,60,51,63,48
"42660  Sahrajärvi (Multia)",12,9,11,7,7
"42700  Keuruu Keskus (Keuruu)",387,309,294,379,345
"42800  Haapamäki (Keuruu)",61,43,43,51,54
"42820  Riiho (Keuruu)",7,2,6,4,4
"42830  Ylä-Kolkki (Mänttä-Vilppula)",4,1,3,1,1
"42840  Kolkki (Mänttä-Vilppula)",9,8,4,7,2
"42850  Pohjaslahti (Mänttä-Vilppula)",7,2,3,4,3
"42870  Kotala (Virrat)",23,14,15,16,16
"42910  Pihlajavesi (Keuruu)",15,13,15,16,13
"42930  Katajamäki (Keuruu)",4,4,2,4,6
"43100  Saarijärvi Keskus (Saarijärvi)",526,382,356,406,418
"43130  Tarvaala (Saarijärvi)",36,20,18,20,21
"43170  Häkkilä (Saarijärvi)",32,20,19,27,19
"43220  Mahlu (Saarijärvi)",33,34,26,25,30
"43240  Lehtola (Saarijärvi)",10,8,5,8,5
"43250  Kolkanlahti (Saarijärvi)",28,22,20,23,24
"43270  Kalmari (Saarijärvi)",36,27,24,21,22
"43300  Kannonkoski Keskus (Kannonkoski)",69,55,51,46,54
"43340  Kannonjärvi (Kannonkoski)",15,11,14,14,12
"43390  Lokakylä (Kivijärvi)",4,2,3,4,2
"43420  Kukko (Saarijärvi)",3,1,0,0,0
"43430  Väätäiskylä (Multia)",1,1,0,...,...
"43440  Pylkönmäki Keskus (Saarijärvi)",37,29,22,34,27
"43480  Pääjärvi (Saarijärvi)",8,4,5,4,5
"43490  Kangasaho (Karstula)",9,7,7,8,6
"43500  Karstula Keskus (Karstula)",180,120,111,115,119
"43520  Kiminki (Karstula)",8,10,7,5,6
"43540  Rantakylä-Pirttilahti (Karstula)",6,6,5,4,1
"43560  Vahanka (Karstula)",13,11,11,8,11
"43610  Aho (Karstula)",8,4,4,7,4
"43640  Humppi (Karstula)",10,6,8,7,3
"43660  Vastinki (Karstula)",17,9,14,18,12
"43700  Kyyjärvi Keskus (Kyyjärvi)",67,34,31,32,34
"43720  Kumpulainen (Kyyjärvi)",3,3,2,3,2
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",48,45,51,45,44
"43840  Sompala (Kivijärvi)",3,4,3,1,4
"43900  Kinnula Keskus (Kinnula)",77,62,58,59,62
"43940  Muhola-Saarensalmi (Kinnula)",16,12,10,14,10
"43960  Saarensalmi (Kinnula)",3,1,3,4,4
"44100  Äänekoski Keskus (Äänekoski)",355,255,221,286,314
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",161,139,99,152,154
"44150  Likolahti-Karhunlähde (Äänekoski)",279,203,182,243,264
"44160  Huutomäki (Äänekoski)",30,25,17,29,29
"44170  Hietama (Äänekoski)",42,25,23,25,27
"44190  Parantala (Äänekoski)",12,7,7,8,10
"44200  Suolahti Keskus (Äänekoski)",419,281,217,342,347
"44220  Sörkänmäki (Äänekoski)",38,24,19,27,26
"44250  Äänekoivisto (Äänekoski)",25,21,16,31,28
"44260  Vihijärvi (Äänekoski)",12,8,6,18,16
"44280  Sumiainen Keskus (Äänekoski)",65,45,47,60,60
"44300  Konnevesi Keskus (Konnevesi)",118,98,74,107,111
"44320  Sirkkamäki (Konnevesi)",3,3,3,4,3
"44330  Hytölä (Konnevesi)",19,17,13,15,20
"44350  Istunmäki (Konnevesi)",21,23,26,17,17
"44370  Mäntymäki (Konnevesi)",10,3,5,4,11
"44400  Konginkangas Keskus (Äänekoski)",52,44,41,47,47
"44420  Liimattala (Äänekoski)",22,21,24,30,21
"44440  Räihä (Äänekoski)",10,7,7,9,4
"44460  Kalaniemi (Äänekoski)",6,7,3,6,11
"44480  Niinilahti (Viitasaari)",12,10,10,12,7
"44500  Viitasaari Keskus (Viitasaari)",238,176,162,207,199
"44530  Ilmolahti (Viitasaari)",9,6,8,13,5
"44580  Huopanankoski (Viitasaari)",20,15,9,13,11
"44590  Vuorilahti (Viitasaari)",2,2,3,1,2
"44610  Kärnä (Viitasaari)",13,10,13,12,13
"44630  Kumpumäki (Viitasaari)",5,5,2,5,6
"44640  Kymönkoski (Viitasaari)",14,8,9,9,5
"44670  Suovanlahti (Viitasaari)",4,3,2,3,2
"44680  Lahnanen (Viitasaari)",2,2,3,1,2
"44730  Löytänä (Viitasaari)",5,2,3,4,1
"44740  Keitelepohja-Kotvala (Viitasaari)",14,12,9,9,9
"44760  Keihärinkoski (Viitasaari)",20,20,16,14,19
"44770  Valkeisjärvi (Viitasaari)",0,...,0,0,0
"44790  Kotvala (Viitasaari)",3,4,4,1,2
"44800  Pihtipudas Keskus (Pihtipudas)",126,109,108,136,116
"44860  Alvajärvi (Pihtipudas)",6,6,5,10,6
"44880  Muurasjärvi (Pihtipudas)",27,24,26,29,26
"44910  Elämäjärvi (Pihtipudas)",15,8,10,13,11
"44920  Peninki (Pihtipudas)",9,5,3,8,8
"44950  Kärväsjärvi (Pihtipudas)",11,17,20,15,12
"44970  Korppinen (Pihtipudas)",6,6,8,9,5
"45100  Kouvola Keskus (Kouvola)",511,392,340,429,499
"45120  Kotkankallio-Vahteronmäki (Kouvola)",182,129,110,130,149
"45130  Korjala-Kaunisnurmi (Kouvola)",131,115,106,123,140
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",357,310,267,318,336
"45160  Lehtomäki (Kouvola)",450,380,372,380,416
"45200  Tornionmäki (Kouvola)",474,389,315,371,428
"45330  Harju (Kouvola)",17,12,10,12,13
"45360  Kukkuramäki (Kouvola)",169,131,96,147,154
"45370  Valkeala kk (Kouvola)",86,75,66,76,100
"45410  Utti (Kouvola)",44,30,28,40,33
"45460  Savero (Kouvola)",11,6,10,9,10
"45610  Koria (Kouvola)",259,214,180,215,228
"45700  Kuusankoski Keskus (Kouvola)",503,413,402,479,546
"45720  Kotiharju-Puhjonmäki (Kouvola)",186,152,147,164,191
"45740  Maunuksela (Kouvola)",155,112,119,128,142
"45750  Kuusankosken Sairaala-alue (Kouvola)",6,2,3,9,13
"45810  Pilkanmaa (Kouvola)",95,68,58,73,81
"45910  Voikkaa (Kouvola)",203,167,171,195,198
"45940  Oravala (Kouvola)",19,16,14,11,15
"46110  Tuohikotti (Kouvola)",14,13,13,19,20
"46140  Vekaranjärvi (Kouvola)",5,5,4,7,7
"46230  Aro (Kouvola)",26,25,13,20,21
"46400  Kaipiainen (Kouvola)",27,21,17,22,21
"46430  Tirva-Inkerilä (Kouvola)",22,20,13,19,15
"46450  Enäjärvi (Kouvola)",10,8,7,7,7
"46530  Kannuskoski (Luumäki)",4,4,3,4,4
"46570  Saaramaa (Kouvola)",0,1,2,2,1
"46710  Sippola (Kouvola)",44,33,26,39,36
"46730  Ruotila (Kouvola)",4,5,4,3,3
"46750  Liikkala (Kouvola)",18,11,13,17,18
"46800  Myllykoski (Kouvola)",341,245,255,257,325
"46810  Ummeljoki (Kouvola)",109,74,71,73,94
"46860  Anjalankoski Keskus (Kouvola)",55,44,42,45,46
"46900  Inkeroinen (Kouvola)",323,208,209,199,235
"46910  Anjala (Kouvola)",150,100,89,88,114
"46930  Huruksela (Kotka)",15,14,12,11,5
"46950  Ahvio (Kouvola)",1,3,0,1,4
"46960  Muhniemi (Kouvola)",18,17,8,11,12
"47110  Löytty (Kouvola)",3,4,2,3,3
"47150  Raussila (Kouvola)",8,5,5,7,6
"47200  Elimäki kk (Kouvola)",121,88,81,101,109
"47260  Ratula (Kouvola)",7,8,6,6,7
"47310  Haapa-Kimola (Iitti)",8,6,5,7,8
"47350  Kimonkylä (Lapinjärvi)",10,10,9,8,5
"47400  Kausala (Iitti)",225,199,180,218,235
"47440  Sääskjärvi (Iitti)",5,5,6,6,7
"47450  Perheniemi (Iitti)",11,7,11,11,19
"47460  Hiisiö (Iitti)",5,7,6,6,2
"47490  Mankala-Hiisiö (Iitti)",21,15,13,12,18
"47520  Iitti kk (Iitti)",5,3,2,3,5
"47540  Lyöttilä (Iitti)",6,3,6,8,5
"47610  Kymentaka (Iitti)",8,5,7,10,12
"47650  Kimola (Kouvola)",12,8,6,7,6
"47710  Jaala kk (Kouvola)",59,47,43,50,49
"47760  Huhdasjärvi (Kouvola)",9,9,5,7,7
"47810  Selänpää (Kouvola)",25,18,12,17,12
"47830  Hasula (Kouvola)",4,8,14,8,11
"47850  Verla (Kouvola)",9,3,1,3,5
"47900  Vuohijärvi (Kouvola)",23,25,18,18,16
"47910  Hillosensalmi (Kouvola)",...,...,...,...,...
