"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"01830  Lepsämä (Nurmijärvi)",24,26,24,21,19
"01840  Klaukkala (Nurmijärvi)",257,276,257,255,252
"01860  Perttula (Nurmijärvi)",35,28,30,27,27
"01900  Nurmijärvi Keskus (Nurmijärvi)",1516,1560,1608,1614,1612
"01940  Palojoki (Nurmijärvi)",14,11,11,12,10
"02100  Tapiola (Espoo)",1505,1659,1756,1843,1872
"02110  Otsolahti (Espoo)",637,645,622,634,621
"02120  Länsikorkee-Suvikumpu (Espoo)",611,633,623,667,660
"02130  Pohjois-Tapiola (Espoo)",740,838,819,833,810
"02140  Laajalahti (Espoo)",367,371,341,353,361
"02150  Otaniemi (Espoo)",2161,2158,2161,2160,2177
"02160  Westend (Espoo)",160,155,155,170,177
"02170  Haukilahti (Espoo)",800,802,755,830,875
"02180  Mankkaa (Espoo)",483,481,486,468,445
"02200  Niittykumpu (Espoo)",2508,2841,3623,4196,4658
"02210  Olari (Espoo)",2181,2145,2158,2516,2631
"02230  Matinkylä (Espoo)",6044,6007,6202,6253,6254
"02240  Friisilä (Espoo)",123,137,208,345,342
"02250  Henttaa (Espoo)",1914,2174,2507,2542,2976
"02260  Kaitaa (Espoo)",545,564,545,640,629
"02270  Finnoo-Eestinmalmi (Espoo)",180,203,449,690,1412
"02280  Malminmäki-Eestinlaakso (Espoo)",984,970,978,1011,998
"02300  Nöykkiönpuro (Espoo)",66,62,57,58,58
"02320  Espoonlahti (Espoo)",3698,3777,4033,4282,4296
"02330  Saunalahti-Kattilalaakso (Espoo)",2402,2520,2712,2823,2866
"02340  Latokaski (Espoo)",333,316,309,356,344
"02360  Soukka (Espoo)",1465,1516,1484,1536,1575
"02380  Suvisaaristo (Espoo)",13,12,14,13,13
"02390  Sarvvik (Kirkkonummi)",211,337,391,407,455
"02400  Kirkkonummi Keskus (Kirkkonummi)",2357,2471,2550,2575,2573
"02410  Gesterby (Kirkkonummi)",542,573,571,577,580
"02420  Jorvas (Kirkkonummi)",45,42,45,47,43
"02430  Masala (Kirkkonummi)",1139,1135,1326,1416,1595
"02440  Luoma (Kirkkonummi)",13,12,13,14,15
"02450  Sundsberg (Kirkkonummi)",117,116,102,99,100
"02460  Kantvik (Kirkkonummi)",246,247,253,251,248
"02470  Upinniemi (Kirkkonummi)",178,177,171,162,143
"02480  Porkkala (Kirkkonummi)",358,385,395,379,378
"02490  Pikkala (Siuntio)",47,45,44,38,35
"02510  Oitmäki (Kirkkonummi)",42,40,40,33,32
"02520  Lapinkylä (Kirkkonummi)",15,13,12,11,14
"02540  Kylmälä (Kirkkonummi)",19,14,15,14,13
"02550  Evitskog (Kirkkonummi)",23,20,19,20,20
"02570  Siuntio Kirkonkylä (Siuntio)",62,58,60,53,52
"02580  Siuntio Asemanseutu (Siuntio)",277,311,300,290,294
"02590  Lappers (Siuntio)",5,2,4,5,3
"02600  Etelä-Leppävaara (Espoo)",5143,5539,6157,6302,6697
"02610  Kilo (Espoo)",1836,1944,2001,1989,1964
"02620  Karakallio (Espoo)",1404,1531,1691,1730,1803
"02630  Nihtisilta (Espoo)",645,629,704,844,1081
"02650  Pohjois-Leppävaara (Espoo)",2969,3172,3293,3412,3443
"02660  Lintuvaara (Espoo)",818,818,797,795,786
"02680  Uusmäki (Espoo)",613,621,642,620,593
