"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"31450  Häntälä (Somero)",1,3,2,3,2
"31460  Hirsjärvi (Somero)",10,13,10,8,6
"31470  Somerniemi (Somero)",34,34,30,33,33
"31490  Terttilä (Somero)",3,4,2,3,3
"31500  Koski Tl (Koski Tl)",188,191,189,187,199
"31520  Pitkäjärvi (Somero)",14,16,15,16,12
"31530  Pyöli (Somero)",7,5,7,6,7
"31600  Jokioinen Keskus (Jokioinen)",361,379,364,357,347
"31610  Vaulammi (Jokioinen)",15,12,14,11,12
"31620  Latovainio (Jokioinen)",13,16,16,13,16
"31630  Minkiö (Jokioinen)",13,17,14,12,9
"31640  Humppila Keskus (Humppila)",164,162,169,163,166
"31650  Venäjänkangas (Humppila)",11,13,11,10,8
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",103,100,88,90,82
"31720  Urjalankylä-Kehro (Urjala)",10,13,14,14,14
"31730  Honkola (Urjala)",7,7,6,7,6
"31750  Kehro (Urjala)",2,4,...,...,3
"31760  Urjala Keskus (Urjala)",368,387,358,363,343
"31810  Oriniemi (Punkalaidun)",7,6,7,9,8
"31830  Halkivaha (Urjala)",6,10,6,11,13
"31850  Koskioinen (Punkalaidun)",4,5,2,1,0
"31860  Tursa (Urjala)",7,8,10,6,7
"31900  Punkalaidun Keskus (Punkalaidun)",213,216,212,229,222
"31930  Vanttila (Punkalaidun)",2,3,2,1,2
"31950  Sadonmaa (Punkalaidun)",3,3,5,4,4
"31960  Orisuo (Loimaa)",2,2,3,2,1
"31970  Kanteenmaa (Punkalaidun)",9,11,6,6,6
"32100  Ypäjä Keskus (Ypäjä)",212,194,184,186,180
"32140  Ypäjä Asemanseutu (Ypäjä)",9,8,7,7,6
"32200  Loimaa Keskus (Loimaa)",1223,1257,1268,1314,1297
"32210  Loimaa kk (Loimaa)",284,288,281,300,287
"32250  Kojonkulma (Loimaa)",8,7,8,8,8
"32260  Kojonperä (Loimaa)",4,7,4,4,3
"32270  Metsämaa-Murto (Loimaa)",20,16,20,22,17
"32280  Metsäkorpi (Loimaa)",4,8,5,7,3
"32300  Mellilä (Loimaa)",77,84,78,79,74
"32410  Niinijoki (Loimaa)",11,9,10,8,9
"32430  Ylhäinen (Loimaa)",3,2,1,0,0
"32440  Alastaro Keskus (Loimaa)",160,175,164,166,156
"32450  Tammiainen (Loimaa)",7,7,6,4,7
"32500  Oripää Keskus (Oripää)",106,106,93,108,108
"32520  Latva (Oripää)",5,4,7,8,6
"32560  Virttaa (Loimaa)",21,17,21,23,20
"32610  Vampula Keskus (Huittinen)",70,71,66,65,58
"32620  Rutava (Huittinen)",4,5,5,4,5
"32700  Huittinen Keskus (Huittinen)",1078,1110,1078,1101,1059
"32710  Sampu (Huittinen)",12,8,9,9,10
"32730  Keikyä (Sastamala)",16,18,15,22,19
"32740  Pehula (Sastamala)",237,251,225,221,222
"32760  Suttila (Huittinen)",4,4,4,4,2
"32770  Huhtamo (Huittinen)",4,4,4,4,4
"32800  Kokemäki Keskus (Kokemäki)",482,483,484,478,473
"32810  Peipohja (Kokemäki)",150,150,146,136,138
"32830  Riste (Kokemäki)",21,20,17,17,14
"32860  Korkeaoja (Kokemäki)",7,7,8,9,10
"32910  Kauvatsa Asemanseutu (Kokemäki)",9,12,8,11,8
"32920  Kauvatsa (Kokemäki)",42,40,35,30,29
"33100  Tampere Keskus (Tampere)",6122,6404,6547,6623,6731
"33180  Lapinniemi-Käpylä (Tampere)",787,838,1078,1343,1410
"33200  Tampere Keskus Läntinen (Tampere)",2384,2456,2503,2597,2639
"33210  Itä-Amuri-Tammerkoski (Tampere)",2203,2304,2381,2632,2643
"33230  Länsi-Amuri (Tampere)",1436,1483,1470,1470,1491
"33240  Tahmela (Tampere)",241,256,249,251,239
"33250  Pispala (Tampere)",1040,1218,1419,1784,1806
"33270  Epilä (Tampere)",1818,1908,1889,1844,1805
"33300  Rahola (Tampere)",944,1010,967,980,960
"33310  Tesoma (Tampere)",2517,2589,2631,2781,2751
"33330  Myllypuro-Kalkku (Tampere)",921,942,955,927,899
"33340  Haukiluoma-Ikuri (Tampere)",685,831,838,828,843
"33400  Luoteis-Tampere (Tampere)",2813,3081,3290,3394,3492
"33410  Lentävänniemi (Tampere)",1377,1375,1414,1386,1429
"33420  Lamminpää (Tampere)",229,148,148,311,669
"33430  Vuorentausta (Ylöjärvi)",78,89,89,90,94
"33450  Siivikkala (Ylöjärvi)",66,71,68,73,74
"33470  Ylöjärvi Keskus (Ylöjärvi)",1288,1394,1402,1389,1383
"33480  Manninmäki-Haavisto (Ylöjärvi)",683,703,663,683,671
"33500  Osmonmäki-Petsamo (Tampere)",4032,4105,4243,4280,4364
"33520  Keskussairaala-alue-Kauppi (Tampere)",314,471,471,473,464
"33530  Kissanmaa (Tampere)",1500,1476,1490,1473,1528
"33540  Kaleva (Tampere)",4564,4695,5053,5449,5725
"33560  Takahuhti (Tampere)",2423,2685,2926,2919,2956
"33580  Atala-Linnainmaa (Tampere)",3396,3463,3471,3505,3502
"33610  Olkahinen-Tasanne (Tampere)",168,172,155,170,177
"33680  Aitolahti (Tampere)",27,23,22,23,26
"33700  Messukylä (Tampere)",301,301,291,301,307
"33710  Kaukajärvi (Tampere)",4747,4852,4993,5124,5201
"33720  Hervanta (Tampere)",10099,10578,11440,12105,12380
"33730  Leinola-Vehmainen (Tampere)",90,85,85,88,78
"33800  Nekala (Tampere)",1867,1964,1960,1970,1959
"33820  Koivistonkylä (Tampere)",1522,1598,1716,1784,1817
"33840  Peltolammi (Tampere)",882,917,932,939,958
"33850  Multisilta (Tampere)",757,804,806,793,836
"33870  Vuores (Tampere)",2096,2343,2497,2579,2667
"33880  Höytämö (Lempäälä)",411,424,440,432,428
"33900  Härmälä-Rantaperkiö (Tampere)",5125,5439,5650,5796,6053
"33920  Toivio (Pirkkala)",32,34,32,30,32
"33950  Killo (Pirkkala)",1065,1091,1137,1165,1193
"33960  Suuppa (Pirkkala)",1206,1381,1415,1616,1717
"33980  Pirkkala kk (Pirkkala)",24,25,25,26,22
"34110  Lakiala (Ylöjärvi)",12,11,12,10,8
"34130  Ylinen (Ylöjärvi)",78,69,76,72,80
"34140  Mutala (Ylöjärvi)",19,20,17,18,19
"34150  Kyrönlahti (Ylöjärvi)",11,12,11,8,9
"34180  Länsi-Teisko (Ylöjärvi)",5,5,6,3,3
"34240  Kämmenteisko (Tampere)",141,146,143,136,133
"34260  Terälahti (Tampere)",68,65,63,65,66
"34270  Velaatta (Tampere)",6,7,6,5,3
"34300  Kuru Keskus (Ylöjärvi)",200,197,198,188,179
"34320  Parkkuu (Ylöjärvi)",0,0,2,0,1
"34330  Poikelus (Ylöjärvi)",6,8,6,7,4
"34410  Murole (Ruovesi)",15,15,14,13,15
"34420  Muroleen Kanava (Ruovesi)",...,...,...,...,...
"34430  Kekkonen (Ruovesi)",2,0,1,1,1
"34450  Jäminkipohja (Ruovesi)",19,19,21,25,18
"34510  Luode (Ylöjärvi)",2,1,2,3,2
"34530  Länsi-Aure (Ylöjärvi)",4,4,4,...,...
"34550  Itä-Aure (Ylöjärvi)",6,4,5,4,4
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",369,379,355,394,382
"34640  Mustajärvi (Ruovesi)",5,4,3,3,2
"34710  Vaskivesi (Virrat)",5,4,3,1,5
"34730  Vaskuu (Virrat)",1,2,2,2,1
"34740  Koro (Virrat)",0,0,0,0,0
"34770  Kurjenkylä (Virrat)",9,7,6,7,9
"34800  Virrat Keskus (Virrat)",703,724,698,688,674
"34870  Visuvesi (Ruovesi)",51,44,41,36,38
"34910  Äijänneva (Virrat)",7,5,6,5,5
"34930  Liedenpohja (Virrat)",8,6,5,4,4
"34950  Ohtola (Virrat)",2,2,2,1,0
"34970  Toisvesi (Virrat)",0,0,0,0,0
"34980  Killinkoski (Virrat)",53,55,55,42,39
"35100  Orivesi Asemanseutu (Orivesi)",188,192,171,173,165
"35220  Eräjärvi (Orivesi)",48,48,41,32,32
"35240  Ristakallio (Orivesi)",7,10,9,8,9
"35260  Leväslahti (Orivesi)",...,...,...,...,...
"35270  Västilä (Orivesi)",9,10,8,8,8
"35300  Orivesi Keskus (Orivesi)",691,713,725,715,715
"35320  Hirsilä (Orivesi)",13,13,12,14,15
"35400  Länkipohja (Jämsä)",97,101,91,97,100
"35420  Talviainen (Orivesi)",3,2,2,2,4
"35480  Längelmäki (Orivesi)",1,...,...,...,...
"35500  Korkeakoski (Juupajoki)",123,114,104,100,93
"35520  Pirttikangas (Juupajoki)",1,0,1,1,2
"35530  Lyly (Juupajoki)",14,14,11,11,11
"35540  Juupajoki (Juupajoki)",25,23,24,25,20
"35550  Salokunta (Juupajoki)",1,1,2,1,1
"35600  Halli (Jämsä)",135,147,141,140,137
"35610  Pihlaisto (Jämsä)",2,5,4,4,3
"35630  Suinula-Valkamanperä (Jämsä)",2,8,3,5,6
"35700  Vilppula Keskus (Mänttä-Vilppula)",386,395,363,377,377
"35740  Ylä-Vääri (Ruovesi)",2,2,2,2,4
"35750  Väärinmaja (Ruovesi)",6,4,4,7,7
"35800  Mänttä (Mänttä-Vilppula)",687,702,681,685,710
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",124,128,133,139,147
"35990  Kolho (Mänttä-Vilppula)",81,85,84,77,56
"36100  Kangasala Asemanseutu (Kangasala)",40,44,35,32,31
"36110  Ruutana (Kangasala)",41,40,39,46,42
"36120  Suinula-Haviseva (Kangasala)",14,18,16,17,22
"36200  Kangasala Keskus (Kangasala)",1400,1493,1535,1526,1565
"36220  Suorama (Kangasala)",1070,1139,1141,1141,1177
"36240  Vatiala (Kangasala)",534,550,576,801,999
"36270  Huutijärvi (Kangasala)",89,93,96,93,94
"36280  Pikonlinna (Kangasala)",16,11,10,8,7
"36340  Tohkala (Kangasala)",1,2,1,1,1
"36420  Sahalahti Keskus (Kangasala)",178,178,177,182,175
"36430  Pakkala (Kangasala)",11,15,14,17,11
"36450  Salmentaka (Pälkäne)",11,8,9,11,11
"36520  Raikku (Kangasala)",6,4,4,3,3
"36570  Kaivanto (Kangasala)",4,5,4,4,5
"36600  Pälkäne Keskus (Pälkäne)",349,357,356,359,350
"36640  Iltasmäki (Pälkäne)",6,5,6,5,7
"36660  Laitikkala (Pälkäne)",2,3,2,3,3
"36720  Aitoo (Pälkäne)",37,41,31,39,29
"36760  Luopioinen Keskus (Pälkäne)",94,107,94,97,92
"36810  Kuhmalahti Keskus (Kangasala)",46,48,43,45,50
"36840  Kuhmajärvi (Kangasala)",17,16,17,14,15
"36880  Vehkajärvi (Kangasala)",9,12,8,4,3
"36910  Rautajärvi (Pälkäne)",22,23,22,27,27
"36930  Kyynärö (Pälkäne)",10,9,8,6,8
"37100  Nokia Keskus (Nokia)",1776,2170,2329,2640,2860
"37120  Koskenmäki (Nokia)",948,974,967,948,934
"37130  Alhoniitty (Nokia)",463,465,462,463,462
"37140  Harjuniitty (Nokia)",252,242,228,223,233
"37150  Kankaantaka (Nokia)",624,629,628,616,619
"37180  Sarkola (Nokia)",4,4,3,5,6
"37200  Siuro (Nokia)",83,89,84,84,79
"37210  Kulovesi (Nokia)",...,...,...,...,...
"37240  Linnavuori (Nokia)",124,117,114,120,128
"37310  Tottijärvi (Nokia)",21,18,20,16,17
"37350  Rämsöö (Vesilahti)",4,3,4,2,3
"37370  Narva (Vesilahti)",59,69,68,67,63
"37380  Krääkkiö (Vesilahti)",8,8,9,7,7
"37420  Valkkinen (Vesilahti)",19,12,15,14,13
"37470  Vesilahti Keskus (Vesilahti)",83,85,78,76,83
"37500  Lempäälä Keskus (Lempäälä)",1305,1381,1559,1573,1551
"37530  Säijä (Lempäälä)",4,2,2,3,3
"37550  Kuivaspää (Lempäälä)",394,411,415,391,394
"37560  Kulju (Lempäälä)",242,236,242,255,246
"37570  Koivuniemi (Lempäälä)",2,4,3,4,9
"37600  Valkeakoski Keskus (Valkeakoski)",1685,1758,1736,1723,1750
"37630  Vääräkoivu (Valkeakoski)",888,906,911,914,932
"37700  Sääksmäki (Valkeakoski)",32,33,33,32,29
"37720  Ritvala (Valkeakoski)",4,4,2,3,3
"37740  Haukila (Valkeakoski)",9,9,10,10,7
"37770  Tarttila (Valkeakoski)",21,24,24,22,23
"37800  Toijala keskus (Akaa)",1108,1193,1172,1177,1180
"37830  Viiala Keskus (Akaa)",488,506,500,523,529
"37850  Metsäkansa (Valkeakoski)",9,7,7,7,10
"37860  Kärjenniemi (Valkeakoski)",9,11,9,9,11
"37900  Kylmäkoski Asemanseutu (Akaa)",10,10,8,8,10
"37910  Kylmäkoski Keskus (Akaa)",129,139,141,137,142
"37960  Sotkia (Akaa)",8,6,7,7,5
"38100  Karkku (Sastamala)",34,39,39,36,39
"38120  Kutala (Sastamala)",4,3,5,2,5
"38130  Ellivuori (Sastamala)",...,...,...,...,...
"38140  Kärppälä (Sastamala)",11,7,11,7,8
"38200  Vammala Keskus (Sastamala)",1077,1135,1130,1154,1125
"38210  Vammala Asemanseutu (Sastamala)",530,539,517,541,540
"38220  Stormi (Sastamala)",32,32,35,34,33
"38250  Roismala (Sastamala)",46,50,55,54,55
"38270  Sammaljoki (Sastamala)",18,16,16,18,18
"38280  Illo (Sastamala)",8,7,8,9,7
"38300  Kiikka (Sastamala)",134,137,132,137,134
"38360  Kiikoinen (Sastamala)",122,115,105,113,104
"38420  Häijää (Sastamala)",40,44,35,35,35
"38460  Mouhijärvi Keskus (Sastamala)",168,171,156,156,166
"38470  Hyynilä (Sastamala)",8,8,7,8,8
"38490  Haukijärvi (Hämeenkyrö)",6,9,8,6,6
"38510  Suodenniemi (Sastamala)",85,96,90,91,85
"38600  Lavia Keskus (Pori)",121,114,109,113,115
"38650  Yli-Putto (Pori)",4,3,4,4,4
"38670  Kalliala-Haunia (Pori)",1,1,1,0,0
"38680  Tuunajärvi (Pomarkku)",1,1,1,0,0
"38700  Kankaanpää Keskus (Kankaanpää)",1072,1125,1114,1113,1146
"38710  Myllymäki (Kankaanpää)",529,547,541,545,544
"38720  Vihteljärvi (Kankaanpää)",3,8,5,2,6
"38740  Hapuoja (Kankaanpää)",16,13,17,13,13
"38750  Veneskoski (Kankaanpää)",3,4,3,3,2
"38760  Venesjärvi (Kankaanpää)",11,10,11,9,13
"38770  Lohikko (Kankaanpää)",3,2,2,2,2
"38800  Jämijärvi Keskus (Jämijärvi)",105,97,94,101,94
"38840  Niinisalo (Kankaanpää)",44,34,33,25,28
"38860  Suurimaa (Jämijärvi)",2,4,4,5,1
"38910  Ala-Honkajoki (Kankaanpää)",9,9,10,10,10
"38920  Vatajankoski (Kankaanpää)",4,6,6,5,5
"38950  Honkajoki Keskus (Kankaanpää)",166,166,170,175,182
"38970  Lauhala (Kankaanpää)",5,4,4,5,4
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",390,385,382,378,376
"39110  Simuna (Hämeenkyrö)",3,2,1,1,2
"39130  Sasi (Hämeenkyrö)",5,4,6,6,4
"39150  Pinsiö (Hämeenkyrö)",7,10,7,5,7
"39160  Julkujärvi (Ylöjärvi)",109,113,118,128,129
"39170  Jumesniemi (Hämeenkyrö)",5,2,1,1,1
"39180  Herttuala (Hämeenkyrö)",1,3,3,2,1
"39195  Kaipio (Hämeenkyrö)",5,6,5,5,6
"39200  Kyröskoski (Hämeenkyrö)",519,529,520,543,556
"39230  Osara (Hämeenkyrö)",6,5,5,2,2
"39290  Vesajärvi (Hämeenkyrö)",4,5,4,2,5
"39310  Viljakkala Keskus (Ylöjärvi)",79,82,76,77,76
"39340  Karhe (Ylöjärvi)",11,10,12,13,13
"39360  Komi (Ylöjärvi)",3,4,2,3,2
"39380  Lavajärvi (Hämeenkyrö)",3,4,3,2,2
"39410  Luhalahti (Ikaalinen)",15,18,17,15,14
"39430  Röyhiö (Ikaalinen)",10,11,9,8,5
"39450  Sisättö (Ikaalinen)",3,3,3,2,4
"39500  Ikaalinen Keskus (Ikaalinen)",727,761,743,794,791
"39530  Kilvakkala (Ikaalinen)",24,29,22,20,19
"39580  Riitiala (Ikaalinen)",10,13,11,9,8
"39590  Tevaniemi (Ikaalinen)",14,15,15,13,11
"39610  Kovelahti (Ikaalinen)",6,7,5,5,5
"39620  Kovesjoki (Parkano)",6,5,4,3,2
"39660  Lapinneva (Parkano)",10,8,6,7,5
"39700  Parkano Keskus (Parkano)",694,713,710,719,694
"39750  Vatajanjärvi (Parkano)",6,6,7,7,6
"39770  Aureskoski (Parkano)",4,5,6,6,5
"39780  Alaskylä (Parkano)",2,2,2,4,4
"39810  Linnankylä (Kihniö)",4,4,3,3,4
"39820  Kihniö Keskus (Kihniö)",144,153,145,146,140
"39880  Kihniö Asemanseutu (Kihniö)",1,2,1,1,1
"39920  Suomijärvi (Karvia)",3,2,1,1,1
"39930  Karvia Keskus (Karvia)",211,215,206,221,208
"39940  Kantti (Karvia)",6,8,8,4,3
"39960  Sarvela (Karvia)",8,8,12,11,13
"39965  Karviankylä (Karvia)",1,1,2,4,3
"39980  Sara (Karvia)",10,11,9,6,2
"39990  Alkkia (Karvia)",2,2,3,2,1
"40100  Jyväskylä Keskus (Jyväskylä)",7450,7818,8059,8297,8349
"40200  Mannila-Taulumäki (Jyväskylä)",1166,1186,1215,1208,1239
"40250  Ritoniemi-Lohikoski (Jyväskylä)",865,893,894,892,892
"40270  Palokka (Jyväskylä)",2017,2189,2283,2340,2380
"40320  Seppälän Teollisuusalue (Jyväskylä)",1436,1505,1561,1602,1658
"40340  Huhtasuo (Jyväskylä)",2347,2431,2518,2583,2611
"40400  Halssila (Jyväskylä)",675,686,693,707,684
"40420  Jyskä (Jyväskylä)",877,910,927,945,949
"40500  Keljo-Ristonmaa (Jyväskylä)",1207,1239,1280,1348,1387
"40520  Kuokkala-Ristikivi (Jyväskylä)",5702,5838,5944,6057,6148
"40530  Keljonkangas (Jyväskylä)",920,1038,1115,1110,1119
"40600  Mattilanpelto (Jyväskylä)",670,651,694,732,733
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",274,275,254,261,270
"40630  Kypärämäki (Jyväskylä)",747,744,727,763,734
"40640  Keltinmäki (Jyväskylä)",1524,1560,1566,1604,1627
"40660  Länsi-Palokka (Jyväskylä)",6,5,6,6,6
"40700  Mäki-Matti (Jyväskylä)",2503,2506,2705,2876,2882
"40720  Nisula (Jyväskylä)",816,926,978,965,985
"40740  Kortepohja (Jyväskylä)",3130,3307,3456,3447,3536
"40800  Vaajakoski (Jyväskylä)",1126,1161,1167,1167,1213
"40820  Vuoritsalo (Jyväskylä)",201,216,215,222,228
"40900  Säynätsalo (Jyväskylä)",436,432,408,418,421
"40930  Kinkomaa (Muurame)",111,140,133,136,131
"40950  Muurame Keskus (Muurame)",808,829,808,816,814
"41120  Puuppola (Jyväskylä)",31,29,30,26,31
"41140  Kuikka (Jyväskylä)",9,8,9,9,7
"41160  Tikkakoski (Jyväskylä)",581,603,605,605,598
"41180  Vehniä (Laukaa)",17,15,21,19,16
"41210  Jokihaara (Uurainen)",1,5,3,1,2
"41220  Höytiä (Uurainen)",1,1,1,1,1
"41230  Uurainen Keskus (Uurainen)",192,187,184,206,201
"41240  Kyynämöinen (Uurainen)",12,10,11,9,11
"41260  Hoikankylä (Saarijärvi)",3,4,3,2,2
"41270  Lannevesi (Saarijärvi)",19,20,20,20,18
"41290  Kangashäkki (Uurainen)",10,7,7,10,10
"41310  Leppävesi (Laukaa)",114,118,117,120,122
"41325  Laukkavirta (Laukaa)",7,6,7,7,7
"41330  Vihtavuori (Laukaa)",237,240,233,238,237
"41340  Laukaa Keskus (Laukaa)",807,855,848,857,881
"41350  Laukaa Asemanseutu (Laukaa)",67,66,61,60,57
"41360  Valkola (Laukaa)",8,5,8,8,9
"41370  Kuusa (Laukaa)",10,14,11,14,8
"41390  Äijälä (Laukaa)",14,14,13,11,10
"41400  Lievestuore (Laukaa)",307,321,307,307,307
"41410  Kankainen (Toivakka)",4,4,5,2,2
"41440  Ruuhimäki (Toivakka)",6,3,2,3,3
"41450  Leppälahti (Jyväskylä)",8,9,7,9,7
"41490  Niemisjärvi (Hankasalmi)",57,60,58,50,48
"41500  Hankasalmi Asemanseutu (Hankasalmi)",151,139,132,134,128
"41520  Hankasalmi Keskus (Hankasalmi)",245,256,267,275,278
"41530  Veneranta (Hankasalmi)",9,6,6,5,6
"41540  Ristimäki (Hankasalmi)",4,3,3,3,1
"41550  Hannula (Hankasalmi)",5,5,5,3,2
"41560  Säkinmäki (Hankasalmi)",7,7,7,7,7
"41580  Sauvamäki (Hankasalmi)",13,14,11,10,8
"41630  Oravasaari (Jyväskylä)",6,7,6,6,5
"41660  Toivakka Keskus (Toivakka)",153,161,162,154,139
"41710  Rutalahti-Kivisuo (Jyväskylä)",7,4,3,3,4
"41730  Kivisuo (Joutsa)",...,...,...,...,...
"41750  Havumäki (Joutsa)",3,1,1,0,0
"41770  Leivonmäki (Joutsa)",86,85,81,75,82
"41800  Korpilahti Keskus (Jyväskylä)",421,432,410,414,423
"41820  Saakoski (Jyväskylä)",12,13,14,12,11
"41840  Moksi (Jyväskylä)",4,3,3,2,3
"41860  Rannila (Jyväskylä)",3,1,4,3,3
"41870  Putkilahti (Jyväskylä)",9,8,8,7,6
"41880  Oittila (Jyväskylä)",2,2,2,1,1
"41900  Petäjävesi Keskus (Petäjävesi)",322,319,326,315,297
"41920  Kintaus (Petäjävesi)",31,29,24,24,23
"41925  Ylä-Kintaus (Petäjävesi)",3,2,2,2,3
"41930  Kuohu (Jyväskylä)",26,20,25,25,25
"41940  Vesanka (Jyväskylä)",12,19,16,14,11
"41970  Huttula (Keuruu)",...,...,...,...,...
"41980  Kuivasmäki (Petäjävesi)",6,4,4,3,3
"42100  Jämsä Keskus (Jämsä)",1397,1458,1397,1437,1480
"42140  Juokslahti (Jämsä)",10,11,11,8,4
"42220  Kaipola (Jämsä)",107,121,115,104,81
"42300  Jämsänkoski Keskus (Jämsä)",664,677,645,656,661
"42330  Haavisto (Jämsä)",2,2,1,0,0
"42440  Koskenpää (Jämsä)",54,60,54,55,50
"42520  Asunta (Keuruu)",9,8,8,6,6
"42560  Pohjoisjärvi (Keuruu)",1,0,1,1,0
"42600  Multia Keskus-Väätäiskylä (Multia)",136,139,133,131,123
"42660  Sahrajärvi (Multia)",2,1,3,3,3
"42700  Keuruu Keskus (Keuruu)",1090,1192,1175,1168,1193
"42800  Haapamäki (Keuruu)",109,99,104,98,98
"42820  Riiho (Keuruu)",...,1,1,0,0
"42830  Ylä-Kolkki (Mänttä-Vilppula)",...,...,...,...,...
"42840  Kolkki (Mänttä-Vilppula)",2,2,2,2,2
"42850  Pohjaslahti (Mänttä-Vilppula)",6,4,5,7,4
"42870  Kotala (Virrat)",16,12,13,11,10
"42910  Pihlajavesi (Keuruu)",16,14,10,10,7
"42930  Katajamäki (Keuruu)",1,0,1,1,1
"43100  Saarijärvi Keskus (Saarijärvi)",962,1024,985,962,973
"43130  Tarvaala (Saarijärvi)",17,20,18,17,16
"43170  Häkkilä (Saarijärvi)",15,12,14,13,12
"43220  Mahlu (Saarijärvi)",15,18,15,13,15
"43240  Lehtola (Saarijärvi)",2,2,1,1,1
"43250  Kolkanlahti (Saarijärvi)",7,3,4,5,5
"43270  Kalmari (Saarijärvi)",27,32,28,24,20
"43300  Kannonkoski Keskus (Kannonkoski)",125,129,118,111,117
"43340  Kannonjärvi (Kannonkoski)",6,6,6,6,5
"43390  Lokakylä (Kivijärvi)",0,0,0,0,0
"43420  Kukko (Saarijärvi)",...,...,...,...,...
"43430  Väätäiskylä (Multia)",...,...,...,...,...
"43440  Pylkönmäki Keskus (Saarijärvi)",79,69,54,65,52
"43480  Pääjärvi (Saarijärvi)",1,0,0,0,0
"43490  Kangasaho (Karstula)",4,4,5,3,2
"43500  Karstula Keskus (Karstula)",322,334,304,337,333
"43520  Kiminki (Karstula)",4,4,3,2,2
"43540  Rantakylä-Pirttilahti (Karstula)",3,3,3,3,4
"43560  Vahanka (Karstula)",3,1,1,1,0
"43610  Aho (Karstula)",2,2,1,1,1
"43640  Humppi (Karstula)",5,5,5,4,4
"43660  Vastinki (Karstula)",3,6,4,4,3
"43700  Kyyjärvi Keskus (Kyyjärvi)",112,103,100,96,95
"43720  Kumpulainen (Kyyjärvi)",5,5,4,4,3
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",88,86,91,87,79
"43840  Sompala (Kivijärvi)",...,...,...,...,...
"43900  Kinnula Keskus (Kinnula)",110,108,106,106,101
"43940  Muhola-Saarensalmi (Kinnula)",9,8,9,9,9
"43960  Saarensalmi (Kinnula)",0,0,0,0,0
"44100  Äänekoski Keskus (Äänekoski)",1037,1045,1098,1118,1109
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",134,129,121,116,114
"44150  Likolahti-Karhunlähde (Äänekoski)",527,536,496,509,489
"44160  Huutomäki (Äänekoski)",8,8,10,13,11
"44170  Hietama (Äänekoski)",6,3,5,4,4
"44190  Parantala (Äänekoski)",4,4,1,3,4
"44200  Suolahti Keskus (Äänekoski)",754,750,744,757,712
"44220  Sörkänmäki (Äänekoski)",5,2,1,3,7
"44250  Äänekoivisto (Äänekoski)",3,4,3,3,3
"44260  Vihijärvi (Äänekoski)",6,6,5,4,5
"44280  Sumiainen Keskus (Äänekoski)",61,74,70,63,63
"44300  Konnevesi Keskus (Konnevesi)",264,273,254,259,247
"44320  Sirkkamäki (Konnevesi)",1,0,0,2,1
"44330  Hytölä (Konnevesi)",15,16,13,13,11
"44350  Istunmäki (Konnevesi)",14,17,14,11,11
"44370  Mäntymäki (Konnevesi)",6,7,6,5,7
"44400  Konginkangas Keskus (Äänekoski)",63,60,64,59,60
"44420  Liimattala (Äänekoski)",14,15,10,13,13
"44440  Räihä (Äänekoski)",3,4,2,3,2
"44460  Kalaniemi (Äänekoski)",0,1,0,0,0
"44480  Niinilahti (Viitasaari)",2,2,2,2,2
"44500  Viitasaari Keskus (Viitasaari)",733,747,743,751,725
"44530  Ilmolahti (Viitasaari)",2,2,1,1,0
"44580  Huopanankoski (Viitasaari)",12,13,13,14,12
"44590  Vuorilahti (Viitasaari)",2,2,2,1,0
"44610  Kärnä (Viitasaari)",4,5,5,4,5
"44630  Kumpumäki (Viitasaari)",4,6,5,5,4
"44640  Kymönkoski (Viitasaari)",11,9,7,6,7
"44670  Suovanlahti (Viitasaari)",4,1,2,2,2
"44680  Lahnanen (Viitasaari)",...,...,...,...,...
"44730  Löytänä (Viitasaari)",2,2,2,2,2
"44740  Keitelepohja-Kotvala (Viitasaari)",6,7,5,6,3
"44760  Keihärinkoski (Viitasaari)",7,3,5,5,5
"44770  Valkeisjärvi (Viitasaari)",0,...,0,0,0
"44790  Kotvala (Viitasaari)",...,...,...,...,...
"44800  Pihtipudas Keskus (Pihtipudas)",410,408,395,394,387
"44860  Alvajärvi (Pihtipudas)",10,7,7,7,8
"44880  Muurasjärvi (Pihtipudas)",27,32,31,24,27
"44910  Elämäjärvi (Pihtipudas)",17,15,12,10,13
"44920  Peninki (Pihtipudas)",4,5,3,6,3
"44950  Kärväsjärvi (Pihtipudas)",6,5,6,6,7
"44970  Korppinen (Pihtipudas)",1,1,1,2,2
"45100  Kouvola Keskus (Kouvola)",2089,2111,2133,2151,2141
"45120  Kotkankallio-Vahteronmäki (Kouvola)",271,279,270,268,268
"45130  Korjala-Kaunisnurmi (Kouvola)",531,567,565,567,561
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",1040,1017,1012,1057,1077
"45160  Lehtomäki (Kouvola)",1213,1251,1255,1241,1211
