"13mu -- Prices per square meter of old dwellings in housing companies and numbers of transactions by postal code area, yearly, 2009-2025"

"Postal code","Price per square meter (EUR/m2) 2021 Blocks of flats, one-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, two-room flat","Price per square meter (EUR/m2) 2021 Blocks of flats, three-room flat+","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, one-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, two-room flat","Number of sales, asset transfer tax data starting from 2020 2021 Blocks of flats, three-room flat+"
"02110  Otsolahti (Espoo)",6607,5761,5663,18,43,38
"02120  Länsikorkee-Suvikumpu (Espoo)",7141,5626,5345,11,29,48
"02130  Pohjois-Tapiola (Espoo)",5845,4805,4778,6,36,37
"02140  Laajalahti (Espoo)",...,...,3327,2,4,11
"02150  Otaniemi (Espoo)",...,...,4831,4,3,6
"02160  Westend (Espoo)",...,5187,5405,2,12,21
"02170  Haukilahti (Espoo)",6132,4891,4663,36,83,133
"02180  Mankkaa (Espoo)",...,...,...,1,6,3
"02200  Niittykumpu (Espoo)",5646,5681,4814,20,84,60
"02210  Olari (Espoo)",3948,3257,2981,29,88,116
"02230  Matinkylä (Espoo)",5194,4576,4195,37,171,148
"02240  Friisilä (Espoo)",...,...,.,1,1,.
"02250  Henttaa (Espoo)",...,4985,4536,4,68,49
"02260  Kaitaa (Espoo)",...,3131,3086,2,14,24
"02270  Finnoo-Eestinmalmi (Espoo)",.,.,.,.,.,.
"02280  Malminmäki-Eestinlaakso (Espoo)",...,3942,4017,5,9,6
"02300  Nöykkiönpuro (Espoo)",.,.,.,.,.,.
"02320  Espoonlahti (Espoo)",4216,3531,2833,40,107,133
"02330  Saunalahti-Kattilalaakso (Espoo)",5037,4484,4321,34,56,45
"02340  Latokaski (Espoo)",.,.,.,.,.,.
"02360  Soukka (Espoo)",4106,3093,2717,14,40,58
"02380  Suvisaaristo (Espoo)",.,.,.,.,.,.
"02390  Sarvvik (Kirkkonummi)",...,4134,.,4,8,.
"02400  Kirkkonummi Keskus (Kirkkonummi)",3446,2882,2396,23,43,43
"02410  Gesterby (Kirkkonummi)",1486,1169,1126,9,23,9
"02420  Jorvas (Kirkkonummi)",.,.,.,.,.,.
"02430  Masala (Kirkkonummi)",...,2507,2666,2,9,12
"02440  Luoma (Kirkkonummi)",.,.,.,.,.,.
